Date,Time,Temperature(°C),Interval
29-03-2025,11:28:57,37.17,30 sec
29-03-2025,11:29:27,37.18,30 sec
29-03-2025,11:29:57,37.18,30 sec
29-03-2025,11:30:27,37.17,30 sec
29-03-2025,11:30:57,37.19,30 sec
29-03-2025,11:31:27,37.19,30 sec
29-03-2025,11:31:57,37.19,30 sec
29-03-2025,11:32:27,37.18,30 sec
29-03-2025,11:32:57,37.17,30 sec
29-03-2025,11:33:27,35.88,30 sec
29-03-2025,11:33:57,37.15,30 sec
29-03-2025,11:34:27,37.14,30 sec
29-03-2025,11:34:57,37.13,30 sec
29-03-2025,11:35:27,37.11,30 sec
29-03-2025,11:35:57,37.09,30 sec
29-03-2025,11:36:27,37.08,30 sec
29-03-2025,11:36:57,36.75,30 sec
29-03-2025,11:37:27,37.06,30 sec
29-03-2025,11:37:57,36.97,30 sec
29-03-2025,11:38:27,37.04,30 sec
29-03-2025,11:38:57,37.03,30 sec
29-03-2025,11:39:27,37.02,30 sec
29-03-2025,11:39:57,31.90,30 sec
29-03-2025,11:40:27,37.02,30 sec
29-03-2025,11:40:57,37.01,30 sec
29-03-2025,11:41:27,37.01,30 sec
29-03-2025,11:41:57,37.00,30 sec
29-03-2025,11:42:27,31.99,30 sec
29-03-2025,11:42:57,32.05,30 sec
