Date,Time,Temperature(°C),Interval(in minutes)
2025-06-27,13:02:51,-,30 sec
27-06-2025,13:02:51,25.4,0.5
27-06-2025,13:03:21,25.4,0.5
27-06-2025,13:03:51,25.4,0.5
27-06-2025,13:04:21,25.4,0.5
27-06-2025,13:04:51,25.4,0.5
27-06-2025,13:05:21,25.4,0.5
27-06-2025,13:05:51,25.4,0.5
27-06-2025,13:06:21,25.4,0.5
27-06-2025,13:06:51,25.4,0.5
27-06-2025,13:07:21,25.4,0.5
27-06-2025,13:07:51,25.4,0.5
27-06-2025,13:08:21,25.4,0.5
27-06-2025,13:08:51,25.4,0.5
27-06-2025,13:09:21,25.4,0.5
27-06-2025,13:09:51,25.4,0.5
27-06-2025,13:10:21,25.4,0.5
27-06-2025,13:10:51,25.3,0.5
27-06-2025,13:11:21,25.3,0.5
27-06-2025,13:11:51,25.3,0.5
27-06-2025,13:12:21,25.3,0.5
27-06-2025,13:12:51,25.3,0.5
27-06-2025,13:13:21,25.3,0.5
27-06-2025,13:13:51,25.3,0.5
27-06-2025,13:14:21,25.3,0.5
27-06-2025,13:14:51,25.3,0.5
27-06-2025,13:15:21,25.3,0.5
27-06-2025,13:15:51,25.3,0.5
27-06-2025,13:16:21,25.3,0.5
27-06-2025,13:16:51,25.3,0.5
27-06-2025,13:17:21,25.3,0.5
27-06-2025,13:17:51,25.3,0.5
27-06-2025,13:18:21,25.3,0.5
27-06-2025,13:18:51,25.3,0.5
27-06-2025,13:19:21,25.3,0.5
27-06-2025,13:19:51,25.3,0.5
27-06-2025,13:20:21,25.3,0.5
27-06-2025,13:20:51,25.3,0.5
27-06-2025,13:21:21,25.3,0.5
27-06-2025,13:21:51,25.3,0.5
27-06-2025,13:22:21,25.3,0.5
27-06-2025,13:22:51,25.3,0.5
27-06-2025,13:23:21,25.3,0.5
27-06-2025,13:23:51,25.3,0.5
27-06-2025,13:24:21,25.3,0.5
27-06-2025,13:24:51,25.3,0.5
27-06-2025,13:25:21,25.3,0.5
27-06-2025,13:25:51,25.3,0.5
27-06-2025,13:26:21,25.3,0.5
27-06-2025,13:26:51,25.2,0.5
27-06-2025,13:27:21,25.2,0.5
27-06-2025,13:27:51,25.2,0.5
27-06-2025,13:28:21,25.2,0.5
27-06-2025,13:28:51,25.2,0.5
27-06-2025,13:29:21,25.3,0.5
27-06-2025,13:29:51,25.2,0.5
27-06-2025,13:30:21,25.2,0.5
27-06-2025,13:30:51,25.2,0.5
27-06-2025,13:31:21,25.2,0.5
27-06-2025,13:31:51,25.2,0.5
27-06-2025,13:32:21,25.2,0.5
