Date,Time,Temperature(°C),Interval(in minutes)
2025-06-27,13:06:24,-,10 min
27-06-2025,13:06:24,25.1,10
27-06-2025,13:16:24,25.1,10
27-06-2025,13:26:24,25.1,10
27-06-2025,13:36:24,25.1,10
27-06-2025,13:46:24,25.1,10
27-06-2025,13:56:24,25.1,10
27-06-2025,14:06:24,25.1,10
27-06-2025,14:16:24,25.1,10
27-06-2025,14:26:24,25.1,10
27-06-2025,14:36:24,25.1,10
27-06-2025,14:46:24,25.1,10
27-06-2025,14:56:24,25.1,10
27-06-2025,15:06:24,25.1,10
27-06-2025,15:16:24,25.1,10
27-06-2025,15:26:24,25.1,10
27-06-2025,15:36:24,25.1,10
27-06-2025,15:46:24,25.1,10
27-06-2025,15:56:24,25.1,10
27-06-2025,16:06:24,25.1,10
27-06-2025,16:16:24,25.1,10
27-06-2025,16:26:24,25.1,10
27-06-2025,16:36:24,25.1,10
27-06-2025,16:46:24,25.1,10
27-06-2025,16:56:24,25.1,10
27-06-2025,17:06:24,25.1,10
27-06-2025,17:16:24,25.1,10
27-06-2025,17:26:24,25.1,10
27-06-2025,17:36:24,25.1,10
27-06-2025,17:46:24,25.1,10
27-06-2025,17:56:24,25.1,10
27-06-2025,18:06:24,25.1,10
27-06-2025,18:16:24,25.1,10
27-06-2025,18:26:24,25.1,10
27-06-2025,18:36:24,25.1,10
27-06-2025,18:46:24,25.1,10
27-06-2025,18:56:24,25.1,10
27-06-2025,19:06:24,25.1,10
27-06-2025,19:16:24,25.1,10
27-06-2025,19:26:24,25.1,10
27-06-2025,19:36:24,25.1,10
27-06-2025,19:46:24,25.1,10
27-06-2025,19:56:24,25.1,10
27-06-2025,20:06:24,25.1,10
27-06-2025,20:16:24,25.1,10
27-06-2025,20:26:24,25.1,10
27-06-2025,20:36:24,25.1,10
27-06-2025,20:46:24,25.1,10
27-06-2025,20:56:24,25.1,10
27-06-2025,21:06:24,25.1,10
27-06-2025,21:16:24,25.1,10
27-06-2025,21:26:24,25.1,10
27-06-2025,21:36:24,25.1,10
27-06-2025,21:46:24,25.1,10
27-06-2025,21:56:24,25.1,10
27-06-2025,22:06:24,25.1,10
27-06-2025,22:16:24,25.1,10
27-06-2025,22:26:24,25.0,10
27-06-2025,22:36:24,25.0,10
27-06-2025,22:46:24,25.0,10
27-06-2025,22:56:24,25.1,10
27-06-2025,23:06:24,25.0,10
27-06-2025,23:16:24,25.0,10
27-06-2025,23:26:24,25.0,10
27-06-2025,23:36:24,25.0,10
27-06-2025,23:46:24,25.0,10
