Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,12:17:49,-,1 min
02-04-2025,12:17:49,25.28,1
02-04-2025,12:18:49,25.19,1
02-04-2025,12:19:49,25.19,1
02-04-2025,12:20:49,25.27,1
02-04-2025,12:21:49,25.27,1
02-04-2025,12:22:49,25.27,1
02-04-2025,12:23:49,25.26,1
02-04-2025,12:24:49,25.10,1
02-04-2025,12:25:49,25.26,1
02-04-2025,12:26:49,25.22,1
02-04-2025,12:27:49,25.10,1
02-04-2025,12:28:49,25.25,1
02-04-2025,12:29:49,25.25,1
02-04-2025,12:30:49,25.25,1
02-04-2025,12:31:49,25.00,1
02-04-2025,12:32:49,25.24,1
02-04-2025,12:33:49,25.23,1
02-04-2025,12:34:49,25.23,1
02-04-2025,12:35:49,25.06,1
02-04-2025,12:36:49,25.21,1
02-04-2025,12:37:49,25.21,1
02-04-2025,12:38:49,25.21,1
02-04-2025,12:39:49,25.20,1
02-04-2025,12:40:49,25.20,1
02-04-2025,12:41:49,25.12,1
02-04-2025,12:42:49,25.20,1
02-04-2025,12:43:49,24.56,1
02-04-2025,12:44:49,25.20,1
02-04-2025,12:45:49,25.20,1
02-04-2025,12:46:49,25.20,1
02-04-2025,12:47:49,25.20,1
02-04-2025,12:48:49,25.13,1
02-04-2025,12:49:49,25.21,1
02-04-2025,12:50:49,25.21,1
02-04-2025,12:51:49,25.05,1
02-04-2025,12:52:49,25.22,1
02-04-2025,12:53:49,25.22,1
02-04-2025,12:54:49,25.22,1
02-04-2025,12:55:49,25.22,1
02-04-2025,12:56:49,25.22,1
02-04-2025,12:57:49,25.22,1
02-04-2025,12:58:49,25.20,1
02-04-2025,12:59:49,25.22,1
02-04-2025,13:00:49,25.22,1
02-04-2025,13:01:49,25.14,1
02-04-2025,13:02:49,25.22,1
02-04-2025,13:03:49,25.22,1
02-04-2025,13:04:49,25.22,1
02-04-2025,13:05:49,25.21,1
02-04-2025,13:06:49,25.21,1
02-04-2025,13:07:49,25.21,1
02-04-2025,13:08:49,25.20,1
02-04-2025,13:09:49,25.20,1
02-04-2025,13:10:49,25.20,1
02-04-2025,13:11:49,25.19,1
02-04-2025,13:12:49,25.03,1
02-04-2025,13:13:49,25.19,1
02-04-2025,13:14:49,22.62,1
02-04-2025,13:15:49,25.02,1
02-04-2025,13:16:49,25.18,1
02-04-2025,13:17:49,25.18,1
02-04-2025,13:18:49,25.18,1
02-04-2025,13:19:49,25.15,1
02-04-2025,13:20:49,25.19,1
02-04-2025,13:21:49,25.19,1
02-04-2025,13:22:49,25.20,1
02-04-2025,13:23:49,25.12,1
02-04-2025,13:24:49,25.20,1
02-04-2025,13:25:49,25.21,1
02-04-2025,13:26:49,25.05,1
02-04-2025,13:27:49,25.05,1
02-04-2025,13:28:49,25.22,1
02-04-2025,13:29:49,24.50,1
02-04-2025,13:30:49,25.20,1
02-04-2025,13:31:49,25.15,1
02-04-2025,13:32:49,25.23,1
02-04-2025,13:33:49,25.23,1
02-04-2025,13:34:49,25.24,1
02-04-2025,13:35:49,25.16,1
02-04-2025,13:36:49,25.20,1
