Date,Time,Temperature(°C),Interval(in minutes)
2025-06-27,13:18:28,-,5 min
27-06-2025,13:18:28,25.6,5
27-06-2025,13:23:28,25.6,5
27-06-2025,13:28:28,25.6,5
27-06-2025,13:33:28,25.6,5
27-06-2025,13:38:28,25.6,5
27-06-2025,13:43:28,25.6,5
27-06-2025,13:48:28,25.6,5
27-06-2025,13:53:28,25.6,5
27-06-2025,13:58:28,25.6,5
27-06-2025,14:03:28,25.6,5
27-06-2025,14:08:28,25.6,5
27-06-2025,14:13:28,25.6,5
27-06-2025,14:18:28,25.6,5
27-06-2025,14:23:28,25.6,5
27-06-2025,14:28:28,25.6,5
27-06-2025,14:33:28,25.6,5
27-06-2025,14:38:28,25.6,5
27-06-2025,14:43:28,25.6,5
27-06-2025,14:48:28,25.6,5
27-06-2025,14:53:28,25.6,5
27-06-2025,14:58:28,25.6,5
27-06-2025,15:03:28,25.7,5
27-06-2025,15:08:28,25.7,5
27-06-2025,15:13:28,25.7,5
27-06-2025,15:18:28,25.6,5
27-06-2025,15:23:28,25.7,5
27-06-2025,15:28:28,25.6,5
27-06-2025,15:33:28,25.6,5
27-06-2025,15:38:28,25.6,5
27-06-2025,15:43:28,25.7,5
27-06-2025,15:48:28,25.7,5
27-06-2025,15:53:28,25.7,5
27-06-2025,15:58:28,25.7,5
27-06-2025,16:03:28,25.7,5
27-06-2025,16:08:28,25.7,5
27-06-2025,16:13:28,25.7,5
27-06-2025,16:18:28,25.7,5
27-06-2025,16:23:28,25.7,5
27-06-2025,16:28:28,25.7,5
27-06-2025,16:33:28,25.7,5
27-06-2025,16:38:28,25.7,5
27-06-2025,16:43:28,25.7,5
27-06-2025,16:48:28,25.6,5
27-06-2025,16:53:28,25.6,5
27-06-2025,16:58:28,25.6,5
27-06-2025,17:03:28,25.6,5
27-06-2025,17:08:28,25.6,5
27-06-2025,17:13:28,25.6,5
27-06-2025,17:18:28,25.6,5
27-06-2025,17:23:28,25.6,5
27-06-2025,17:28:28,25.6,5
27-06-2025,17:33:28,25.6,5
27-06-2025,17:38:28,25.6,5
27-06-2025,17:43:28,25.6,5
27-06-2025,17:48:28,25.5,5
27-06-2025,17:53:28,25.6,5
27-06-2025,17:58:28,25.6,5
27-06-2025,18:03:28,25.6,5
27-06-2025,18:08:28,25.5,5
27-06-2025,18:13:28,25.5,5
27-06-2025,18:18:28,25.6,5
27-06-2025,18:23:28,25.6,5
27-06-2025,18:28:28,25.5,5
27-06-2025,18:33:28,25.5,5
27-06-2025,18:38:28,25.6,5
27-06-2025,18:43:28,25.6,5
27-06-2025,18:48:28,25.5,5
27-06-2025,18:53:28,25.6,5
27-06-2025,18:58:28,25.6,5
27-06-2025,19:03:28,25.5,5
27-06-2025,19:08:28,25.5,5
27-06-2025,19:13:28,25.5,5
27-06-2025,19:18:28,25.5,5
27-06-2025,19:23:28,25.5,5
27-06-2025,19:28:28,25.5,5
27-06-2025,19:33:28,25.5,5
27-06-2025,19:38:28,25.5,5
27-06-2025,19:43:28,25.5,5
27-06-2025,19:48:28,25.5,5
27-06-2025,19:53:28,25.5,5
27-06-2025,19:58:28,25.5,5
27-06-2025,20:03:28,25.5,5
27-06-2025,20:08:28,25.5,5
27-06-2025,20:13:28,25.5,5
27-06-2025,20:18:28,25.5,5
27-06-2025,20:23:28,25.5,5
27-06-2025,20:28:28,25.5,5
27-06-2025,20:33:28,25.4,5
27-06-2025,20:38:28,25.4,5
27-06-2025,20:43:28,25.4,5
27-06-2025,20:48:28,25.4,5
27-06-2025,20:53:28,25.4,5
27-06-2025,20:58:28,25.4,5
27-06-2025,21:03:28,25.4,5
27-06-2025,21:08:28,25.4,5
27-06-2025,21:13:28,25.4,5
27-06-2025,21:18:28,25.4,5
27-06-2025,21:23:28,25.4,5
27-06-2025,21:28:28,25.4,5
27-06-2025,21:33:28,25.4,5
27-06-2025,21:38:28,25.4,5
27-06-2025,21:43:28,25.4,5
27-06-2025,21:48:28,25.4,5
27-06-2025,21:53:28,25.4,5
27-06-2025,21:58:28,25.4,5
27-06-2025,22:03:28,25.4,5
27-06-2025,22:08:28,25.4,5
27-06-2025,22:13:28,25.4,5
27-06-2025,22:18:28,25.4,5
27-06-2025,22:23:28,25.4,5
27-06-2025,22:28:28,25.4,5
27-06-2025,22:33:28,25.3,5
27-06-2025,22:38:28,25.4,5
27-06-2025,22:43:28,25.3,5
27-06-2025,22:48:28,25.3,5
27-06-2025,22:53:28,25.3,5
27-06-2025,22:58:28,25.3,5
27-06-2025,23:03:28,25.3,5
27-06-2025,23:08:28,25.3,5
27-06-2025,23:13:28,25.3,5
27-06-2025,23:18:28,25.3,5
27-06-2025,23:23:28,25.3,5
27-06-2025,23:28:28,25.3,5
27-06-2025,23:33:28,25.3,5
27-06-2025,23:38:28,25.3,5
27-06-2025,23:43:28,25.3,5
27-06-2025,23:48:28,25.3,5
27-06-2025,23:53:28,25.3,5
27-06-2025,23:58:28,25.3,5
28-06-2025,00:03:28,25.3,5
28-06-2025,00:08:28,25.3,5
28-06-2025,00:13:28,25.3,5
28-06-2025,00:18:28,25.3,5
28-06-2025,00:23:28,25.3,5
28-06-2025,00:28:28,25.3,5
28-06-2025,00:33:28,25.3,5
28-06-2025,00:38:28,25.3,5
28-06-2025,00:43:28,25.3,5
28-06-2025,00:48:28,25.3,5
28-06-2025,00:53:28,25.3,5
28-06-2025,00:58:28,25.3,5
28-06-2025,01:03:28,25.3,5
28-06-2025,01:08:28,25.3,5
28-06-2025,01:13:28,25.2,5
28-06-2025,01:18:28,25.2,5
28-06-2025,01:23:28,25.3,5
28-06-2025,01:28:28,25.2,5
28-06-2025,01:33:28,25.2,5
28-06-2025,01:38:28,25.2,5
28-06-2025,01:43:28,25.2,5
28-06-2025,01:48:28,25.2,5
28-06-2025,01:53:28,25.2,5
28-06-2025,01:58:28,25.3,5
28-06-2025,02:03:28,25.2,5
28-06-2025,02:08:28,25.2,5
28-06-2025,02:13:28,25.2,5
28-06-2025,02:18:28,25.3,5
28-06-2025,02:23:28,25.2,5
28-06-2025,02:28:28,25.2,5
28-06-2025,02:33:28,25.2,5
28-06-2025,02:38:28,25.2,5
28-06-2025,02:43:28,25.2,5
28-06-2025,02:48:28,25.2,5
28-06-2025,02:53:28,25.2,5
28-06-2025,02:58:28,25.2,5
28-06-2025,03:03:28,25.2,5
28-06-2025,03:08:28,25.2,5
28-06-2025,03:13:28,25.2,5
28-06-2025,03:18:28,25.2,5
28-06-2025,03:23:28,25.2,5
28-06-2025,03:28:28,25.2,5
28-06-2025,03:33:28,25.2,5
28-06-2025,03:38:28,25.2,5
28-06-2025,03:43:28,25.1,5
28-06-2025,03:48:28,25.1,5
28-06-2025,03:53:28,25.1,5
28-06-2025,03:58:28,25.1,5
28-06-2025,04:03:28,25.1,5
28-06-2025,04:08:28,25.1,5
28-06-2025,04:13:28,25.1,5
28-06-2025,04:18:28,25.1,5
28-06-2025,04:23:28,25.1,5
28-06-2025,04:28:28,25.1,5
28-06-2025,04:33:28,25.1,5
28-06-2025,04:38:28,25.1,5
28-06-2025,04:43:28,25.1,5
28-06-2025,04:48:28,25.1,5
28-06-2025,04:53:28,25.1,5
28-06-2025,04:58:28,25.1,5
28-06-2025,05:03:28,25.1,5
28-06-2025,05:08:28,25.1,5
28-06-2025,05:13:28,25.1,5
28-06-2025,05:18:28,25.1,5
28-06-2025,05:23:28,25.1,5
28-06-2025,05:28:28,25.1,5
28-06-2025,05:33:28,25.1,5
28-06-2025,05:38:28,25.1,5
28-06-2025,05:43:28,25.1,5
28-06-2025,05:48:28,25.1,5
28-06-2025,05:53:28,25.1,5
28-06-2025,05:58:28,25.1,5
28-06-2025,06:03:28,25.1,5
28-06-2025,06:08:28,25.1,5
28-06-2025,06:13:28,25.1,5
28-06-2025,06:18:28,25.1,5
28-06-2025,06:23:28,25.1,5
28-06-2025,06:28:28,25.1,5
28-06-2025,06:33:28,25.1,5
28-06-2025,06:38:28,25.1,5
