Date,Time,Temperature(°C),Interval(in minutes)
2025-06-28,14:22:55,-,2 min
28-06-2025,14:22:55,27.3,2
28-06-2025,14:24:55,27.3,2
28-06-2025,14:26:55,27.3,2
28-06-2025,14:28:55,27.3,2
28-06-2025,14:30:55,27.3,2
28-06-2025,14:32:55,27.4,2
28-06-2025,14:34:55,27.4,2
28-06-2025,14:36:55,27.4,2
28-06-2025,14:38:55,27.4,2
28-06-2025,14:40:55,27.4,2
28-06-2025,14:42:55,27.5,2
28-06-2025,14:44:55,27.5,2
28-06-2025,14:46:55,27.5,2
28-06-2025,14:48:55,27.5,2
28-06-2025,14:50:55,27.5,2
28-06-2025,14:52:55,27.5,2
28-06-2025,14:54:55,27.5,2
28-06-2025,14:56:55,27.5,2
28-06-2025,14:58:55,27.6,2
28-06-2025,15:00:55,27.6,2
28-06-2025,15:02:55,27.6,2
28-06-2025,15:04:55,27.6,2
28-06-2025,15:06:55,27.6,2
28-06-2025,15:08:55,27.6,2
28-06-2025,15:10:55,27.6,2
28-06-2025,15:12:55,27.6,2
28-06-2025,15:14:55,27.6,2
28-06-2025,15:16:55,27.6,2
28-06-2025,15:18:55,27.7,2
28-06-2025,15:20:55,27.7,2
28-06-2025,15:22:55,27.7,2
28-06-2025,15:24:55,27.7,2
28-06-2025,15:26:55,27.7,2
28-06-2025,15:28:55,27.7,2
28-06-2025,15:30:55,27.7,2
28-06-2025,15:32:55,27.7,2
28-06-2025,15:34:55,27.7,2
28-06-2025,15:36:55,27.7,2
28-06-2025,15:38:55,27.7,2
28-06-2025,15:40:55,27.7,2
28-06-2025,15:42:55,27.8,2
28-06-2025,15:44:55,27.8,2
