Date,Time,Temperature(°C),Interval
2025-04-14,16:08:53,-,30 sec
14-04-2025,16:08:53,26.6,30 sec
14-04-2025,16:09:23,26.6,30 sec
14-04-2025,16:09:53,26.6,30 sec
14-04-2025,16:10:23,26.6,30 sec
14-04-2025,16:10:53,26.6,30 sec
14-04-2025,16:11:23,26.6,30 sec
14-04-2025,16:11:53,26.5,30 sec
14-04-2025,16:12:23,26.5,30 sec
14-04-2025,16:12:53,26.5,30 sec
14-04-2025,16:13:23,26.5,30 sec
14-04-2025,16:13:53,26.5,30 sec
14-04-2025,16:14:23,26.5,30 sec
14-04-2025,16:14:53,26.5,30 sec
14-04-2025,16:15:23,26.4,30 sec
14-04-2025,16:15:53,26.4,30 sec
14-04-2025,16:16:23,26.4,30 sec
14-04-2025,16:16:53,26.4,30 sec
14-04-2025,16:17:23,26.4,30 sec
14-04-2025,16:17:53,26.4,30 sec
14-04-2025,16:18:23,26.4,30 sec
14-04-2025,16:18:53,26.3,30 sec
14-04-2025,16:19:23,26.3,30 sec
14-04-2025,16:19:53,26.3,30 sec
14-04-2025,16:20:23,26.3,30 sec
14-04-2025,16:20:53,26.3,30 sec
14-04-2025,16:21:23,26.3,30 sec
14-04-2025,16:21:53,26.2,30 sec
14-04-2025,16:22:23,26.2,30 sec
14-04-2025,16:22:53,26.2,30 sec
14-04-2025,16:23:23,26.1,30 sec
14-04-2025,16:23:53,26.1,30 sec
14-04-2025,16:24:23,26.1,30 sec
14-04-2025,16:24:53,26.1,30 sec
14-04-2025,16:25:23,26.0,30 sec
14-04-2025,16:25:53,26.0,30 sec
14-04-2025,16:26:23,26.0,30 sec
14-04-2025,16:26:53,26.0,30 sec
14-04-2025,16:27:23,25.9,30 sec
14-04-2025,16:27:53,25.9,30 sec
14-04-2025,16:28:23,25.9,30 sec
14-04-2025,16:28:53,25.9,30 sec
14-04-2025,16:29:23,25.9,30 sec
14-04-2025,16:29:53,25.8,30 sec
14-04-2025,16:30:23,25.8,30 sec
14-04-2025,16:30:53,25.8,30 sec
14-04-2025,16:31:23,25.8,30 sec
14-04-2025,16:31:53,25.7,30 sec
14-04-2025,16:32:23,25.7,30 sec
14-04-2025,16:32:53,25.7,30 sec
14-04-2025,16:33:23,25.7,30 sec
