Date,Time,Temperature(°C),Interval(in minutes)
2025-06-28,11:01:30,-,30 sec
28-06-2025,11:01:30,23.0,0.5
28-06-2025,11:02:00,23.0,0.5
28-06-2025,11:02:30,23.0,0.5
28-06-2025,11:03:00,23.1,0.5
28-06-2025,11:03:30,23.0,0.5
28-06-2025,11:04:00,23.0,0.5
28-06-2025,11:04:30,23.0,0.5
28-06-2025,11:05:00,23.0,0.5
28-06-2025,11:05:30,23.0,0.5
28-06-2025,11:06:00,23.0,0.5
28-06-2025,11:06:30,23.0,0.5
28-06-2025,11:07:00,23.0,0.5
28-06-2025,11:07:30,23.0,0.5
28-06-2025,11:08:00,23.0,0.5
28-06-2025,11:08:30,23.0,0.5
28-06-2025,11:09:00,23.0,0.5
28-06-2025,11:09:30,23.0,0.5
28-06-2025,11:10:00,23.0,0.5
28-06-2025,11:10:30,23.0,0.5
28-06-2025,11:11:00,23.0,0.5
28-06-2025,11:11:30,23.0,0.5
28-06-2025,11:12:00,23.0,0.5
28-06-2025,11:12:30,23.0,0.5
28-06-2025,11:13:00,23.0,0.5
28-06-2025,11:13:30,23.0,0.5
28-06-2025,11:14:00,23.0,0.5
28-06-2025,11:14:30,23.0,0.5
28-06-2025,11:15:00,22.9,0.5
28-06-2025,11:15:30,23.0,0.5
28-06-2025,11:16:00,23.0,0.5
28-06-2025,11:16:30,22.9,0.5
28-06-2025,11:17:00,23.0,0.5
28-06-2025,11:17:30,23.0,0.5
28-06-2025,11:18:00,23.0,0.5
28-06-2025,11:18:30,22.9,0.5
28-06-2025,11:19:00,22.9,0.5
28-06-2025,11:19:30,23.0,0.5
28-06-2025,11:20:00,23.0,0.5
28-06-2025,11:20:30,23.0,0.5
28-06-2025,11:21:00,23.0,0.5
28-06-2025,11:21:30,23.0,0.5
28-06-2025,11:22:00,23.0,0.5
28-06-2025,11:22:30,23.0,0.5
28-06-2025,11:23:00,23.0,0.5
28-06-2025,11:23:30,23.0,0.5
28-06-2025,11:24:00,23.0,0.5
28-06-2025,11:24:30,23.0,0.5
28-06-2025,11:25:00,23.0,0.5
28-06-2025,11:25:30,23.0,0.5
28-06-2025,11:26:00,23.0,0.5
28-06-2025,11:26:30,23.0,0.5
28-06-2025,11:27:00,23.0,0.5
28-06-2025,11:27:30,22.9,0.5
28-06-2025,11:28:00,23.0,0.5
28-06-2025,11:28:30,23.0,0.5
28-06-2025,11:29:00,23.0,0.5
28-06-2025,11:29:30,23.0,0.5
28-06-2025,11:30:00,23.0,0.5
28-06-2025,11:30:30,22.9,0.5
28-06-2025,11:31:00,22.9,0.5
28-06-2025,11:31:30,23.0,0.5
28-06-2025,11:32:00,22.9,0.5
28-06-2025,11:32:30,22.9,0.5
28-06-2025,11:33:00,22.9,0.5
28-06-2025,11:33:30,23.0,0.5
28-06-2025,11:34:00,22.9,0.5
28-06-2025,11:34:30,22.9,0.5
28-06-2025,11:35:00,22.9,0.5
28-06-2025,11:35:30,22.9,0.5
28-06-2025,11:36:00,23.0,0.5
28-06-2025,11:36:30,23.0,0.5
28-06-2025,11:37:00,23.0,0.5
28-06-2025,11:37:30,23.0,0.5
28-06-2025,11:38:00,22.9,0.5
28-06-2025,11:38:30,22.9,0.5
28-06-2025,11:39:00,22.9,0.5
28-06-2025,11:39:30,22.9,0.5
28-06-2025,11:40:00,22.9,0.5
28-06-2025,11:40:30,22.9,0.5
28-06-2025,11:41:00,22.9,0.5
