Date,Time,Temperature(°C),Interval
2025-04-08,18:30:09,-,30 sec
08-04-2025,18:25:31,26.8,30 sec
08-04-2025,18:26:01,26.8,30 sec
08-04-2025,18:26:31,26.8,30 sec
08-04-2025,18:27:01,26.8,30 sec
08-04-2025,18:27:31,26.7,30 sec
08-04-2025,18:28:01,26.7,30 sec
08-04-2025,18:28:31,26.7,30 sec
08-04-2025,18:29:01,26.7,30 sec
08-04-2025,18:29:31,26.7,30 sec
08-04-2025,18:30:01,26.7,30 sec
08-04-2025,18:30:31,26.7,30 sec
08-04-2025,18:31:01,26.7,30 sec
08-04-2025,18:31:31,26.7,30 sec
08-04-2025,18:32:01,26.7,30 sec
08-04-2025,18:32:31,26.6,30 sec
08-04-2025,18:33:01,26.6,30 sec
08-04-2025,18:33:31,26.6,30 sec
08-04-2025,18:34:01,26.6,30 sec
08-04-2025,18:34:31,26.5,30 sec
08-04-2025,18:35:01,26.5,30 sec
08-04-2025,18:35:31,26.5,30 sec
08-04-2025,18:36:01,26.5,30 sec
08-04-2025,18:36:31,26.5,30 sec
08-04-2025,18:37:01,26.5,30 sec
08-04-2025,18:37:31,26.5,30 sec
08-04-2025,18:38:01,26.5,30 sec
08-04-2025,18:38:31,26.5,30 sec
08-04-2025,18:39:01,26.4,30 sec
08-04-2025,18:39:31,26.4,30 sec
08-04-2025,18:40:01,26.4,30 sec
08-04-2025,18:40:31,26.5,30 sec
08-04-2025,18:41:01,26.5,30 sec
08-04-2025,18:41:31,26.6,30 sec
08-04-2025,18:42:01,26.6,30 sec
08-04-2025,18:42:31,26.6,30 sec
08-04-2025,18:43:01,26.7,30 sec
08-04-2025,18:43:31,26.7,30 sec
08-04-2025,18:44:01,26.7,30 sec
08-04-2025,18:44:31,26.7,30 sec
08-04-2025,18:45:01,26.8,30 sec
08-04-2025,18:45:31,26.8,30 sec
08-04-2025,18:46:01,26.8,30 sec
08-04-2025,18:46:31,26.8,30 sec
08-04-2025,18:47:01,26.8,30 sec
08-04-2025,18:47:31,26.8,30 sec
08-04-2025,18:48:01,26.8,30 sec
08-04-2025,18:48:31,26.8,30 sec
08-04-2025,18:49:01,26.8,30 sec
08-04-2025,18:49:31,26.9,30 sec
08-04-2025,18:50:01,26.9,30 sec
08-04-2025,18:50:31,26.9,30 sec
08-04-2025,18:51:01,26.9,30 sec
08-04-2025,18:51:31,26.9,30 sec
08-04-2025,18:52:01,27.0,30 sec
08-04-2025,18:52:31,27.0,30 sec
08-04-2025,18:53:01,27.0,30 sec
08-04-2025,18:53:31,27.0,30 sec
08-04-2025,18:54:01,27.0,30 sec
08-04-2025,18:54:31,27.0,30 sec
08-04-2025,18:55:01,27.0,30 sec
08-04-2025,18:55:31,27.0,30 sec
08-04-2025,18:56:01,27.0,30 sec
08-04-2025,18:56:31,27.0,30 sec
08-04-2025,18:57:01,27.0,30 sec
08-04-2025,18:57:31,27.1,30 sec
08-04-2025,18:58:01,27.1,30 sec
08-04-2025,18:58:31,27.1,30 sec
