Date,Time,Temperature(°C),Interval
2025-03-25,11:09:28,-,30 sec
25-03-2025,11:09:28,33.82,30 sec
25-03-2025,11:09:58,33.78,30 sec
25-03-2025,11:10:28,31.17,30 sec
25-03-2025,11:10:58,33.82,30 sec
25-03-2025,11:11:28,33.84,30 sec
25-03-2025,11:11:58,33.82,30 sec
25-03-2025,11:12:28,33.96,30 sec
25-03-2025,11:12:58,33.91,30 sec
25-03-2025,11:13:28,23.61,30 sec
25-03-2025,11:13:58,33.72,30 sec
25-03-2025,11:14:28,33.96,30 sec
25-03-2025,11:14:58,33.97,30 sec
25-03-2025,11:15:28,33.98,30 sec
25-03-2025,11:15:58,31.38,30 sec
