Date,Time,Temperature(°C),Interval
2025-04-10,15:22:06,-,5 min
10-04-2025,15:22:06,26.1,5 min
10-04-2025,15:27:06,26.0,5 min
10-04-2025,15:32:06,25.9,5 min
10-04-2025,15:37:06,25.9,5 min
10-04-2025,15:42:06,25.7,5 min
10-04-2025,15:47:06,25.7,5 min
10-04-2025,15:52:06,25.3,5 min
10-04-2025,15:57:06,25.4,5 min
10-04-2025,16:02:06,25.4,5 min
10-04-2025,16:07:06,25.6,5 min
10-04-2025,16:12:06,25.5,5 min
10-04-2025,16:17:06,25.5,5 min
10-04-2025,16:22:06,25.5,5 min
10-04-2025,16:27:06,25.6,5 min
10-04-2025,16:32:06,25.6,5 min
10-04-2025,16:37:06,25.6,5 min
10-04-2025,16:42:06,25.6,5 min
10-04-2025,16:47:06,25.6,5 min
10-04-2025,16:52:06,25.6,5 min
10-04-2025,16:57:06,25.7,5 min
10-04-2025,17:02:06,25.8,5 min
10-04-2025,17:07:06,25.8,5 min
10-04-2025,17:12:06,25.8,5 min
