Date,Time,Temperature(°C),Interval
2025-03-21,11:57:26,-,10 min
21-03-2025,11:57:26,27.67,10 min
21-03-2025,12:07:26,27.83,10 min
21-03-2025,12:17:26,27.95,10 min
21-03-2025,12:27:26,28.03,10 min
21-03-2025,12:37:26,28.09,10 min
21-03-2025,12:47:26,28.07,10 min
21-03-2025,12:57:26,28.22,10 min
21-03-2025,13:07:26,27.97,10 min
2025-03-21,13:24:09,-,2 min
21-03-2025,13:24:09,26.78,2 min
21-03-2025,13:26:09,26.92,2 min
21-03-2025,13:28:09,26.83,2 min
21-03-2025,13:30:09,26.75,2 min
21-03-2025,13:32:09,26.75,2 min
21-03-2025,13:34:09,26.63,2 min
21-03-2025,13:36:09,26.73,2 min
21-03-2025,13:38:09,26.82,2 min
21-03-2025,13:40:09,21.80,2 min
21-03-2025,13:42:09,27.03,2 min
2025-03-21,17:15:47,-,2 min
21-03-2025,17:15:47,27.68,2 min
21-03-2025,17:17:47,27.27,2 min
21-03-2025,17:19:47,27.34,2 min
21-03-2025,17:21:47,27.39,2 min
21-03-2025,17:23:47,27.53,2 min
21-03-2025,17:25:47,27.73,2 min
21-03-2025,17:27:47,27.59,2 min
21-03-2025,17:29:47,27.53,2 min
21-03-2025,17:31:47,22.39,2 min
21-03-2025,17:33:47,26.95,2 min
21-03-2025,17:35:47,27.82,2 min
21-03-2025,17:37:47,27.88,2 min
21-03-2025,17:39:47,27.82,2 min
21-03-2025,17:41:47,27.62,2 min
21-03-2025,17:43:47,26.89,2 min
21-03-2025,17:45:47,27.48,2 min
21-03-2025,17:47:47,27.61,2 min
21-03-2025,17:49:47,27.60,2 min
21-03-2025,17:51:47,27.50,2 min
21-03-2025,17:53:47,27.49,2 min
21-03-2025,17:55:47,27.08,2 min
21-03-2025,17:57:47,27.53,2 min
21-03-2025,17:59:47,27.53,2 min
21-03-2025,18:01:47,27.45,2 min
21-03-2025,18:03:47,27.27,2 min
21-03-2025,18:05:47,27.29,2 min
21-03-2025,18:07:47,27.47,2 min
21-03-2025,18:09:47,27.37,2 min
21-03-2025,18:11:47,26.14,2 min
21-03-2025,18:13:47,27.28,2 min
