Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,15:09:27,-,10 min
02-04-2025,15:09:27,27.6,10
02-04-2025,15:19:27,27.6,10
02-04-2025,15:29:27,27.5,10
02-04-2025,15:39:27,27.6,10
02-04-2025,15:49:27,27.5,10
02-04-2025,15:59:27,27.5,10
02-04-2025,16:09:27,27.4,10
02-04-2025,16:19:27,27.4,10
02-04-2025,16:29:27,27.3,10
02-04-2025,16:39:27,27.3,10
02-04-2025,16:49:27,27.3,10
02-04-2025,16:59:27,27.2,10
02-04-2025,17:09:27,27.2,10
02-04-2025,17:19:27,27.1,10
02-04-2025,17:29:27,27.1,10
02-04-2025,17:39:27,27.1,10
02-04-2025,17:49:27,27.0,10
02-04-2025,17:59:27,27.0,10
02-04-2025,18:09:27,26.9,10
03-04-2025,18:19:27,26.9,10
03-04-2025,18:29:27,26.9,10
03-04-2025,18:39:27,26.9,10
03-04-2025,18:49:27,26.8,10
03-04-2025,18:59:27,26.8,10
03-04-2025,19:09:27,26.7,10
03-04-2025,19:19:27,26.7,10
03-04-2025,19:29:27,25.8,10
03-04-2025,19:39:27,26.7,10
04-04-2025,19:49:27,26.7,10
04-04-2025,19:59:27,26.6,10
