Date,Time,Temperature(°C),Interval
2025-03-27,18:20:22,-,10 min
27-03-2025,18:20:22,27.89,10 min
27-03-2025,18:30:22,27.86,10 min
27-03-2025,18:40:22,27.85,10 min
27-03-2025,18:50:22,27.82,10 min
27-03-2025,19:00:22,27.72,10 min
27-03-2025,19:10:22,27.76,10 min
27-03-2025,19:20:22,27.75,10 min
27-03-2025,19:30:22,27.69,10 min
27-03-2025,19:40:22,27.71,10 min
27-03-2025,19:50:22,27.68,10 min
27-03-2025,20:00:22,27.67,10 min
27-03-2025,20:10:22,27.65,10 min
27-03-2025,20:20:22,26.34,10 min
27-03-2025,20:30:22,27.60,10 min
27-03-2025,20:40:22,27.58,10 min
27-03-2025,20:50:22,27.56,10 min
27-03-2025,21:00:22,27.55,10 min
27-03-2025,21:10:22,27.52,10 min
27-03-2025,21:20:22,27.50,10 min
27-03-2025,21:30:22,27.32,10 min
27-03-2025,21:40:22,27.39,10 min
27-03-2025,21:50:22,27.46,10 min
27-03-2025,22:00:22,27.44,10 min
27-03-2025,22:10:22,27.42,10 min
27-03-2025,22:20:22,27.26,10 min
27-03-2025,22:30:22,27.40,10 min
27-03-2025,22:40:22,27.39,10 min
27-03-2025,22:50:22,27.38,10 min
27-03-2025,23:00:22,26.08,10 min
27-03-2025,23:10:22,27.30,10 min
27-03-2025,23:20:22,27.35,10 min
27-03-2025,23:30:22,27.35,10 min
27-03-2025,23:40:22,27.34,10 min
27-03-2025,23:50:22,27.32,10 min
28-03-2025,00:00:22,27.32,10 min
29-03-2025,00:10:22,26.02,10 min
30-03-2025,00:20:22,27.28,10 min
31-03-2025,00:30:22,27.28,10 min
01-04-2025,00:40:22,27.27,10 min
02-04-2025,00:50:22,27.25,10 min
02-04-2025,01:00:22,27.25,10 min
02-04-2025,01:10:22,27.24,10 min
02-04-2025,01:20:22,27.23,10 min
02-04-2025,01:30:22,25.92,10 min
02-04-2025,01:40:22,27.21,10 min
02-04-2025,01:50:22,27.20,10 min
02-04-2025,02:00:22,27.20,10 min
02-04-2025,02:10:22,27.06,10 min
02-04-2025,02:20:22,27.17,10 min
02-04-2025,02:30:22,27.17,10 min
02-04-2025,02:40:22,27.16,10 min
02-04-2025,02:50:22,27.12,10 min
02-04-2025,03:00:22,27.15,10 min
02-04-2025,03:10:22,27.14,10 min
02-04-2025,03:20:22,27.14,10 min
02-04-2025,03:30:22,27.14,10 min
02-04-2025,03:40:22,27.05,10 min
02-04-2025,03:50:22,27.11,10 min
02-04-2025,04:00:22,27.11,10 min
02-04-2025,04:10:22,27.08,10 min
02-04-2025,04:20:22,27.09,10 min
02-04-2025,04:30:22,27.09,10 min
02-04-2025,04:40:22,27.09,10 min
02-04-2025,04:50:22,26.92,10 min
02-04-2025,05:00:22,27.07,10 min
02-04-2025,05:10:22,27.07,10 min
02-04-2025,05:20:22,27.07,10 min
02-04-2025,05:30:22,26.90,10 min
02-04-2025,05:40:22,27.06,10 min
02-04-2025,05:50:22,27.05,10 min
02-04-2025,06:00:22,27.05,10 min
02-04-2025,06:10:22,26.88,10 min
02-04-2025,06:20:22,25.76,10 min
02-04-2025,06:30:22,27.03,10 min
02-04-2025,06:40:22,27.04,10 min
02-04-2025,06:50:22,26.99,10 min
02-04-2025,07:00:22,27.01,10 min
02-04-2025,07:10:22,27.02,10 min
02-04-2025,07:20:22,27.01,10 min
02-04-2025,07:30:22,25.70,10 min
02-04-2025,07:40:22,26.96,10 min
02-04-2025,07:50:22,25.61,10 min
02-04-2025,08:00:22,27.00,10 min
02-04-2025,08:10:22,26.92,10 min
02-04-2025,08:20:22,26.92,10 min
02-04-2025,08:30:22,26.99,10 min
02-04-2025,08:40:22,26.98,10 min
02-04-2025,08:50:22,26.97,10 min
02-04-2025,09:00:22,26.97,10 min
02-04-2025,09:10:22,26.96,10 min
02-04-2025,09:20:22,26.96,10 min
02-04-2025,09:30:22,26.96,10 min
02-04-2025,09:40:22,26.96,10 min
