Date,Time,Temperature(°C),Interval
2025-03-27,14:51:33,-,1 min
27-03-2025,14:51:33,27.61,1 min
27-03-2025,14:52:33,27.59,1 min
27-03-2025,14:53:33,27.57,1 min
27-03-2025,14:54:33,27.54,1 min
27-03-2025,14:55:33,27.52,1 min
27-03-2025,14:56:33,27.50,1 min
27-03-2025,14:57:33,27.48,1 min
27-03-2025,14:58:33,27.46,1 min
27-03-2025,14:59:33,27.43,1 min
27-03-2025,15:00:33,27.41,1 min
27-03-2025,15:01:33,27.39,1 min
27-03-2025,15:02:33,27.37,1 min
27-03-2025,15:03:33,27.35,1 min
27-03-2025,15:04:33,27.33,1 min
27-03-2025,15:05:33,27.32,1 min
27-03-2025,15:06:33,27.29,1 min
27-03-2025,15:07:33,27.27,1 min
27-03-2025,15:08:33,27.25,1 min
27-03-2025,15:09:33,27.23,1 min
27-03-2025,15:10:33,27.21,1 min
27-03-2025,15:11:33,27.19,1 min
27-03-2025,15:12:33,27.17,1 min
27-03-2025,15:13:33,27.14,1 min
27-03-2025,15:14:33,27.13,1 min
27-03-2025,15:15:33,27.11,1 min
27-03-2025,15:16:33,27.09,1 min
27-03-2025,15:17:33,27.07,1 min
27-03-2025,15:18:33,27.06,1 min
27-03-2025,15:19:33,27.04,1 min
27-03-2025,15:20:33,27.03,1 min
27-03-2025,15:21:33,27.01,1 min
27-03-2025,15:22:33,27.00,1 min
27-03-2025,15:23:33,26.98,1 min
27-03-2025,15:24:33,26.97,1 min
27-03-2025,15:25:33,26.96,1 min
27-03-2025,15:26:33,26.93,1 min
27-03-2025,15:27:33,26.93,1 min
27-03-2025,15:28:33,26.92,1 min
27-03-2025,15:29:33,26.90,1 min
27-03-2025,15:30:33,26.89,1 min
27-03-2025,15:31:33,26.89,1 min
27-03-2025,15:32:33,26.87,1 min
27-03-2025,15:33:33,26.85,1 min
27-03-2025,15:34:33,26.85,1 min
27-03-2025,15:35:33,26.83,1 min
27-03-2025,15:36:33,26.82,1 min
27-03-2025,15:37:33,26.81,1 min
27-03-2025,15:38:33,26.81,1 min
27-03-2025,15:39:33,26.79,1 min
27-03-2025,15:40:33,26.78,1 min
27-03-2025,15:41:33,26.77,1 min
27-03-2025,15:42:33,26.76,1 min
27-03-2025,15:43:33,26.74,1 min
27-03-2025,15:44:33,26.73,1 min
27-03-2025,15:45:33,26.72,1 min
27-03-2025,15:46:33,26.71,1 min
27-03-2025,15:47:33,26.71,1 min
27-03-2025,15:48:33,26.69,1 min
27-03-2025,15:49:33,26.67,1 min
27-03-2025,15:50:33,26.67,1 min
27-03-2025,15:51:33,26.67,1 min
27-03-2025,15:52:33,26.66,1 min
27-03-2025,15:53:33,26.65,1 min
27-03-2025,15:54:33,26.64,1 min
27-03-2025,15:55:33,26.64,1 min
27-03-2025,15:56:33,26.63,1 min
27-03-2025,15:57:33,26.63,1 min
27-03-2025,15:58:33,26.61,1 min
27-03-2025,15:59:33,26.60,1 min
27-03-2025,16:00:33,26.60,1 min
27-03-2025,16:01:33,26.60,1 min
27-03-2025,16:02:33,26.59,1 min
27-03-2025,16:03:33,26.58,1 min
27-03-2025,16:04:33,26.58,1 min
27-03-2025,16:05:33,26.57,1 min
27-03-2025,16:06:33,26.57,1 min
27-03-2025,16:07:33,26.56,1 min
27-03-2025,16:08:33,26.56,1 min
27-03-2025,16:09:33,26.55,1 min
27-03-2025,16:10:33,26.54,1 min
27-03-2025,16:11:33,26.54,1 min
27-03-2025,16:12:33,26.54,1 min
27-03-2025,16:13:33,26.53,1 min
27-03-2025,16:14:33,26.53,1 min
27-03-2025,16:15:33,26.53,1 min
27-03-2025,16:16:33,26.52,1 min
27-03-2025,16:17:33,26.50,1 min
27-03-2025,16:18:33,26.51,1 min
27-03-2025,16:19:33,26.50,1 min
27-03-2025,16:20:33,26.50,1 min
27-03-2025,16:21:33,26.49,1 min
27-03-2025,16:22:33,26.50,1 min
27-03-2025,16:23:33,26.49,1 min
27-03-2025,16:24:33,26.49,1 min
27-03-2025,16:25:33,26.48,1 min
27-03-2025,16:26:33,26.47,1 min
27-03-2025,16:27:33,26.47,1 min
27-03-2025,16:28:33,26.47,1 min
27-03-2025,16:29:33,26.46,1 min
27-03-2025,16:30:33,26.46,1 min
27-03-2025,16:31:33,26.46,1 min
27-03-2025,16:32:33,26.45,1 min
