Date,Time,Temperature(°C),Interval
2025-03-28,10:40:41,-,10 min
29-03-2025,10:40:41,26.16,10 min
29-03-2025,10:50:41,26.15,10 min
29-03-2025,11:00:41,26.15,10 min
29-03-2025,11:10:41,26.15,10 min
29-03-2025,11:20:41,26.14,10 min
29-03-2025,11:30:41,26.15,10 min
29-03-2025,11:40:41,26.15,10 min
29-03-2025,11:50:41,26.14,10 min
29-03-2025,12:00:41,26.15,10 min
29-03-2025,12:10:41,26.15,10 min
29-03-2025,12:10:41,26.14,10 min
29-03-2025,12:20:41,26.14,10 min
29-03-2025,12:30:41,26.15,10 min
29-03-2025,12:40:41,26.10,10 min
29-03-2025,12:50:41,26.15,10 min
29-03-2025,13:00:41,26.15,10 min
29-03-2025,13:10:41,26.15,10 min
29-03-2025,13:20:41,26.11,10 min
29-03-2025,13:30:41,26.15,10 min
29-03-2025,13:40:41,26.14,10 min
29-03-2025,13:40:41,26.15,10 min
29-03-2025,13:50:41,25.99,10 min
29-03-2025,14:00:41,26.15,10 min
29-03-2025,14:10:41,26.15,10 min
29-03-2025,14:20:41,25.99,10 min
29-03-2025,14:30:41,26.15,10 min
29-03-2025,14:40:41,26.14,10 min
29-03-2025,14:50:41,26.15,10 min
29-03-2025,15:00:41,26.14,10 min
29-03-2025,15:10:41,26.16,10 min
29-03-2025,15:10:41,26.15,10 min
29-03-2025,15:20:41,26.15,10 min
29-03-2025,15:30:41,26.15,10 min
29-03-2025,15:40:41,26.15,10 min
29-03-2025,15:50:41,26.14,10 min
29-03-2025,16:00:41,26.15,10 min
29-03-2025,16:10:41,26.14,10 min
29-03-2025,16:20:41,26.15,10 min
29-03-2025,16:30:41,26.15,10 min
29-03-2025,16:40:41,25.83,10 min
29-03-2025,16:40:41,26.12,10 min
29-03-2025,16:50:41,26.15,10 min
29-03-2025,17:00:41,26.15,10 min
29-03-2025,17:10:41,26.14,10 min
29-03-2025,17:20:41,26.11,10 min
29-03-2025,17:30:41,26.14,10 min
29-03-2025,17:40:41,26.14,10 min
29-03-2025,17:50:41,26.15,10 min
29-03-2025,18:00:41,26.14,10 min
29-03-2025,18:10:41,26.14,10 min
