Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,13:37:07,-,10 min
02-04-2025,13:37:07,24.4,10
02-04-2025,13:47:07,24.4,10
02-04-2025,13:57:07,24.3,10
02-04-2025,14:07:07,24.4,10
02-04-2025,14:17:07,24.4,10
02-04-2025,14:27:07,24.4,10
02-04-2025,14:37:07,24.4,10
02-04-2025,14:47:07,24.4,10
02-04-2025,14:57:07,24.4,10
02-04-2025,15:07:07,24.4,10
02-04-2025,15:17:07,24.4,10
02-04-2025,15:27:07,24.4,10
02-04-2025,15:37:07,24.4,10
02-04-2025,15:47:07,24.4,10
02-04-2025,15:57:07,24.4,10
02-04-2025,16:07:07,24.4,10
02-04-2025,16:17:07,24.4,10
02-04-2025,16:27:07,24.4,10
02-04-2025,16:37:07,24.3,10
02-04-2025,16:47:07,24.4,10
02-04-2025,16:57:07,24.4,10
02-04-2025,17:07:07,24.4,10
02-04-2025,17:17:07,24.4,10
02-04-2025,17:27:07,24.4,10
02-04-2025,17:37:07,24.3,10
02-04-2025,17:47:07,24.4,10
02-04-2025,17:57:07,24.3,10
02-04-2025,18:07:07,24.4,10
02-04-2025,18:17:07,24.4,10
02-04-2025,18:27:07,24.4,10
02-04-2025,18:37:07,24.4,10
02-04-2025,18:47:07,24.4,10
02-04-2025,18:57:07,24.4,10
02-04-2025,19:07:07,24.4,10
02-04-2025,19:17:07,24.4,10
02-04-2025,19:27:07,24.4,10
02-04-2025,19:37:07,24.4,10
02-04-2025,19:47:07,24.4,10
02-04-2025,19:57:07,24.4,10
02-04-2025,20:07:07,24.4,10
02-04-2025,20:17:07,24.4,10
02-04-2025,20:27:07,24.4,10
02-04-2025,20:37:07,24.4,10
02-04-2025,20:47:07,24.4,10
02-04-2025,20:57:07,24.3,10
02-04-2025,21:07:07,24.4,10
02-04-2025,21:17:07,24.4,10
02-04-2025,21:27:07,24.4,10
02-04-2025,21:37:07,24.4,10
02-04-2025,21:47:07,24.4,10
02-04-2025,21:57:07,24.4,10
02-04-2025,22:07:07,24.4,10
02-04-2025,22:17:07,24.4,10
02-04-2025,22:27:07,24.4,10
02-04-2025,22:37:07,24.4,10
02-04-2025,22:47:07,24.3,10
02-04-2025,22:57:07,24.4,10
02-04-2025,23:07:07,21.9,10
02-04-2025,23:17:07,24.3,10
02-04-2025,23:27:07,24.4,10
02-04-2025,23:37:07,24.4,10
02-04-2025,23:47:07,24.4,10
02-04-2025,23:57:07,24.4,10
03-04-2025,00:07:07,24.4,10
03-04-2025,00:17:07,24.4,10
03-04-2025,00:27:07,24.4,10
03-04-2025,00:37:07,24.3,10
03-04-2025,00:47:07,24.4,10
03-04-2025,00:57:07,24.4,10
03-04-2025,01:07:07,24.4,10
03-04-2025,01:17:07,24.4,10
03-04-2025,01:27:07,24.3,10
03-04-2025,01:37:07,24.3,10
03-04-2025,01:47:07,24.4,10
03-04-2025,01:57:07,24.3,10
03-04-2025,02:07:07,24.4,10
03-04-2025,02:17:07,24.4,10
03-04-2025,02:27:07,24.4,10
03-04-2025,02:37:07,24.4,10
03-04-2025,02:47:07,24.4,10
03-04-2025,02:57:07,24.4,10
03-04-2025,03:07:07,24.4,10
03-04-2025,03:17:07,24.3,10
03-04-2025,03:27:07,24.3,10
03-04-2025,03:37:07,24.4,10
03-04-2025,03:47:07,24.4,10
03-04-2025,03:57:07,24.3,10
03-04-2025,04:07:07,24.4,10
03-04-2025,04:17:07,24.4,10
03-04-2025,04:27:07,24.4,10
03-04-2025,04:37:07,24.4,10
03-04-2025,04:47:07,24.4,10
03-04-2025,04:57:07,24.4,10
03-04-2025,05:07:07,24.4,10
03-04-2025,05:17:07,24.4,10
03-04-2025,05:27:07,24.4,10
03-04-2025,05:37:07,24.4,10
03-04-2025,05:47:07,24.4,10
03-04-2025,05:57:07,24.4,10
03-04-2025,06:07:07,24.4,10
03-04-2025,06:17:07,24.4,10
03-04-2025,06:27:07,24.4,10
03-04-2025,06:37:07,24.4,10
03-04-2025,06:47:07,24.4,10
03-04-2025,06:57:07,24.4,10
03-04-2025,07:07:07,24.4,10
03-04-2025,07:17:07,24.4,10
03-04-2025,07:27:07,24.3,10
03-04-2025,07:37:07,24.3,10
03-04-2025,07:47:07,24.4,10
03-04-2025,07:57:07,24.4,10
03-04-2025,08:07:07,24.3,10
03-04-2025,08:17:07,24.4,10
03-04-2025,08:27:07,24.4,10
03-04-2025,08:37:07,24.4,10
03-04-2025,08:47:07,24.3,10
03-04-2025,08:57:07,24.4,10
03-04-2025,09:07:07,24.4,10
03-04-2025,09:17:07,24.3,10
03-04-2025,09:27:07,24.4,10
03-04-2025,09:37:07,24.4,10
03-04-2025,09:47:07,24.4,10
03-04-2025,09:57:07,24.4,10
03-04-2025,10:07:07,24.4,10
03-04-2025,10:17:07,24.4,10
03-04-2025,10:27:07,24.4,10
03-04-2025,10:37:07,24.4,10
03-04-2025,10:47:07,24.4,10
03-04-2025,10:57:07,24.3,10
03-04-2025,11:07:07,24.4,10
03-04-2025,11:17:07,24.3,10
03-04-2025,11:27:07,24.3,10
03-04-2025,11:37:07,24.3,10
03-04-2025,11:47:07,24.3,10
03-04-2025,11:57:07,24.3,10
03-04-2025,12:07:07,24.3,10
03-04-2025,12:17:07,24.3,10
03-04-2025,12:27:07,24.3,10
03-04-2025,12:37:07,24.3,10
03-04-2025,12:47:07,24.3,10
03-04-2025,12:57:07,24.3,10
03-04-2025,13:07:07,24.3,10
03-04-2025,13:17:07,24.3,10
03-04-2025,13:27:07,24.3,10
03-04-2025,13:37:07,24.3,10
03-04-2025,13:47:07,24.3,10
03-04-2025,13:57:07,24.3,10
03-04-2025,14:07:07,24.3,10
03-04-2025,14:17:07,24.3,10
03-04-2025,14:27:07,24.3,10
03-04-2025,14:37:07,24.3,10
03-04-2025,14:47:07,24.3,10
03-04-2025,14:57:07,24.3,10
03-04-2025,15:07:07,24.3,10
03-04-2025,15:17:07,24.3,10
03-04-2025,15:27:07,24.3,10
03-04-2025,15:37:07,24.3,10
03-04-2025,15:47:07,24.3,10
03-04-2025,15:57:07,24.3,10
03-04-2025,16:07:07,24.3,10
03-04-2025,16:17:07,24.3,10
