Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,11:13:54,-,5 min
02-04-2025,11:13:54,24.8,5
02-04-2025,11:18:54,24.5,5
02-04-2025,11:23:54,24.8,5
02-04-2025,11:28:54,24.8,5
02-04-2025,11:33:54,24.8,5
02-04-2025,11:38:54,24.8,5
02-04-2025,11:43:54,24.8,5
02-04-2025,11:48:54,24.8,5
02-04-2025,11:53:54,24.8,5
02-04-2025,11:58:54,24.8,5
02-04-2025,12:03:54,24.3,5
02-04-2025,12:08:54,24.8,5
02-04-2025,12:13:54,24.8,5
02-04-2025,12:18:54,24.8,5
02-04-2025,12:23:54,24.8,5
02-04-2025,12:28:54,24.8,5
02-04-2025,12:33:54,24.8,5
02-04-2025,12:38:54,24.8,5
02-04-2025,12:43:54,24.6,5
02-04-2025,12:48:54,24.8,5
02-04-2025,12:53:54,24.8,5
02-04-2025,12:58:54,24.8,5
02-04-2025,13:03:54,24.5,5
02-04-2025,13:08:54,24.8,5
02-04-2025,13:13:54,24.8,5
02-04-2025,13:18:54,24.8,5
02-04-2025,13:23:54,24.4,5
02-04-2025,13:28:54,24.8,5
02-04-2025,13:33:54,24.8,5
02-04-2025,13:38:54,23.2,5
