Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,23:59:56,-,10 min
02-04-2025,23:59:56,27.9,10
03-04-2025,00:09:56,27.9,10
03-04-2025,00:19:56,27.9,10
03-04-2025,00:29:56,27.9,10
03-04-2025,00:39:56,27.9,10
03-04-2025,00:49:56,27.9,10
03-04-2025,00:59:56,27.9,10
03-04-2025,01:09:56,27.9,10
03-04-2025,01:19:56,27.9,10
03-04-2025,01:29:56,27.8,10
03-04-2025,01:39:56,27.9,10
03-04-2025,01:49:56,27.9,10
03-04-2025,01:59:56,27.6,10
03-04-2025,02:09:56,27.9,10
03-04-2025,02:19:56,27.9,10
03-04-2025,02:29:56,27.9,10
03-04-2025,02:39:56,27.9,10
03-04-2025,02:49:56,27.9,10
03-04-2025,02:59:56,27.8,10
03-04-2025,03:09:56,27.9,10
