Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,23:55:50,-,10 min
02-04-2025,23:55:50,27.6,10
03-04-2025,00:05:50,27.6,10
03-04-2025,00:15:50,27.5,10
03-04-2025,00:25:50,27.6,10
03-04-2025,00:35:50,27.6,10
03-04-2025,00:45:50,27.6,10
03-04-2025,00:55:50,27.6,10
03-04-2025,01:05:50,27.6,10
03-04-2025,01:15:50,27.6,10
03-04-2025,01:25:50,27.6,10
03-04-2025,01:35:50,27.6,10
03-04-2025,01:45:50,27.6,10
03-04-2025,01:55:50,27.6,10
03-04-2025,02:05:50,27.6,10
03-04-2025,02:15:50,27.6,10
03-04-2025,02:25:50,27.6,10
03-04-2025,02:35:50,27.6,10
03-04-2025,02:45:50,27.6,10
03-04-2025,02:55:50,27.5,10
03-04-2025,03:05:50,27.0,10
03-04-2025,03:15:50,27.6,10
03-04-2025,03:25:50,27.6,10
03-04-2025,03:35:50,27.6,10
03-04-2025,03:45:50,27.6,10
03-04-2025,03:55:50,27.5,10
03-04-2025,04:05:50,27.6,10
03-04-2025,04:15:50,27.0,10
03-04-2025,04:25:50,27.5,10
03-04-2025,04:35:50,27.6,10
03-04-2025,04:45:50,27.6,10
03-04-2025,04:55:50,27.6,10
03-04-2025,05:05:50,27.6,10
03-04-2025,05:15:50,27.6,10
03-04-2025,05:25:50,22.5,10
03-04-2025,05:35:50,27.6,10
03-04-2025,05:45:50,27.6,10
03-04-2025,05:55:50,27.6,10
03-04-2025,06:05:50,27.6,10
03-04-2025,06:15:50,27.6,10
03-04-2025,06:25:50,27.6,10
03-04-2025,06:35:50,27.6,10
03-04-2025,06:45:50,27.6,10
03-04-2025,06:55:50,27.6,10
03-04-2025,07:05:50,27.6,10
03-04-2025,07:15:50,27.6,10
03-04-2025,07:25:50,27.6,10
03-04-2025,07:35:50,27.6,10
03-04-2025,07:45:50,27.6,10
03-04-2025,07:55:50,27.6,10
03-04-2025,08:05:50,22.5,10
03-04-2025,08:15:50,27.0,10
03-04-2025,08:25:50,27.6,10
03-04-2025,08:35:50,27.6,10
03-04-2025,08:45:50,27.6,10
03-04-2025,08:55:50,22.5,10
03-04-2025,09:05:50,27.5,10
03-04-2025,09:15:50,27.6,10
03-04-2025,09:25:50,27.6,10
03-04-2025,09:35:50,27.5,10
03-04-2025,09:45:50,22.5,10
03-04-2025,09:55:50,27.6,10
03-04-2025,10:05:50,27.6,10
03-04-2025,10:15:50,27.0,10
03-04-2025,10:25:50,27.6,10
03-04-2025,10:35:50,27.6,10
03-04-2025,10:45:50,27.6,10
03-04-2025,10:55:50,27.6,10
03-04-2025,11:05:50,27.6,10
03-04-2025,11:15:50,27.7,10
03-04-2025,11:25:50,27.5,10
03-04-2025,11:35:50,27.5,10
03-04-2025,11:45:50,27.7,10
03-04-2025,11:55:50,25.7,10
03-04-2025,12:05:50,27.6,10
03-04-2025,12:15:50,27.7,10
03-04-2025,12:25:50,27.7,10
03-04-2025,12:35:50,27.7,10
03-04-2025,12:45:50,27.6,10
03-04-2025,12:55:50,27.7,10
03-04-2025,13:05:50,27.0,10
03-04-2025,13:15:50,27.7,10
03-04-2025,13:25:50,27.5,10
03-04-2025,13:35:50,21.9,10
03-04-2025,13:45:50,27.7,10
03-04-2025,13:55:50,27.7,10
03-04-2025,14:05:50,27.7,10
03-04-2025,14:15:50,27.0,10
03-04-2025,14:25:50,27.6,10
03-04-2025,14:35:50,27.0,10
03-04-2025,14:45:50,27.0,10
03-04-2025,14:55:50,27.6,10
03-04-2025,15:05:50,27.7,10
03-04-2025,15:15:50,27.7,10
03-04-2025,15:25:50,27.7,10
03-04-2025,15:35:50,27.7,10
03-04-2025,15:45:50,27.7,10
03-04-2025,15:55:50,27.6,10
03-04-2025,16:05:50,27.7,10
03-04-2025,16:15:50,25.8,10
03-04-2025,16:25:50,27.7,10
03-04-2025,16:35:50,27.0,10
03-04-2025,16:45:50,27.7,10
03-04-2025,16:55:50,27.7,10
03-04-2025,17:05:50,27.7,10
03-04-2025,17:15:50,27.7,10
03-04-2025,17:25:50,21.8,10
03-04-2025,17:35:50,27.7,10
03-04-2025,17:45:50,27.0,10
03-04-2025,17:55:50,27.7,10
03-04-2025,18:05:50,27.7,10
03-04-2025,18:15:50,27.7,10
03-04-2025,18:25:50,27.7,10
03-04-2025,18:35:50,26.9,10
03-04-2025,18:45:50,26.4,10
03-04-2025,18:55:50,27.7,10
03-04-2025,19:05:50,27.7,10
03-04-2025,19:15:50,27.7,10
03-04-2025,19:25:50,27.7,10
03-04-2025,19:35:50,27.6,10
03-04-2025,19:45:50,27.7,10
03-04-2025,19:55:50,27.1,10
03-04-2025,20:05:50,27.7,10
03-04-2025,20:15:50,27.1,10
03-04-2025,20:25:50,27.7,10
03-04-2025,20:35:50,27.7,10
03-04-2025,20:45:50,27.7,10
03-04-2025,20:55:50,27.1,10
03-04-2025,21:05:50,27.7,10
03-04-2025,21:15:50,26.4,10
03-04-2025,21:25:50,27.1,10
