Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,12:36:25,-,10 min
02-04-2025,12:36:25,25.1,10
02-04-2025,12:46:25,25.1,10
02-04-2025,13:06:25,24.5,10
02-04-2025,13:36:25,25.1,10
02-04-2025,14:16:25,24.5,10
02-04-2025,15:06:25,25.1,10
02-04-2025,16:06:25,25.1,10
02-04-2025,17:16:25,25.1,10
02-04-2025,18:36:25,25.0,10
02-04-2025,20:06:25,25.1,10
02-04-2025,21:46:25,25.1,10
02-04-2025,21:56:25,25.1,10
02-04-2025,22:16:25,25.1,10
02-04-2025,22:46:25,25.1,10
02-04-2025,23:26:25,25.1,10
03-04-2025,00:16:25,25.1,10
03-04-2025,01:16:25,25.1,10
03-04-2025,02:26:25,24.9,10
03-04-2025,03:46:25,25.1,10
03-04-2025,05:16:25,25.1,10
03-04-2025,06:56:25,25.1,10
03-04-2025,07:06:25,25.1,10
03-04-2025,07:26:25,25.1,10
03-04-2025,07:56:25,25.1,10
03-04-2025,08:36:25,25.1,10
03-04-2025,09:26:25,25.1,10
03-04-2025,10:26:25,25.1,10
03-04-2025,11:36:25,25.1,10
03-04-2025,12:56:25,25.1,10
03-04-2025,14:26:25,25.1,10
