Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,11:26:31,-,10 min
02-04-2025,11:26:31,25.0,10
02-04-2025,11:36:31,24.9,10
02-04-2025,11:46:31,25.0,10
02-04-2025,11:56:31,25.0,10
02-04-2025,12:06:31,25.0,10
02-04-2025,12:16:31,25.0,10
02-04-2025,12:26:31,25.0,10
02-04-2025,12:36:31,25.0,10
02-04-2025,12:46:31,25.0,10
02-04-2025,12:56:31,25.0,10
02-04-2025,13:06:31,25.0,10
02-04-2025,13:16:31,25.0,10
02-04-2025,13:26:31,25.0,10
02-04-2025,13:36:31,25.0,10
02-04-2025,13:46:31,25.0,10
02-04-2025,13:56:31,25.0,10
02-04-2025,14:06:31,25.0,10
02-04-2025,14:16:31,25.0,10
02-04-2025,14:26:31,25.0,10
02-04-2025,14:36:31,25.0,10
02-04-2025,14:46:31,25.0,10
02-04-2025,14:56:31,25.0,10
02-04-2025,15:06:31,25.0,10
02-04-2025,15:16:31,25.0,10
02-04-2025,15:26:31,25.0,10
02-04-2025,15:36:31,25.0,10
02-04-2025,15:46:31,25.0,10
02-04-2025,15:56:31,25.0,10
02-04-2025,16:06:31,25.0,10
02-04-2025,16:16:31,25.0,10
02-04-2025,16:26:31,25.0,10
02-04-2025,16:36:31,25.0,10
02-04-2025,16:46:31,25.0,10
02-04-2025,16:56:31,25.0,10
02-04-2025,17:06:31,25.0,10
02-04-2025,17:16:31,24.9,10
02-04-2025,17:26:31,24.9,10
02-04-2025,17:36:31,24.9,10
02-04-2025,17:46:31,24.9,10
02-04-2025,17:56:31,24.9,10
02-04-2025,18:06:31,24.9,10
02-04-2025,18:16:31,24.9,10
02-04-2025,18:26:31,24.9,10
02-04-2025,18:36:31,24.9,10
02-04-2025,18:46:31,24.9,10
02-04-2025,18:56:31,24.9,10
02-04-2025,19:06:31,24.9,10
02-04-2025,19:16:31,24.9,10
02-04-2025,19:26:31,24.9,10
02-04-2025,19:36:31,24.9,10
02-04-2025,19:46:31,24.5,10
02-04-2025,19:56:31,24.8,10
02-04-2025,20:06:31,24.5,10
02-04-2025,20:16:31,24.5,10
02-04-2025,20:26:31,24.5,10
02-04-2025,20:36:31,24.5,10
02-04-2025,20:46:31,24.9,10
02-04-2025,20:56:31,24.5,10
02-04-2025,21:06:31,24.9,10
02-04-2025,21:16:31,24.5,10
02-04-2025,21:26:31,24.9,10
02-04-2025,21:36:31,24.9,10
02-04-2025,21:46:31,24.9,10
02-04-2025,21:56:31,24.9,10
02-04-2025,22:06:31,24.9,10
02-04-2025,22:16:31,24.9,10
02-04-2025,22:26:31,24.5,10
02-04-2025,22:36:31,24.5,10
02-04-2025,22:46:31,24.8,10
02-04-2025,22:56:31,24.9,10
02-04-2025,23:06:31,24.9,10
02-04-2025,23:16:31,24.9,10
02-04-2025,23:26:31,24.9,10
02-04-2025,23:36:31,24.6,10
02-04-2025,23:46:31,24.9,10
02-04-2025,23:56:31,24.9,10
03-04-2025,00:06:31,24.9,10
03-04-2025,00:16:31,24.5,10
03-04-2025,00:26:31,24.8,10
03-04-2025,00:36:31,24.9,10
03-04-2025,00:46:31,24.9,10
03-04-2025,00:56:31,24.5,10
03-04-2025,01:06:31,24.9,10
03-04-2025,01:16:31,24.5,10
03-04-2025,01:26:31,24.9,10
03-04-2025,01:36:31,24.6,10
03-04-2025,01:46:31,24.9,10
03-04-2025,01:56:31,24.9,10
03-04-2025,02:06:31,24.9,10
03-04-2025,02:16:31,24.9,10
03-04-2025,02:26:31,24.9,10
03-04-2025,02:36:31,24.9,10
03-04-2025,02:46:31,24.9,10
03-04-2025,02:56:31,24.9,10
03-04-2025,03:06:31,24.9,10
03-04-2025,03:16:31,24.9,10
03-04-2025,03:26:31,24.9,10
03-04-2025,03:36:31,24.9,10
03-04-2025,03:46:31,24.9,10
03-04-2025,03:56:31,25.0,10
03-04-2025,04:06:31,25.0,10
03-04-2025,04:16:31,25.0,10
03-04-2025,04:26:31,25.0,10
03-04-2025,04:36:31,25.0,10
03-04-2025,04:46:31,25.0,10
03-04-2025,04:56:31,25.0,10
03-04-2025,05:06:31,25.0,10
03-04-2025,05:16:31,25.0,10
03-04-2025,05:26:31,25.0,10
03-04-2025,05:36:31,25.0,10
03-04-2025,05:46:31,25.0,10
03-04-2025,05:56:31,25.0,10
03-04-2025,06:06:31,25.0,10
03-04-2025,06:16:31,25.0,10
03-04-2025,06:26:31,25.0,10
03-04-2025,06:36:31,25.0,10
03-04-2025,06:46:31,24.9,10
03-04-2025,06:56:31,25.0,10
03-04-2025,07:06:31,25.0,10
03-04-2025,07:16:31,25.0,10
03-04-2025,07:26:31,25.0,10
03-04-2025,07:36:31,25.0,10
03-04-2025,07:46:31,25.1,10
03-04-2025,07:56:31,25.1,10
03-04-2025,08:06:31,25.1,10
03-04-2025,08:16:31,25.1,10
03-04-2025,08:26:31,25.1,10
03-04-2025,08:36:31,25.1,10
03-04-2025,08:46:31,25.1,10
03-04-2025,08:56:31,25.1,10
03-04-2025,09:06:31,25.1,10
03-04-2025,09:16:31,25.1,10
03-04-2025,09:26:31,25.1,10
03-04-2025,09:36:31,25.1,10
03-04-2025,09:46:31,25.1,10
03-04-2025,09:56:31,25.2,10
03-04-2025,10:06:31,25.2,10
03-04-2025,10:16:31,25.2,10
03-04-2025,10:26:31,25.2,10
03-04-2025,10:36:31,25.2,10
