Date,Time,Temperature(°C),Interval
2025-03-28,10:57:46,-,10 min
28-03-2025,10:57:46,26.18,10 min
28-03-2025,11:07:46,26.09,10 min
28-03-2025,11:17:46,26.18,10 min
28-03-2025,11:27:46,26.17,10 min
28-03-2025,11:37:46,26.10,10 min
28-03-2025,11:47:46,26.10,10 min
28-03-2025,11:57:46,26.18,10 min
28-03-2025,12:07:46,26.18,10 min
28-03-2025,12:17:46,26.17,10 min
28-03-2025,12:27:46,26.17,10 min
28-03-2025,12:37:46,26.18,10 min
28-03-2025,12:47:46,26.18,10 min
28-03-2025,12:57:46,26.18,10 min
28-03-2025,13:07:46,26.16,10 min
28-03-2025,13:17:46,26.18,10 min
28-03-2025,13:27:46,26.18,10 min
28-03-2025,13:37:46,26.18,10 min
28-03-2025,13:47:46,26.18,10 min
28-03-2025,13:57:46,26.17,10 min
28-03-2025,14:07:46,26.18,10 min
28-03-2025,14:17:46,26.10,10 min
28-03-2025,14:27:46,26.02,10 min
28-03-2025,14:37:46,26.17,10 min
28-03-2025,14:47:46,26.18,10 min
28-03-2025,14:57:46,25.94,10 min
28-03-2025,15:07:46,26.18,10 min
28-03-2025,15:17:46,26.17,10 min
28-03-2025,15:27:46,26.09,10 min
28-03-2025,15:37:46,26.10,10 min
28-03-2025,15:47:46,26.18,10 min
