Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,16:53:44,-,1 min
01-04-2025,14:24:37,32.9,1
01-04-2025,14:25:37,37.9,1
01-04-2025,14:26:37,38.0,1
01-04-2025,14:27:37,38.1,1
01-04-2025,14:28:37,38.1,1
01-04-2025,14:29:37,38.0,1
01-04-2025,14:30:37,37.9,1
01-04-2025,14:31:37,37.8,1
01-04-2025,14:32:37,32.6,1
01-04-2025,14:33:37,37.7,1
01-04-2025,14:34:37,37.8,1
01-04-2025,14:35:37,37.8,1
01-04-2025,14:36:37,37.9,1
01-04-2025,14:37:37,38.0,1
01-04-2025,14:38:37,38.0,1
01-04-2025,14:39:37,37.3,1
01-04-2025,14:40:37,38.0,1
01-04-2025,14:41:37,37.9,1
01-04-2025,14:42:37,37.8,1
01-04-2025,14:43:37,37.6,1
01-04-2025,14:44:37,26.9,1
01-04-2025,14:45:37,37.2,1
01-04-2025,14:46:37,36.9,1
01-04-2025,14:47:37,36.7,1
01-04-2025,14:48:37,36.4,1
01-04-2025,14:49:37,36.3,1
01-04-2025,14:50:37,36.2,1
01-04-2025,14:51:37,36.1,1
01-04-2025,14:52:37,36.0,1
01-04-2025,14:53:37,36.1,1
