Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,17:40:56,-,30 sec
01-04-2025,14:24:37,27.4,1
01-04-2025,14:25:37,28.1,1
01-04-2025,14:26:37,29.1,1
01-04-2025,14:27:37,30.4,1
01-04-2025,14:28:37,31.6,1
01-04-2025,14:29:37,32.7,1
01-04-2025,14:30:37,33.6,1
01-04-2025,14:31:37,34.3,1
01-04-2025,14:32:37,34.9,1
01-04-2025,14:33:37,35.4,1
01-04-2025,14:34:37,35.8,1
01-04-2025,14:35:37,36.2,1
01-04-2025,14:36:37,36.6,1
01-04-2025,14:37:37,36.9,1
01-04-2025,14:38:37,37.2,1
01-04-2025,14:39:37,37.4,1
01-04-2025,14:40:37,37.7,1
01-04-2025,14:41:37,37.9,1
01-04-2025,14:42:37,38.0,1
01-04-2025,14:43:37,38.2,1
01-04-2025,14:44:37,38.4,1
01-04-2025,14:45:37,38.5,1
01-04-2025,14:46:37,38.6,1
01-04-2025,14:47:37,38.6,1
01-04-2025,14:48:37,38.7,1
01-04-2025,14:49:37,38.7,1
01-04-2025,14:50:37,38.8,1
01-04-2025,14:51:37,38.8,1
01-04-2025,14:52:37,38.9,1
01-04-2025,14:53:37,39.0,1
01-04-2025,14:54:37,39.1,1
01-04-2025,14:55:37,39.2,1
01-04-2025,14:56:37,39.3,1
01-04-2025,14:57:37,39.4,1
01-04-2025,14:58:37,39.5,1
01-04-2025,14:59:37,39.5,1
01-04-2025,15:00:37,39.6,1
01-04-2025,15:01:37,39.6,1
01-04-2025,15:02:37,39.7,1
01-04-2025,15:03:37,39.8,1
01-04-2025,15:04:37,39.8,1
01-04-2025,15:05:37,39.9,1
