Date,Time,Temperature(°C),Interval
2025-04-07,17:49:02,-,30 sec
07-04-2025,17:49:02,26.7,30 sec
07-04-2025,17:49:32,26.6,30 sec
07-04-2025,17:50:02,26.5,30 sec
07-04-2025,17:50:32,26.6,30 sec
07-04-2025,17:51:02,26.6,30 sec
07-04-2025,17:51:32,26.6,30 sec
07-04-2025,17:52:02,26.6,30 sec
07-04-2025,17:52:32,26.5,30 sec
07-04-2025,17:53:02,26.5,30 sec
07-04-2025,17:53:32,26.5,30 sec
07-04-2025,17:54:02,26.5,30 sec
07-04-2025,17:54:32,26.5,30 sec
07-04-2025,17:55:02,26.5,30 sec
07-04-2025,17:55:32,26.4,30 sec
07-04-2025,17:56:02,26.4,30 sec
07-04-2025,17:56:32,26.4,30 sec
07-04-2025,17:57:02,26.4,30 sec
07-04-2025,17:57:32,26.4,30 sec
07-04-2025,17:58:02,26.2,30 sec
07-04-2025,17:58:32,26.4,30 sec
07-04-2025,17:59:02,26.4,30 sec
07-04-2025,17:59:32,26.3,30 sec
07-04-2025,18:00:02,26.3,30 sec
07-04-2025,18:00:32,26.3,30 sec
07-04-2025,18:01:02,26.2,30 sec
07-04-2025,18:01:32,26.3,30 sec
07-04-2025,18:02:02,26.3,30 sec
07-04-2025,18:02:32,26.3,30 sec
07-04-2025,18:03:02,26.3,30 sec
07-04-2025,18:03:32,26.3,30 sec
07-04-2025,18:04:02,26.2,30 sec
07-04-2025,18:04:32,26.2,30 sec
07-04-2025,18:05:02,26.2,30 sec
07-04-2025,18:05:32,26.2,30 sec
07-04-2025,18:06:02,26.2,30 sec
07-04-2025,18:06:32,26.2,30 sec
07-04-2025,18:07:02,26.2,30 sec
07-04-2025,18:07:32,26.2,30 sec
07-04-2025,18:08:02,21.1,30 sec
07-04-2025,18:08:32,26.1,30 sec
07-04-2025,18:09:02,26.2,30 sec
07-04-2025,18:09:32,25.8,30 sec
07-04-2025,18:10:02,26.2,30 sec
07-04-2025,18:10:32,26.1,30 sec
07-04-2025,18:11:02,26.1,30 sec
07-04-2025,18:11:32,26.1,30 sec
07-04-2025,18:12:02,25.8,30 sec
07-04-2025,18:12:32,26.1,30 sec
07-04-2025,18:13:02,26.1,30 sec
07-04-2025,18:13:32,21.0,30 sec
