Date,Time,Temperature(°C),Interval(in minutes)
2025-03-31,17:48:37,-,30 sec
31-03-2025,17:48:37,28.3,0.5
31-03-2025,17:49:07,28.3,0.5
31-03-2025,17:49:37,28.3,0.5
31-03-2025,17:50:07,28.3,0.5
31-03-2025,17:50:37,28.3,0.5
31-03-2025,17:51:07,28.3,0.5
31-03-2025,17:51:37,28.3,0.5
31-03-2025,17:52:07,28.3,0.5
31-03-2025,17:52:37,28.3,0.5
31-03-2025,17:53:07,28.3,0.5
31-03-2025,17:53:37,28.3,0.5
31-03-2025,17:54:07,28.3,0.5
31-03-2025,17:54:37,28.3,0.5
31-03-2025,17:55:07,28.3,0.5
31-03-2025,17:55:37,28.3,0.5
31-03-2025,17:56:07,28.3,0.5
31-03-2025,17:56:37,28.3,0.5
31-03-2025,17:57:07,28.3,0.5
31-03-2025,17:57:37,28.3,0.5
31-03-2025,17:58:07,28.3,0.5
31-03-2025,17:58:37,28.3,0.5
31-03-2025,17:59:07,28.3,0.5
31-03-2025,17:59:37,28.3,0.5
31-03-2025,18:00:07,28.3,0.5
31-03-2025,18:00:37,28.3,0.5
31-03-2025,18:01:07,28.3,0.5
31-03-2025,18:01:37,28.3,0.5
31-03-2025,18:02:07,28.3,0.5
31-03-2025,18:02:37,28.3,0.5
31-03-2025,18:03:07,28.3,0.5
31-03-2025,18:03:37,28.3,0.5
31-03-2025,18:04:07,28.3,0.5
31-03-2025,18:04:37,28.3,0.5
31-03-2025,18:05:07,28.3,0.5
31-03-2025,18:05:37,28.3,0.5
31-03-2025,18:06:07,28.3,0.5
31-03-2025,18:06:37,28.3,0.5
31-03-2025,18:07:07,28.3,0.5
31-03-2025,18:07:37,28.3,0.5
31-03-2025,18:08:07,28.3,0.5
31-03-2025,18:08:37,28.3,0.5
31-03-2025,18:09:07,28.3,0.5
31-03-2025,18:09:37,28.3,0.5
31-03-2025,18:10:07,28.3,0.5
31-03-2025,18:10:37,28.3,0.5
31-03-2025,18:11:07,28.3,0.5
31-03-2025,18:11:37,28.3,0.5
31-03-2025,18:12:07,28.3,0.5
31-03-2025,18:12:37,28.3,0.5
31-03-2025,18:13:07,28.3,0.5
31-03-2025,18:13:37,28.3,0.5
31-03-2025,18:14:07,28.3,0.5
31-03-2025,18:14:37,28.3,0.5
31-03-2025,18:15:07,28.3,0.5
31-03-2025,18:15:37,28.3,0.5
31-03-2025,18:16:07,28.3,0.5
31-03-2025,18:16:37,28.3,0.5
31-03-2025,18:17:07,28.3,0.5
31-03-2025,18:17:37,28.3,0.5
31-03-2025,18:18:07,28.3,0.5
31-03-2025,18:18:37,28.3,0.5
31-03-2025,18:19:07,28.3,0.5
31-03-2025,18:19:37,28.3,0.5
31-03-2025,18:20:07,28.3,0.5
31-03-2025,18:20:37,28.3,0.5
31-03-2025,18:21:07,28.3,0.5
31-03-2025,18:21:37,28.3,0.5
31-03-2025,18:22:07,28.3,0.5
31-03-2025,18:22:37,28.3,0.5
31-03-2025,18:23:07,28.4,0.5
31-03-2025,18:23:37,28.4,0.5
31-03-2025,18:24:07,28.4,0.5
31-03-2025,18:24:37,28.4,0.5
31-03-2025,18:25:07,28.4,0.5
31-03-2025,18:25:37,28.4,0.5
31-03-2025,18:26:07,28.4,0.5
31-03-2025,18:26:37,28.4,0.5
31-03-2025,18:27:07,28.4,0.5
31-03-2025,18:27:37,28.4,0.5
31-03-2025,18:28:07,28.4,0.5
31-03-2025,18:28:37,28.4,0.5
31-03-2025,18:29:07,28.4,0.5
31-03-2025,18:29:37,28.4,0.5
