Date,Time,Temperature(°C),Interval(in minutes)
2025-03-31,14:30:41,-,30 sec
31-03-2025,14:30:41,26.7,0.5
31-03-2025,14:31:11,26.3,0.5
31-03-2025,14:31:41,26.1,0.5
31-03-2025,14:32:11,26.1,0.5
31-03-2025,14:32:41,26.1,0.5
31-03-2025,14:33:11,26.1,0.5
31-03-2025,14:33:41,26.1,0.5
31-03-2025,14:34:11,26.0,0.5
31-03-2025,14:34:41,26.0,0.5
31-03-2025,14:35:11,26.0,0.5
31-03-2025,14:35:41,26.0,0.5
31-03-2025,14:36:11,25.9,0.5
31-03-2025,14:36:41,25.9,0.5
31-03-2025,14:37:11,25.9,0.5
31-03-2025,14:37:41,25.9,0.5
31-03-2025,14:38:11,25.8,0.5
31-03-2025,14:38:41,25.8,0.5
31-03-2025,14:39:11,25.8,0.5
31-03-2025,14:39:41,25.8,0.5
31-03-2025,14:40:11,25.7,0.5
31-03-2025,14:40:41,25.7,0.5
31-03-2025,14:41:11,25.7,0.5
31-03-2025,14:41:41,25.7,0.5
31-03-2025,14:42:11,25.6,0.5
31-03-2025,14:42:41,25.6,0.5
31-03-2025,14:43:11,25.6,0.5
31-03-2025,14:43:41,25.6,0.5
31-03-2025,14:44:11,25.5,0.5
31-03-2025,14:44:41,25.5,0.5
31-03-2025,14:45:11,25.5,0.5
