Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,12:09:15,-,10 min
02-04-2025,12:09:15,24.59,10
02-04-2025,12:19:15,25.23,10
02-04-2025,12:29:15,25.21,10
02-04-2025,12:39:15,25.23,10
02-04-2025,12:49:15,25.23,10
02-04-2025,12:59:15,25.22,10
02-04-2025,13:09:15,24.56,10
02-04-2025,13:19:15,25.22,10
02-04-2025,13:29:15,25.21,10
02-04-2025,13:39:15,25.22,10
02-04-2025,13:49:15,25.06,10
02-04-2025,13:59:15,25.23,10
02-04-2025,14:09:15,25.23,10
02-04-2025,14:19:15,25.23,10
02-04-2025,14:29:15,25.23,10
02-04-2025,14:39:15,25.21,10
02-04-2025,14:49:15,25.22,10
02-04-2025,14:59:15,25.22,10
02-04-2025,15:09:15,25.22,10
02-04-2025,15:19:15,25.23,10
02-04-2025,15:29:15,25.23,10
02-04-2025,15:39:15,25.22,10
02-04-2025,15:49:15,24.60,10
02-04-2025,15:59:15,25.24,10
02-04-2025,16:09:15,25.17,10
02-04-2025,16:19:15,25.26,10
02-04-2025,16:29:15,25.26,10
02-04-2025,16:39:15,25.27,10
02-04-2025,16:49:15,25.27,10
02-04-2025,16:59:15,24.96,10
