Date,Time,Temperature(°C),Interval
2025-03-26,10:05:51,-,10 min
26-03-2025,10:05:51,25.98,10 min
26-03-2025,10:15:51,28.53,10 min
26-03-2025,10:25:51,28.53,10 min
26-03-2025,10:35:51,28.53,10 min
26-03-2025,10:45:51,25.96,10 min
26-03-2025,10:55:51,28.51,10 min
26-03-2025,11:05:51,28.50,10 min
26-03-2025,11:15:51,28.50,10 min
26-03-2025,11:25:51,28.50,10 min
26-03-2025,11:35:51,28.48,10 min
26-03-2025,11:45:51,28.47,10 min
26-03-2025,11:55:51,28.47,10 min
26-03-2025,12:05:51,28.46,10 min
26-03-2025,12:15:51,25.90,10 min
26-03-2025,12:25:51,28.46,10 min
26-03-2025,12:35:51,28.45,10 min
26-03-2025,12:45:51,28.44,10 min
26-03-2025,12:55:51,28.44,10 min
26-03-2025,13:05:51,28.43,10 min
26-03-2025,13:15:51,28.42,10 min
26-03-2025,13:25:51,28.42,10 min
26-03-2025,13:35:51,25.86,10 min
26-03-2025,13:45:51,28.42,10 min
26-03-2025,13:55:51,28.40,10 min
26-03-2025,14:05:51,25.84,10 min
26-03-2025,14:15:51,28.40,10 min
26-03-2025,14:25:51,28.40,10 min
26-03-2025,14:35:51,28.40,10 min
26-03-2025,14:45:51,28.40,10 min
26-03-2025,14:55:51,28.40,10 min
26-03-2025,15:05:51,28.40,10 min
26-03-2025,15:15:51,28.40,10 min
26-03-2025,15:25:51,28.40,10 min
26-03-2025,15:35:51,28.40,10 min
26-03-2025,15:45:51,28.40,10 min
26-03-2025,15:55:51,28.40,10 min
26-03-2025,16:05:51,28.40,10 min
26-03-2025,16:15:51,28.40,10 min
26-03-2025,16:25:51,28.40,10 min
26-03-2025,16:35:51,28.40,10 min
26-03-2025,16:45:51,28.35,10 min
26-03-2025,16:55:51,28.35,10 min
26-03-2025,17:05:51,28.35,10 min
26-03-2025,17:15:51,28.35,10 min
26-03-2025,17:25:51,28.35,10 min
26-03-2025,17:35:51,28.35,10 min
26-03-2025,17:45:51,28.35,10 min
26-03-2025,17:55:51,28.35,10 min
26-03-2025,18:05:51,28.35,10 min
26-03-2025,18:15:51,28.35,10 min
26-03-2025,18:25:51,28.35,10 min
26-03-2025,18:35:51,28.35,10 min
26-03-2025,18:45:51,28.35,10 min
26-03-2025,18:55:51,28.35,10 min
26-03-2025,19:05:51,28.35,10 min
26-03-2025,19:15:51,28.35,10 min
26-03-2025,19:25:51,28.31,10 min
26-03-2025,19:35:51,28.32,10 min
26-03-2025,19:45:51,28.31,10 min
26-03-2025,19:55:51,28.29,10 min
26-03-2025,20:05:51,28.30,10 min
26-03-2025,20:15:51,28.30,10 min
26-03-2025,20:25:51,28.30,10 min
26-03-2025,20:35:51,28.30,10 min
26-03-2025,20:45:51,28.42,10 min
26-03-2025,20:55:51,28.63,10 min
26-03-2025,21:05:51,28.85,10 min
26-03-2025,21:15:51,29.03,10 min
