Date,Time,Temperature(°C),Interval(in minutes)
2025-04-03,06:14:09,-,10 min
03-04-2025,06:14:09,29.7,10
03-04-2025,06:24:09,29.7,10
03-04-2025,06:34:09,27.1,10
03-04-2025,06:44:09,29.7,10
03-04-2025,06:54:09,27.1,10
03-04-2025,07:04:09,29.7,10
03-04-2025,07:14:09,29.7,10
03-04-2025,07:24:09,29.7,10
03-04-2025,07:34:09,29.7,10
03-04-2025,07:44:09,29.7,10
03-04-2025,07:54:09,29.5,10
03-04-2025,08:04:09,29.7,10
03-04-2025,08:14:09,29.7,10
03-04-2025,08:24:09,29.7,10
03-04-2025,08:34:09,29.7,10
03-04-2025,08:44:09,29.7,10
03-04-2025,08:54:09,29.7,10
03-04-2025,09:04:09,29.7,10
03-04-2025,09:14:09,29.5,10
03-04-2025,09:24:09,29.7,10
03-04-2025,09:34:09,29.7,10
03-04-2025,09:44:09,29.7,10
03-04-2025,09:54:09,29.7,10
03-04-2025,10:04:09,29.7,10
03-04-2025,10:14:09,29.6,10
03-04-2025,10:24:09,29.7,10
03-04-2025,10:34:09,29.7,10
03-04-2025,10:44:09,29.6,10
03-04-2025,10:54:09,29.7,10
03-04-2025,11:04:09,27.1,10
03-04-2025,11:14:09,29.7,10
03-04-2025,11:24:09,29.7,10
03-04-2025,11:34:09,29.7,10
03-04-2025,11:44:09,29.7,10
03-04-2025,11:54:09,29.5,10
03-04-2025,12:04:09,27.1,10
03-04-2025,12:14:09,27.1,10
03-04-2025,12:24:09,27.1,10
03-04-2025,12:34:09,29.7,10
03-04-2025,12:44:09,29.7,10
03-04-2025,12:54:09,29.7,10
03-04-2025,13:04:09,29.7,10
03-04-2025,13:14:09,29.7,10
03-04-2025,13:24:09,29.5,10
03-04-2025,13:34:09,29.7,10
03-04-2025,13:44:09,27.1,10
03-04-2025,13:54:09,27.1,10
03-04-2025,14:04:09,29.7,10
03-04-2025,14:14:09,29.7,10
03-04-2025,14:24:09,24.5,10
