Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,11:55:26,-,10 min
02-04-2025,11:55:26,25.44,10 min
02-04-2025,12:05:26,25.45,10 min
02-04-2025,12:15:26,25.45,10 min
02-04-2025,12:25:26,25.44,10 min
02-04-2025,12:35:26,25.44,10 min
02-04-2025,12:45:26,25.44,10 min
02-04-2025,12:55:26,25.44,10 min
02-04-2025,13:05:26,25.42,10 min
02-04-2025,13:15:26,25.43,10 min
02-04-2025,13:25:26,25.39,10 min
02-04-2025,13:35:26,25.11,10 min
02-04-2025,13:45:26,25.43,10 min
02-04-2025,13:55:26,25.10,10 min
02-04-2025,14:05:26,25.42,10 min
02-04-2025,14:15:26,25.34,10 min
02-04-2025,14:25:26,25.42,10 min
02-04-2025,14:35:26,25.42,10 min
02-04-2025,14:45:26,25.42,10 min
02-04-2025,14:55:26,25.42,10 min
02-04-2025,15:05:26,25.42,10 min
02-04-2025,15:15:26,25.42,10 min
02-04-2025,15:25:26,25.42,10 min
02-04-2025,15:35:26,25.10,10 min
02-04-2025,15:45:26,25.40,10 min
02-04-2025,15:55:26,25.35,10 min
02-04-2025,16:05:26,25.43,10 min
02-04-2025,16:15:26,24.47,10 min
02-04-2025,16:25:26,25.44,10 min
02-04-2025,16:35:26,25.44,10 min
02-04-2025,16:45:26,25.12,10 min
02-04-2025,16:55:26,25.44,10 min
02-04-2025,17:05:26,25.45,10 min
02-04-2025,17:15:26,25.45,10 min
02-04-2025,17:25:26,25.45,10 min
02-04-2025,17:35:26,25.29,10 min
02-04-2025,17:45:26,25.44,10 min
02-04-2025,17:55:26,25.45,10 min
02-04-2025,18:05:26,25.45,10 min
02-04-2025,18:15:26,25.45,10 min
02-04-2025,18:25:26,25.45,10 min
02-04-2025,18:35:26,25.45,10 min
02-04-2025,18:45:26,25.13,10 min
02-04-2025,18:55:26,25.45,10 min
02-04-2025,19:05:26,25.45,10 min
02-04-2025,19:15:26,25.45,10 min
02-04-2025,19:25:26,25.45,10 min
02-04-2025,19:35:26,25.13,10 min
02-04-2025,19:45:26,25.45,10 min
02-04-2025,19:55:26,25.45,10 min
02-04-2025,20:05:26,25.45,10 min
02-04-2025,20:15:26,25.46,10 min
02-04-2025,20:25:26,25.46,10 min
02-04-2025,20:35:26,25.46,10 min
02-04-2025,20:45:26,25.46,10 min
02-04-2025,20:55:26,25.46,10 min
02-04-2025,21:05:26,25.30,10 min
02-04-2025,21:15:26,25.46,10 min
02-04-2025,21:25:26,22.90,10 min
02-04-2025,21:35:26,25.30,10 min
02-04-2025,21:45:26,25.47,10 min
02-04-2025,21:55:26,25.47,10 min
02-04-2025,22:05:26,25.47,10 min
02-04-2025,22:15:26,25.47,10 min
02-04-2025,22:25:26,25.48,10 min
02-04-2025,22:35:26,25.16,10 min
02-04-2025,22:45:26,25.48,10 min
02-04-2025,22:55:26,25.49,10 min
02-04-2025,23:05:26,25.45,10 min
02-04-2025,23:15:26,25.49,10 min
02-04-2025,23:25:26,25.32,10 min
02-04-2025,23:35:26,25.32,10 min
02-04-2025,23:45:26,25.48,10 min
