Date,Time,Temperature(°C),Interval
2025-04-07,16:03:14,-,10 min
07-04-2025,16:03:14,25.7,10 min
07-04-2025,16:13:14,25.7,10 min
07-04-2025,16:23:14,25.7,10 min
07-04-2025,16:33:14,25.7,10 min
07-04-2025,16:43:14,25.7,10 min
07-04-2025,16:53:14,25.7,10 min
07-04-2025,17:03:14,25.7,10 min
07-04-2025,17:13:14,25.7,10 min
07-04-2025,17:23:14,25.7,10 min
07-04-2025,17:33:14,25.7,10 min
07-04-2025,17:43:14,25.7,10 min
07-04-2025,17:53:14,25.7,10 min
07-04-2025,18:03:14,25.7,10 min
07-04-2025,18:13:14,25.7,10 min
07-04-2025,18:23:14,25.7,10 min
07-04-2025,18:33:14,25.7,10 min
07-04-2025,18:43:14,25.7,10 min
07-04-2025,18:53:14,25.6,10 min
07-04-2025,19:03:14,25.6,10 min
07-04-2025,19:13:14,25.7,10 min
07-04-2025,19:23:14,25.7,10 min
07-04-2025,19:33:14,25.7,10 min
07-04-2025,19:43:14,25.7,10 min
07-04-2025,19:53:14,25.7,10 min
07-04-2025,20:03:14,25.7,10 min
07-04-2025,20:13:14,25.7,10 min
07-04-2025,20:23:14,25.7,10 min
07-04-2025,20:33:14,25.7,10 min
07-04-2025,20:43:14,25.7,10 min
07-04-2025,20:53:14,25.7,10 min
