Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,12:50:27,-,10 min
02-04-2025,12:50:27,24.5,10
02-04-2025,13:00:27,24.5,10
02-04-2025,13:20:27,24.5,10
02-04-2025,13:50:27,24.5,10
02-04-2025,14:30:27,24.5,10
02-04-2025,15:20:27,24.5,10
02-04-2025,16:20:27,24.5,10
02-04-2025,17:30:27,24.5,10
02-04-2025,18:50:27,24.5,10
02-04-2025,20:20:27,24.5,10
02-04-2025,22:00:27,24.3,10
02-04-2025,22:10:27,24.5,10
02-04-2025,22:30:27,24.5,10
02-04-2025,23:00:27,24.5,10
02-04-2025,23:40:27,24.5,10
03-04-2025,00:30:27,24.5,10
03-04-2025,01:30:27,24.5,10
03-04-2025,02:40:27,24.5,10
03-04-2025,04:00:27,24.3,10
03-04-2025,05:30:27,24.5,10
03-04-2025,07:10:27,24.5,10
03-04-2025,07:20:27,24.5,10
03-04-2025,07:40:27,24.5,10
03-04-2025,08:10:27,24.5,10
03-04-2025,08:50:27,24.4,10
03-04-2025,09:40:27,24.5,10
03-04-2025,10:40:27,24.5,10
03-04-2025,11:50:27,24.5,10
03-04-2025,13:10:27,24.5,10
03-04-2025,14:40:27,24.5,10
