Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,19:03:11,-,10 min
02-04-2025,19:03:11,25.0,10
02-04-2025,19:13:11,25.0,10
02-04-2025,19:23:11,24.9,10
02-04-2025,19:33:11,25.0,10
02-04-2025,19:43:11,25.0,10
02-04-2025,19:53:11,25.0,10
02-04-2025,20:03:11,25.0,10
02-04-2025,20:13:11,25.0,10
02-04-2025,20:23:11,25.0,10
02-04-2025,20:33:11,25.0,10
02-04-2025,20:43:11,25.0,10
02-04-2025,20:53:11,25.0,10
02-04-2025,21:03:11,25.0,10
02-04-2025,21:13:11,25.0,10
02-04-2025,21:23:11,25.0,10
02-04-2025,21:33:11,25.0,10
02-04-2025,21:43:11,25.0,10
02-04-2025,21:53:11,25.0,10
02-04-2025,22:03:11,24.9,10
02-04-2025,22:13:11,25.0,10
02-04-2025,22:23:11,25.0,10
02-04-2025,22:33:11,25.0,10
02-04-2025,22:43:11,25.0,10
02-04-2025,22:53:11,25.0,10
02-04-2025,23:03:11,24.9,10
02-04-2025,23:13:11,23.7,10
02-04-2025,23:23:11,24.4,10
02-04-2025,23:33:11,25.0,10
02-04-2025,23:43:11,25.0,10
02-04-2025,23:53:11,22.4,10
02-04-2025,00:03:11,25.0,10
02-04-2025,00:13:11,25.0,10
02-04-2025,00:23:11,25.0,10
02-04-2025,00:33:11,25.0,10
02-04-2025,00:43:11,25.0,10
02-04-2025,00:53:11,25.0,10
02-04-2025,01:03:11,25.0,10
02-04-2025,01:13:11,22.4,10
02-04-2025,01:23:11,25.0,10
02-04-2025,01:33:11,24.9,10
02-04-2025,01:43:11,25.0,10
02-04-2025,01:53:11,25.0,10
02-04-2025,02:03:11,25.0,10
02-04-2025,02:13:11,22.4,10
02-04-2025,02:23:11,25.0,10
02-04-2025,02:33:11,24.9,10
02-04-2025,02:43:11,24.9,10
02-04-2025,02:53:11,25.0,10
02-04-2025,03:03:11,25.0,10
02-04-2025,03:13:11,22.4,10
02-04-2025,03:23:11,24.3,10
02-04-2025,03:33:11,25.0,10
02-04-2025,03:43:11,25.0,10
02-04-2025,03:53:11,25.0,10
02-04-2025,04:03:11,25.0,10
02-04-2025,04:13:11,21.8,10
02-04-2025,04:23:11,23.7,10
02-04-2025,04:33:11,22.4,10
02-04-2025,04:43:11,25.0,10
02-04-2025,04:53:11,25.0,10
02-04-2025,05:03:11,25.0,10
02-04-2025,05:13:11,25.0,10
02-04-2025,05:23:11,24.9,10
02-04-2025,05:33:11,25.0,10
02-04-2025,05:43:11,25.0,10
02-04-2025,05:53:11,21.8,10
02-04-2025,06:03:11,25.0,10
02-04-2025,06:13:11,25.0,10
02-04-2025,06:23:11,25.0,10
02-04-2025,06:33:11,25.0,10
02-04-2025,06:43:11,25.0,10
02-04-2025,06:53:11,25.0,10
02-04-2025,07:03:11,23.0,10
02-04-2025,07:13:11,22.4,10
02-04-2025,07:23:11,24.9,10
02-04-2025,07:33:11,24.9,10
02-04-2025,07:43:11,24.9,10
02-04-2025,07:53:11,24.9,10
02-04-2025,08:03:11,24.9,10
02-04-2025,08:13:11,24.3,10
02-04-2025,08:23:11,24.3,10
02-04-2025,08:33:11,24.9,10
02-04-2025,08:43:11,24.9,10
02-04-2025,08:53:11,24.9,10
02-04-2025,09:03:11,24.9,10
02-04-2025,09:13:11,22.4,10
02-04-2025,09:23:11,24.9,10
02-04-2025,09:33:11,24.9,10
02-04-2025,09:43:11,24.3,10
02-04-2025,09:53:11,24.3,10
02-04-2025,10:03:11,24.9,10
02-04-2025,10:13:11,24.9,10
02-04-2025,10:23:11,23.6,10
02-04-2025,10:33:11,24.9,10
02-04-2025,10:43:11,22.4,10
02-04-2025,10:53:11,24.9,10
02-04-2025,11:03:11,24.9,10
02-04-2025,11:13:11,24.9,10
02-04-2025,11:23:11,23.6,10
02-04-2025,11:33:11,24.7,10
02-04-2025,11:43:11,24.9,10
02-04-2025,11:53:11,24.9,10
02-04-2025,12:03:11,24.9,10
02-04-2025,12:13:11,24.9,10
02-04-2025,12:23:11,24.6,10
02-04-2025,12:33:11,24.7,10
02-04-2025,12:43:11,24.9,10
02-04-2025,12:53:11,24.8,10
02-04-2025,13:03:11,24.9,10
02-04-2025,13:13:11,24.9,10
02-04-2025,13:23:11,24.5,10
02-04-2025,13:33:11,24.8,10
02-04-2025,13:43:11,24.7,10
02-04-2025,13:53:11,23.6,10
02-04-2025,14:03:11,24.5,10
02-04-2025,14:13:11,24.8,10
02-04-2025,14:23:11,24.9,10
02-04-2025,14:33:11,22.3,10
02-04-2025,14:43:11,24.8,10
02-04-2025,14:53:11,24.8,10
02-04-2025,15:03:11,24.5,10
02-04-2025,15:13:11,24.9,10
02-04-2025,15:23:11,24.9,10
02-04-2025,15:33:11,24.9,10
02-04-2025,15:43:11,24.9,10
02-04-2025,15:53:11,22.3,10
02-04-2025,16:03:11,24.9,10
02-04-2025,16:13:11,24.9,10
02-04-2025,16:23:11,23.5,10
02-04-2025,16:33:11,24.7,10
02-04-2025,16:43:11,24.9,10
02-04-2025,16:53:11,24.8,10
02-04-2025,17:03:11,23.6,10
02-04-2025,17:13:11,24.9,10
02-04-2025,17:23:11,24.8,10
02-04-2025,17:33:11,24.5,10
02-04-2025,17:43:11,24.9,10
02-04-2025,17:53:11,24.9,10
