Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,14:38:43,-,10 min
2025-04-02,14:41:30,-,10 min
02-04-2025,14:41:30,29.1,10
02-04-2025,14:51:30,29.0,10
02-04-2025,15:01:30,26.4,10
02-04-2025,15:11:30,28.9,10
02-04-2025,15:21:30,28.8,10
02-04-2025,15:31:30,28.7,10
02-04-2025,15:41:30,28.6,10
02-04-2025,15:51:30,28.5,10
02-04-2025,16:01:30,28.4,10
02-04-2025,16:11:30,28.3,10
02-04-2025,16:21:30,28.1,10
02-04-2025,16:31:30,28.2,10
02-04-2025,16:41:30,28.1,10
02-04-2025,16:51:30,28.1,10
02-04-2025,17:01:30,27.9,10
02-04-2025,17:11:30,28.0,10
02-04-2025,17:21:30,27.9,10
02-04-2025,17:31:30,27.8,10
02-04-2025,17:41:30,27.5,10
02-04-2025,17:51:30,27.1,10
02-04-2025,18:01:30,27.6,10
02-04-2025,18:11:30,27.6,10
02-04-2025,18:21:30,27.5,10
02-04-2025,18:31:30,27.5,10
02-04-2025,18:41:30,27.3,10
02-04-2025,18:51:30,26.1,10
02-04-2025,19:01:30,27.0,10
02-04-2025,19:11:30,27.3,10
02-04-2025,19:21:30,27.2,10
02-04-2025,19:31:30,27.2,10
02-04-2025,19:41:30,27.1,10
02-04-2025,19:51:30,26.9,10
02-04-2025,20:01:30,27.1,10
02-04-2025,20:11:30,27.0,10
02-04-2025,20:21:30,27.0,10
02-04-2025,20:31:30,26.9,10
02-04-2025,20:41:30,26.9,10
02-04-2025,20:51:30,26.9,10
02-04-2025,21:01:30,26.8,10
02-04-2025,21:11:30,26.8,10
02-04-2025,21:21:30,26.8,10
02-04-2025,21:31:30,26.7,10
02-04-2025,21:41:30,26.7,10
02-04-2025,21:51:30,26.6,10
02-04-2025,22:01:30,26.5,10
02-04-2025,22:11:30,26.6,10
02-04-2025,22:21:30,26.2,10
02-04-2025,22:31:30,26.5,10
02-04-2025,22:41:30,26.5,10
02-04-2025,22:51:30,26.4,10
02-04-2025,23:01:30,26.4,10
02-04-2025,23:11:30,26.4,10
02-04-2025,23:21:30,26.4,10
02-04-2025,23:31:30,26.3,10
02-04-2025,23:41:30,21.2,10
02-04-2025,23:51:30,26.2,10
03-04-2025,00:01:30,26.3,10
03-04-2025,00:11:30,26.3,10
03-04-2025,00:21:30,26.2,10
03-04-2025,00:31:30,26.2,10
03-04-2025,00:41:30,26.2,10
03-04-2025,00:51:30,26.2,10
03-04-2025,01:01:30,26.2,10
03-04-2025,01:11:30,26.1,10
03-04-2025,01:21:30,25.8,10
03-04-2025,01:31:30,26.1,10
03-04-2025,01:41:30,26.1,10
03-04-2025,01:51:30,26.1,10
03-04-2025,02:01:30,26.0,10
03-04-2025,02:11:30,26.0,10
03-04-2025,02:21:30,26.0,10
03-04-2025,02:31:30,25.9,10
03-04-2025,02:41:30,26.0,10
03-04-2025,02:51:30,26.0,10
03-04-2025,03:01:30,25.9,10
03-04-2025,03:11:30,25.9,10
03-04-2025,03:21:30,25.9,10
03-04-2025,03:31:30,25.6,10
03-04-2025,03:41:30,25.9,10
03-04-2025,03:51:30,25.9,10
03-04-2025,04:01:30,25.8,10
03-04-2025,04:11:30,25.7,10
03-04-2025,04:21:30,25.8,10
03-04-2025,04:31:30,25.7,10
03-04-2025,04:41:30,25.8,10
03-04-2025,04:51:30,25.8,10
03-04-2025,05:01:30,25.8,10
03-04-2025,05:11:30,25.7,10
03-04-2025,05:21:30,25.8,10
03-04-2025,05:31:30,25.7,10
03-04-2025,05:41:30,25.7,10
03-04-2025,05:51:30,25.7,10
03-04-2025,06:01:30,25.7,10
03-04-2025,06:11:30,25.7,10
03-04-2025,06:21:30,25.7,10
03-04-2025,06:31:30,25.7,10
03-04-2025,06:41:30,25.6,10
03-04-2025,06:51:30,25.7,10
03-04-2025,07:01:30,25.7,10
03-04-2025,07:11:30,25.7,10
03-04-2025,07:21:30,25.7,10
03-04-2025,07:31:30,25.6,10
03-04-2025,07:41:30,25.6,10
03-04-2025,07:51:30,25.6,10
03-04-2025,08:01:30,25.6,10
03-04-2025,08:11:30,25.6,10
03-04-2025,08:21:30,25.6,10
03-04-2025,08:31:30,25.6,10
03-04-2025,08:41:30,25.6,10
03-04-2025,08:51:30,25.6,10
03-04-2025,09:01:30,25.6,10
03-04-2025,09:11:30,25.6,10
03-04-2025,09:21:30,25.6,10
03-04-2025,09:31:30,24.2,10
03-04-2025,09:41:30,25.2,10
03-04-2025,09:51:30,25.4,10
03-04-2025,10:01:30,25.5,10
03-04-2025,10:11:30,23.0,10
03-04-2025,10:21:30,25.0,10
03-04-2025,10:31:30,25.4,10
03-04-2025,10:41:30,25.2,10
03-04-2025,10:51:30,24.8,10
03-04-2025,11:01:30,25.5,10
03-04-2025,11:11:30,25.2,10
03-04-2025,11:21:30,25.5,10
03-04-2025,11:31:30,22.9,10
03-04-2025,11:41:30,25.5,10
03-04-2025,11:51:30,25.4,10
03-04-2025,12:01:30,24.2,10
03-04-2025,12:11:30,25.5,10
03-04-2025,12:21:30,22.9,10
03-04-2025,12:31:30,24.6,10
03-04-2025,12:41:30,24.2,10
03-04-2025,12:51:30,22.9,10
03-04-2025,13:01:30,25.4,10
03-04-2025,13:11:30,25.1,10
03-04-2025,13:21:30,25.4,10
03-04-2025,13:31:30,25.4,10
03-04-2025,13:41:30,25.4,10
03-04-2025,13:51:30,25.4,10
03-04-2025,14:01:30,25.3,10
03-04-2025,14:11:30,25.4,10
03-04-2025,14:21:30,25.4,10
03-04-2025,14:31:30,25.4,10
03-04-2025,14:41:30,25.3,10
03-04-2025,14:51:30,24.7,10
03-04-2025,15:01:30,25.3,10
03-04-2025,15:11:30,24.1,10
03-04-2025,15:21:30,24.3,10
03-04-2025,15:31:30,22.8,10
03-04-2025,15:41:30,25.3,10
03-04-2025,15:51:30,25.3,10
03-04-2025,16:01:30,24.7,10
03-04-2025,16:11:30,25.3,10
03-04-2025,16:21:30,25.2,10
03-04-2025,16:31:30,24.7,10
03-04-2025,16:41:30,25.3,10
03-04-2025,16:51:30,25.3,10
03-04-2025,17:01:30,25.0,10
03-04-2025,17:11:30,25.2,10
03-04-2025,17:21:30,24.0,10
03-04-2025,17:31:30,22.7,10
03-04-2025,17:41:30,25.3,10
03-04-2025,17:51:30,21.5,10
03-04-2025,18:01:30,25.3,10
03-04-2025,18:11:30,25.2,10
03-04-2025,18:21:30,25.3,10
03-04-2025,18:31:30,25.3,10
03-04-2025,18:41:30,25.3,10
03-04-2025,18:51:30,25.3,10
