Date,Time,Temperature(°C),Interval
2025-03-26,22:38:20,-,30 sec
26-03-2025,22:38:20,31.22,30 sec
26-03-2025,22:38:50,31.22,30 sec
26-03-2025,22:39:20,31.22,30 sec
26-03-2025,22:39:50,31.23,30 sec
26-03-2025,22:40:20,31.24,30 sec
26-03-2025,22:40:50,31.24,30 sec
26-03-2025,22:41:20,31.25,30 sec
26-03-2025,22:41:50,31.27,30 sec
26-03-2025,22:42:20,31.28,30 sec
26-03-2025,22:42:50,31.29,30 sec
26-03-2025,22:43:20,31.29,30 sec
26-03-2025,22:43:50,31.28,30 sec
26-03-2025,22:44:20,31.26,30 sec
26-03-2025,22:44:50,31.26,30 sec
26-03-2025,22:45:20,31.26,30 sec
26-03-2025,22:45:50,31.26,30 sec
26-03-2025,22:46:20,31.26,30 sec
26-03-2025,22:46:50,31.26,30 sec
26-03-2025,22:47:20,31.34,30 sec
