Date,Time,Temperature(°C),Interval(in minutes)
2025-07-04,21:44:22,-,5 min
04-07-2025,21:44:22,31.9,5
04-07-2025,21:49:22,35.0,5
04-07-2025,21:54:22,35.0,5
04-07-2025,21:59:22,35.0,5
04-07-2025,22:04:22,35.3,5
04-07-2025,22:09:22,35.4,5
04-07-2025,22:14:22,35.3,5
04-07-2025,22:19:22,35.3,5
04-07-2025,22:24:22,35.4,5
04-07-2025,22:29:22,35.5,5
04-07-2025,22:34:22,35.5,5
04-07-2025,22:39:22,35.5,5
04-07-2025,22:44:22,35.6,5
04-07-2025,22:49:22,35.5,5
04-07-2025,22:54:22,35.7,5
04-07-2025,22:59:22,36.1,5
04-07-2025,23:04:22,35.8,5
04-07-2025,23:09:22,35.7,5
04-07-2025,23:14:22,35.7,5
04-07-2025,23:19:22,35.8,5
04-07-2025,23:24:22,35.8,5
04-07-2025,23:29:22,35.8,5
04-07-2025,23:34:22,35.7,5
04-07-2025,23:39:22,35.6,5
04-07-2025,23:44:22,35.4,5
04-07-2025,23:49:22,35.6,5
04-07-2025,23:54:22,35.7,5
04-07-2025,23:59:22,36.0,5
05-07-2025,00:04:22,36.0,5
05-07-2025,00:09:22,35.7,5
05-07-2025,00:14:22,35.8,5
05-07-2025,00:19:22,36.1,5
05-07-2025,00:24:22,36.2,5
05-07-2025,00:29:22,35.8,5
05-07-2025,00:34:22,35.9,5
05-07-2025,00:39:22,36.0,5
05-07-2025,00:44:22,36.1,5
05-07-2025,00:49:22,36.2,5
05-07-2025,00:54:22,36.1,5
05-07-2025,00:59:22,36.0,5
05-07-2025,01:04:22,35.8,5
05-07-2025,01:09:22,35.8,5
05-07-2025,01:14:22,35.9,5
05-07-2025,01:19:22,36.1,5
05-07-2025,01:24:22,35.5,5
05-07-2025,01:29:22,35.0,5
05-07-2025,01:34:22,34.7,5
05-07-2025,01:39:22,35.6,5
05-07-2025,01:44:22,35.7,5
05-07-2025,01:49:22,34.9,5
05-07-2025,01:54:22,34.5,5
05-07-2025,01:59:22,34.3,5
05-07-2025,02:04:22,34.2,5
05-07-2025,02:09:22,34.0,5
05-07-2025,02:14:22,34.2,5
05-07-2025,02:19:22,34.2,5
05-07-2025,02:24:22,34.9,5
05-07-2025,02:29:22,35.2,5
05-07-2025,02:34:22,35.4,5
05-07-2025,02:39:22,35.3,5
05-07-2025,02:44:22,35.6,5
05-07-2025,02:49:22,35.7,5
05-07-2025,02:54:22,34.6,5
05-07-2025,02:59:22,34.6,5
05-07-2025,03:04:22,34.9,5
05-07-2025,03:09:22,35.6,5
05-07-2025,03:14:22,35.7,5
05-07-2025,03:19:22,35.5,5
05-07-2025,03:24:22,35.5,5
05-07-2025,03:29:22,35.5,5
05-07-2025,03:34:22,35.5,5
05-07-2025,03:39:22,35.6,5
05-07-2025,03:44:22,35.5,5
05-07-2025,03:49:22,35.7,5
05-07-2025,03:54:22,35.3,5
05-07-2025,03:59:22,35.6,5
05-07-2025,04:04:22,35.5,5
05-07-2025,04:09:22,35.4,5
05-07-2025,04:14:22,35.0,5
05-07-2025,04:19:22,34.3,5
05-07-2025,04:24:22,34.9,5
05-07-2025,04:29:22,35.0,5
05-07-2025,04:34:22,35.5,5
05-07-2025,04:39:22,35.8,5
05-07-2025,04:44:22,35.1,5
05-07-2025,04:49:22,35.0,5
05-07-2025,04:54:22,34.9,5
05-07-2025,04:59:22,35.0,5
05-07-2025,05:04:22,35.0,5
05-07-2025,05:09:22,34.9,5
05-07-2025,05:14:22,35.0,5
05-07-2025,05:19:22,35.1,5
05-07-2025,05:24:22,35.2,5
05-07-2025,05:29:22,35.1,5
05-07-2025,05:34:22,35.0,5
05-07-2025,05:39:22,34.9,5
05-07-2025,05:44:22,34.7,5
05-07-2025,05:49:22,34.6,5
05-07-2025,05:54:22,34.7,5
05-07-2025,05:59:22,34.8,5
05-07-2025,06:04:22,34.8,5
05-07-2025,06:09:22,34.9,5
05-07-2025,06:14:22,34.9,5
05-07-2025,06:19:22,34.8,5
05-07-2025,06:24:22,34.7,5
05-07-2025,06:29:22,34.7,5
05-07-2025,06:34:22,34.6,5
05-07-2025,06:39:22,34.9,5
05-07-2025,06:44:22,34.9,5
