Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,23:22:13,-,10 min
02-04-2025,23:22:13,24.0,10
02-04-2025,23:32:13,23.3,10
02-04-2025,23:42:13,24.0,10
02-04-2025,23:52:13,24.0,10
03-04-2025,00:02:13,23.7,10
04-04-2025,00:12:13,24.0,10
05-04-2025,00:22:13,24.0,10
06-04-2025,00:32:13,24.0,10
07-04-2025,00:42:13,24.0,10
08-04-2025,00:52:13,24.0,10
08-04-2025,01:02:13,24.0,10
08-04-2025,01:12:13,24.0,10
08-04-2025,01:22:13,24.0,10
08-04-2025,01:32:13,24.0,10
08-04-2025,01:42:13,24.0,10
08-04-2025,01:52:13,24.0,10
08-04-2025,02:02:13,24.0,10
08-04-2025,02:12:13,24.0,10
08-04-2025,02:22:13,24.0,10
08-04-2025,02:32:13,24.0,10
08-04-2025,02:42:13,24.0,10
08-04-2025,02:52:13,24.0,10
08-04-2025,03:02:13,24.0,10
08-04-2025,03:12:13,24.0,10
08-04-2025,03:22:13,24.0,10
08-04-2025,03:32:13,24.0,10
08-04-2025,03:42:13,24.0,10
08-04-2025,03:52:13,23.7,10
08-04-2025,04:02:13,23.7,10
08-04-2025,04:12:13,23.7,10
08-04-2025,04:22:13,24.0,10
08-04-2025,04:32:13,24.0,10
08-04-2025,04:42:13,24.0,10
08-04-2025,04:52:13,24.0,10
08-04-2025,05:02:13,24.0,10
08-04-2025,05:12:13,23.7,10
08-04-2025,05:22:13,23.7,10
08-04-2025,05:32:13,24.0,10
08-04-2025,05:42:13,24.0,10
08-04-2025,05:52:13,24.0,10
08-04-2025,06:02:13,24.0,10
08-04-2025,06:12:13,24.0,10
08-04-2025,06:22:13,24.0,10
08-04-2025,06:32:13,24.0,10
08-04-2025,06:42:13,24.0,10
08-04-2025,06:52:13,23.7,10
08-04-2025,07:02:13,24.0,10
08-04-2025,07:12:13,23.7,10
08-04-2025,07:22:13,24.0,10
08-04-2025,07:32:13,24.0,10
08-04-2025,07:42:13,24.0,10
08-04-2025,07:52:13,23.7,10
08-04-2025,08:02:13,24.0,10
08-04-2025,08:12:13,23.7,10
08-04-2025,08:22:13,23.7,10
08-04-2025,08:32:13,24.0,10
08-04-2025,08:42:13,24.0,10
08-04-2025,08:52:13,24.0,10
08-04-2025,09:02:13,24.0,10
08-04-2025,09:12:13,24.0,10
08-04-2025,09:22:13,23.4,10
08-04-2025,09:32:13,24.0,10
08-04-2025,09:42:13,24.0,10
08-04-2025,09:52:13,24.0,10
08-04-2025,10:02:13,24.0,10
08-04-2025,10:12:13,24.0,10
08-04-2025,10:22:13,24.0,10
08-04-2025,10:32:13,24.0,10
08-04-2025,10:42:13,24.0,10
08-04-2025,10:52:13,24.0,10
08-04-2025,11:02:13,24.0,10
08-04-2025,11:12:13,24.0,10
08-04-2025,11:22:13,24.0,10
08-04-2025,11:32:13,24.0,10
08-04-2025,11:42:13,24.0,10
08-04-2025,11:52:13,23.7,10
08-04-2025,12:02:13,24.0,10
08-04-2025,12:12:13,24.0,10
08-04-2025,12:22:13,23.7,10
08-04-2025,12:32:13,24.0,10
08-04-2025,12:42:13,24.0,10
08-04-2025,12:52:13,24.0,10
08-04-2025,13:02:13,23.1,10
08-04-2025,13:12:13,24.0,10
08-04-2025,13:22:13,21.5,10
08-04-2025,13:32:13,23.7,10
08-04-2025,13:42:13,23.7,10
08-04-2025,13:52:13,24.0,10
08-04-2025,14:02:13,24.0,10
08-04-2025,14:12:13,23.7,10
08-04-2025,14:22:13,21.5,10
08-04-2025,14:32:13,24.0,10
08-04-2025,14:42:13,24.0,10
08-04-2025,14:52:13,24.0,10
08-04-2025,15:02:13,24.0,10
08-04-2025,15:12:13,24.0,10
08-04-2025,15:22:13,23.7,10
08-04-2025,15:32:13,24.0,10
08-04-2025,15:42:13,24.0,10
08-04-2025,15:52:13,23.7,10
08-04-2025,16:02:13,24.0,10
08-04-2025,16:12:13,23.4,10
08-04-2025,16:22:13,23.7,10
08-04-2025,16:32:13,23.4,10
08-04-2025,16:42:13,24.0,10
08-04-2025,16:52:13,23.7,10
08-04-2025,17:02:13,24.0,10
08-04-2025,17:12:13,23.6,10
08-04-2025,17:22:13,24.0,10
08-04-2025,17:32:13,21.4,10
08-04-2025,17:42:13,21.4,10
08-04-2025,17:52:13,24.0,10
08-04-2025,18:02:13,23.7,10
08-04-2025,18:12:13,24.0,10
08-04-2025,18:22:13,21.4,10
08-04-2025,18:32:13,24.0,10
08-04-2025,18:42:13,24.0,10
08-04-2025,18:52:13,23.6,10
08-04-2025,19:02:13,24.0,10
08-04-2025,19:12:13,24.0,10
