Date,Time,Temperature(°C),Interval
2025-04-07,18:02:31,-,30 sec
07-04-2025,18:02:31,25.9,30 sec
07-04-2025,18:03:01,25.9,30 sec
07-04-2025,18:03:31,25.8,30 sec
07-04-2025,18:04:01,25.8,30 sec
07-04-2025,18:04:31,25.9,30 sec
07-04-2025,18:05:01,25.9,30 sec
07-04-2025,18:05:31,25.9,30 sec
07-04-2025,18:06:01,25.9,30 sec
07-04-2025,18:06:31,25.9,30 sec
07-04-2025,18:07:01,25.9,30 sec
07-04-2025,18:07:31,25.6,30 sec
07-04-2025,18:08:01,25.9,30 sec
07-04-2025,18:08:31,25.9,30 sec
07-04-2025,18:09:01,25.9,30 sec
07-04-2025,18:09:31,25.8,30 sec
07-04-2025,18:10:01,25.9,30 sec
07-04-2025,18:10:31,25.9,30 sec
07-04-2025,18:11:01,25.8,30 sec
07-04-2025,18:11:31,25.6,30 sec
07-04-2025,18:12:01,25.9,30 sec
07-04-2025,18:12:31,25.9,30 sec
07-04-2025,18:13:01,25.9,30 sec
07-04-2025,18:13:31,25.9,30 sec
07-04-2025,18:14:01,25.8,30 sec
07-04-2025,18:14:31,25.8,30 sec
07-04-2025,18:15:01,25.9,30 sec
07-04-2025,18:15:31,25.8,30 sec
07-04-2025,18:16:01,25.8,30 sec
07-04-2025,18:16:31,25.8,30 sec
07-04-2025,18:17:01,25.8,30 sec
07-04-2025,18:17:31,25.8,30 sec
07-04-2025,18:18:01,25.6,30 sec
07-04-2025,18:18:31,25.8,30 sec
07-04-2025,18:19:01,25.8,30 sec
07-04-2025,18:19:31,25.7,30 sec
07-04-2025,18:20:01,25.8,30 sec
07-04-2025,18:20:31,25.9,30 sec
07-04-2025,18:21:01,25.9,30 sec
07-04-2025,18:21:31,25.9,30 sec
07-04-2025,18:22:01,25.8,30 sec
07-04-2025,18:22:31,25.9,30 sec
07-04-2025,18:23:01,25.8,30 sec
07-04-2025,18:23:31,25.9,30 sec
07-04-2025,18:24:01,25.9,30 sec
07-04-2025,18:24:31,25.8,30 sec
07-04-2025,18:25:01,25.9,30 sec
07-04-2025,18:25:31,25.8,30 sec
07-04-2025,18:26:01,25.9,30 sec
07-04-2025,18:26:31,25.9,30 sec
07-04-2025,18:27:01,20.7,30 sec
07-04-2025,18:27:31,25.9,30 sec
07-04-2025,18:28:01,25.8,30 sec
07-04-2025,18:28:31,25.8,30 sec
07-04-2025,18:29:01,25.9,30 sec
07-04-2025,18:29:31,25.9,30 sec
07-04-2025,18:30:01,25.8,30 sec
07-04-2025,18:30:31,25.9,30 sec
07-04-2025,18:31:01,25.9,30 sec
07-04-2025,18:31:31,25.7,30 sec
07-04-2025,18:32:01,25.9,30 sec
07-04-2025,18:32:31,25.9,30 sec
07-04-2025,18:33:01,25.9,30 sec
07-04-2025,18:33:31,25.9,30 sec
07-04-2025,18:34:01,25.9,30 sec
07-04-2025,18:34:31,25.9,30 sec
07-04-2025,18:35:01,25.9,30 sec
07-04-2025,18:35:31,25.9,30 sec
07-04-2025,18:36:01,25.8,30 sec
07-04-2025,18:36:31,25.8,30 sec
07-04-2025,18:37:01,25.7,30 sec
07-04-2025,18:37:31,25.7,30 sec
07-04-2025,18:38:01,25.8,30 sec
07-04-2025,18:38:31,25.7,30 sec
07-04-2025,18:39:01,25.8,30 sec
07-04-2025,18:39:31,25.7,30 sec
07-04-2025,18:40:01,25.8,30 sec
07-04-2025,18:40:31,25.8,30 sec
07-04-2025,18:41:01,25.8,30 sec
07-04-2025,18:41:31,25.8,30 sec
07-04-2025,18:42:01,25.7,30 sec
07-04-2025,18:42:31,25.8,30 sec
07-04-2025,18:43:01,25.6,30 sec
07-04-2025,18:43:31,20.7,30 sec
07-04-2025,18:44:01,25.8,30 sec
07-04-2025,18:44:31,25.8,30 sec
07-04-2025,18:45:01,25.8,30 sec
07-04-2025,18:45:31,25.8,30 sec
07-04-2025,18:46:01,25.7,30 sec
07-04-2025,18:46:31,25.7,30 sec
07-04-2025,18:47:01,25.7,30 sec
07-04-2025,18:47:31,25.7,30 sec
07-04-2025,18:48:01,25.8,30 sec
07-04-2025,18:48:31,25.8,30 sec
07-04-2025,18:49:01,25.8,30 sec
07-04-2025,18:49:31,25.7,30 sec
07-04-2025,18:50:01,25.8,30 sec
07-04-2025,18:50:31,25.7,30 sec
07-04-2025,18:51:01,25.8,30 sec
07-04-2025,18:51:31,25.8,30 sec
07-04-2025,18:52:01,25.8,30 sec
07-04-2025,18:52:31,25.8,30 sec
07-04-2025,18:53:01,25.8,30 sec
07-04-2025,18:53:31,25.8,30 sec
07-04-2025,18:54:01,25.8,30 sec
07-04-2025,18:54:31,25.8,30 sec
07-04-2025,18:55:01,25.6,30 sec
07-04-2025,18:55:31,25.8,30 sec
07-04-2025,18:56:01,25.7,30 sec
07-04-2025,18:56:31,25.8,30 sec
07-04-2025,18:57:01,25.8,30 sec
07-04-2025,18:57:31,25.7,30 sec
07-04-2025,18:58:01,25.7,30 sec
07-04-2025,18:58:31,25.6,30 sec
07-04-2025,18:59:01,25.7,30 sec
07-04-2025,18:59:31,25.7,30 sec
07-04-2025,19:00:01,25.7,30 sec
07-04-2025,19:00:31,25.7,30 sec
07-04-2025,19:01:01,25.7,30 sec
07-04-2025,19:01:31,25.7,30 sec
2025-04-07,18:04:55,-,30 sec
07-04-2025,18:04:55,25.7,30 sec
07-04-2025,18:05:25,25.7,30 sec
07-04-2025,18:05:55,25.7,30 sec
07-04-2025,18:06:25,25.7,30 sec
07-04-2025,18:06:55,25.7,30 sec
07-04-2025,18:07:25,25.7,30 sec
07-04-2025,18:07:55,25.7,30 sec
07-04-2025,18:08:25,25.7,30 sec
07-04-2025,18:08:55,25.7,30 sec
07-04-2025,18:09:25,25.7,30 sec
07-04-2025,18:09:55,25.6,30 sec
07-04-2025,18:10:25,25.7,30 sec
07-04-2025,18:10:55,25.7,30 sec
