Date,Time,Temperature(°C),Interval
2025-03-27,16:59:31,-,30 sec
27-03-2025,16:59:31,27.67,30 sec
27-03-2025,17:00:01,27.67,30 sec
27-03-2025,17:00:31,27.67,30 sec
27-03-2025,17:01:01,27.68,30 sec
27-03-2025,17:01:31,27.67,30 sec
27-03-2025,17:02:01,27.03,30 sec
27-03-2025,17:02:31,27.67,30 sec
27-03-2025,17:03:01,27.68,30 sec
27-03-2025,17:03:31,27.68,30 sec
27-03-2025,17:04:01,27.52,30 sec
27-03-2025,17:04:31,27.54,30 sec
27-03-2025,17:05:01,27.71,30 sec
27-03-2025,17:05:31,26.43,30 sec
27-03-2025,17:06:01,27.54,30 sec
27-03-2025,17:06:31,27.72,30 sec
27-03-2025,17:07:01,27.73,30 sec
27-03-2025,17:07:31,27.73,30 sec
27-03-2025,17:08:01,27.69,30 sec
27-03-2025,17:08:31,27.10,30 sec
27-03-2025,17:09:01,27.58,30 sec
27-03-2025,17:09:31,27.74,30 sec
27-03-2025,17:10:01,27.73,30 sec
27-03-2025,17:10:31,27.75,30 sec
27-03-2025,17:11:01,27.75,30 sec
27-03-2025,17:11:31,27.59,30 sec
27-03-2025,17:12:01,27.76,30 sec
27-03-2025,17:12:31,27.13,30 sec
27-03-2025,17:13:01,27.69,30 sec
27-03-2025,17:13:31,25.78,30 sec
27-03-2025,17:14:01,27.78,30 sec
27-03-2025,17:14:31,27.80,30 sec
27-03-2025,17:15:01,27.80,30 sec
27-03-2025,17:15:31,27.82,30 sec
27-03-2025,17:16:01,27.18,30 sec
27-03-2025,17:16:31,27.83,30 sec
27-03-2025,17:17:01,25.91,30 sec
27-03-2025,17:17:31,27.83,30 sec
27-03-2025,17:18:01,27.84,30 sec
27-03-2025,17:18:31,27.84,30 sec
27-03-2025,17:19:01,27.84,30 sec
27-03-2025,17:19:31,27.85,30 sec
27-03-2025,17:20:01,27.21,30 sec
27-03-2025,17:20:31,27.85,30 sec
27-03-2025,17:21:01,26.57,30 sec
27-03-2025,17:21:31,27.85,30 sec
27-03-2025,17:22:01,27.85,30 sec
27-03-2025,17:22:31,27.84,30 sec
27-03-2025,17:23:01,27.85,30 sec
27-03-2025,17:23:31,27.85,30 sec
27-03-2025,17:24:01,27.85,30 sec
27-03-2025,17:24:31,27.85,30 sec
27-03-2025,17:25:01,27.86,30 sec
27-03-2025,17:25:31,27.86,30 sec
27-03-2025,17:26:01,27.86,30 sec
27-03-2025,17:26:31,27.55,30 sec
27-03-2025,17:27:01,27.87,30 sec
27-03-2025,17:27:31,27.88,30 sec
27-03-2025,17:28:01,27.88,30 sec
27-03-2025,17:28:31,27.89,30 sec
27-03-2025,17:29:01,27.88,30 sec
27-03-2025,17:29:31,27.89,30 sec
27-03-2025,17:30:01,27.89,30 sec
27-03-2025,17:30:31,27.89,30 sec
27-03-2025,17:31:01,27.89,30 sec
27-03-2025,17:31:31,27.90,30 sec
27-03-2025,17:32:01,27.91,30 sec
27-03-2025,17:32:31,26.63,30 sec
27-03-2025,17:33:01,27.89,30 sec
27-03-2025,17:33:31,27.92,30 sec
27-03-2025,17:34:01,27.92,30 sec
27-03-2025,17:34:31,27.92,30 sec
27-03-2025,17:35:01,27.21,30 sec
27-03-2025,17:35:31,26.01,30 sec
27-03-2025,17:36:01,27.94,30 sec
27-03-2025,17:36:31,27.94,30 sec
27-03-2025,17:37:01,27.62,30 sec
27-03-2025,17:37:31,27.94,30 sec
27-03-2025,17:38:01,27.95,30 sec
27-03-2025,17:38:31,27.94,30 sec
27-03-2025,17:39:01,26.02,30 sec
27-03-2025,17:39:31,27.95,30 sec
27-03-2025,17:40:01,26.67,30 sec
27-03-2025,17:40:31,27.95,30 sec
27-03-2025,17:41:01,27.86,30 sec
27-03-2025,17:41:31,27.94,30 sec
27-03-2025,17:42:01,27.94,30 sec
27-03-2025,17:42:31,27.94,30 sec
27-03-2025,17:43:01,26.02,30 sec
27-03-2025,17:43:31,27.93,30 sec
27-03-2025,17:44:01,27.93,30 sec
27-03-2025,17:44:31,27.93,30 sec
27-03-2025,17:45:01,27.93,30 sec
27-03-2025,17:45:31,27.93,30 sec
27-03-2025,17:46:01,27.93,30 sec
27-03-2025,17:46:31,26.66,30 sec
27-03-2025,17:47:01,27.93,30 sec
27-03-2025,17:47:31,27.95,30 sec
27-03-2025,17:48:01,27.21,30 sec
27-03-2025,17:48:31,27.95,30 sec
27-03-2025,17:49:01,27.96,30 sec
27-03-2025,17:49:31,27.88,30 sec
27-03-2025,17:50:01,27.97,30 sec
27-03-2025,17:50:31,27.98,30 sec
27-03-2025,17:51:01,27.90,30 sec
27-03-2025,17:51:31,28.00,30 sec
27-03-2025,17:52:01,28.00,30 sec
27-03-2025,17:52:31,28.00,30 sec
27-03-2025,17:53:01,28.00,30 sec
27-03-2025,17:53:31,28.00,30 sec
27-03-2025,17:54:01,28.00,30 sec
27-03-2025,17:54:31,28.00,30 sec
27-03-2025,17:55:01,28.00,30 sec
27-03-2025,17:55:31,28.00,30 sec
27-03-2025,17:56:01,27.36,30 sec
27-03-2025,17:56:31,28.00,30 sec
27-03-2025,17:57:01,27.84,30 sec
27-03-2025,17:57:31,28.00,30 sec
27-03-2025,17:58:01,26.56,30 sec
27-03-2025,17:58:31,27.99,30 sec
27-03-2025,17:59:01,27.84,30 sec
27-03-2025,17:59:31,27.84,30 sec
27-03-2025,18:00:01,28.00,30 sec
27-03-2025,18:00:31,28.00,30 sec
27-03-2025,18:01:01,27.84,30 sec
27-03-2025,18:01:31,28.00,30 sec
27-03-2025,18:02:01,28.00,30 sec
27-03-2025,18:02:31,28.00,30 sec
27-03-2025,18:03:01,27.84,30 sec
27-03-2025,18:03:31,28.01,30 sec
27-03-2025,18:04:01,28.02,30 sec
27-03-2025,18:04:31,27.86,30 sec
27-03-2025,18:05:01,28.02,30 sec
27-03-2025,18:05:31,28.02,30 sec
27-03-2025,18:06:01,28.03,30 sec
27-03-2025,18:06:31,26.75,30 sec
27-03-2025,18:07:01,28.03,30 sec
27-03-2025,18:07:31,28.03,30 sec
27-03-2025,18:08:01,28.03,30 sec
27-03-2025,18:08:31,28.03,30 sec
27-03-2025,18:09:01,28.03,30 sec
27-03-2025,18:09:31,28.03,30 sec
27-03-2025,18:10:01,28.03,30 sec
27-03-2025,18:10:31,28.04,30 sec
27-03-2025,18:11:01,27.40,30 sec
