Date,Time,Temperature(°C),Interval
2025-03-29,14:09:29,-,30 sec
29-03-2025,14:09:29,24.68,30 sec
29-03-2025,14:09:59,24.65,30 sec
29-03-2025,14:10:29,22.04,30 sec
29-03-2025,14:10:59,24.52,30 sec
29-03-2025,14:11:29,24.49,30 sec
29-03-2025,14:11:59,24.32,30 sec
29-03-2025,14:12:29,24.44,30 sec
29-03-2025,14:12:59,24.40,30 sec
29-03-2025,14:13:29,21.82,30 sec
29-03-2025,14:13:59,24.34,30 sec
29-03-2025,14:14:29,24.34,30 sec
29-03-2025,14:14:59,24.33,30 sec
29-03-2025,14:15:29,24.25,30 sec
29-03-2025,14:15:59,24.20,30 sec
29-03-2025,14:16:29,24.29,30 sec
29-03-2025,14:16:59,24.29,30 sec
29-03-2025,14:17:29,24.23,30 sec
29-03-2025,14:17:59,24.19,30 sec
29-03-2025,14:18:29,24.23,30 sec
29-03-2025,14:18:59,24.23,30 sec
29-03-2025,14:19:29,24.23,30 sec
29-03-2025,14:19:59,24.23,30 sec
29-03-2025,14:20:29,24.24,30 sec
29-03-2025,14:20:59,24.24,30 sec
29-03-2025,14:21:29,24.24,30 sec
29-03-2025,14:21:59,24.24,30 sec
29-03-2025,14:22:29,24.24,30 sec
29-03-2025,14:22:59,24.23,30 sec
29-03-2025,14:23:29,24.19,30 sec
