Date,Time,Temperature(°C),Interval
19-03-2025,12:50:50,-,30 sec
19-03-2025,12:50:50,27.93,30 sec
19-03-2025,12:51:20,27.87,30 sec
19-03-2025,12:51:50,27.96,30 sec
19-03-2025,12:52:20,27.99,30 sec
19-03-2025,12:52:50,27.89,30 sec
19-03-2025,12:53:20,27.96,30 sec
19-03-2025,12:53:50,27.99,30 sec
19-03-2025,12:54:20,28.02,30 sec
19-03-2025,12:54:50,28.01,30 sec
19-03-2025,12:55:20,28.01,30 sec
19-03-2025,12:55:50,28.02,30 sec
19-03-2025,12:56:20,28.05,30 sec
19-03-2025,12:56:50,28.09,30 sec
19-03-2025,12:57:20,27.98,30 sec
