Date,Time,Temperature(°C),Interval
2025-03-27,17:57:35,-,10 min
27-03-2025,17:57:35,27.26,10 min
27-03-2025,18:07:35,27.25,10 min
27-03-2025,18:27:35,27.25,10 min
27-03-2025,18:57:35,27.25,10 min
27-03-2025,19:37:35,27.25,10 min
27-03-2025,20:27:35,27.21,10 min
27-03-2025,21:27:35,27.23,10 min
27-03-2025,22:37:35,27.23,10 min
27-03-2025,23:57:35,27.23,10 min
27-03-2025,01:27:35,27.22,10 min
27-03-2025,03:07:35,27.22,10 min
27-03-2025,03:17:35,27.21,10 min
27-03-2025,03:37:35,27.22,10 min
27-03-2025,04:07:35,27.21,10 min
27-03-2025,04:47:35,27.21,10 min
27-03-2025,05:37:35,27.22,10 min
27-03-2025,06:37:35,27.22,10 min
27-03-2025,07:47:35,27.22,10 min
27-03-2025,09:07:35,27.22,10 min
27-03-2025,10:37:35,27.23,10 min
27-03-2025,12:17:35,27.23,10 min
27-03-2025,12:27:35,27.22,10 min
27-03-2025,12:47:35,27.23,10 min
27-03-2025,13:17:35,27.23,10 min
27-03-2025,13:57:35,27.23,10 min
27-03-2025,14:47:35,27.22,10 min
27-03-2025,15:47:35,27.22,10 min
27-03-2025,16:57:35,27.22,10 min
27-03-2025,18:17:35,27.22,10 min
27-03-2025,19:47:35,27.22,10 min
27-03-2025,21:27:35,27.21,10 min
27-03-2025,21:37:35,27.21,10 min
27-03-2025,21:57:35,27.21,10 min
27-03-2025,22:27:35,27.21,10 min
27-03-2025,23:07:35,26.88,10 min
27-03-2025,23:57:35,27.03,10 min
27-03-2025,00:57:35,27.19,10 min
27-03-2025,02:07:35,27.19,10 min
27-03-2025,03:27:35,27.18,10 min
27-03-2025,04:57:35,27.17,10 min
27-03-2025,06:37:35,27.17,10 min
27-03-2025,06:47:35,27.01,10 min
27-03-2025,07:07:35,27.16,10 min
27-03-2025,07:37:35,27.17,10 min
27-03-2025,08:17:35,27.15,10 min
27-03-2025,09:07:35,25.87,10 min
27-03-2025,10:07:35,26.99,10 min
27-03-2025,11:17:35,27.14,10 min
27-03-2025,12:37:35,27.14,10 min
27-03-2025,14:07:35,27.06,10 min
27-03-2025,15:47:35,26.98,10 min
27-03-2025,15:57:35,27.14,10 min
27-03-2025,16:17:35,27.14,10 min
27-03-2025,16:47:35,27.06,10 min
27-03-2025,17:27:35,27.14,10 min
27-03-2025,18:17:35,27.06,10 min
27-03-2025,19:17:35,27.14,10 min
27-03-2025,20:27:35,27.13,10 min
27-03-2025,21:47:35,27.05,10 min
27-03-2025,23:17:35,27.14,10 min
27-03-2025,00:57:35,27.15,10 min
27-03-2025,01:07:35,27.15,10 min
27-03-2025,01:27:35,27.08,10 min
27-03-2025,01:57:35,27.13,10 min
27-03-2025,02:37:35,27.17,10 min
27-03-2025,03:27:35,27.18,10 min
27-03-2025,04:27:35,27.20,10 min
27-03-2025,05:37:35,27.20,10 min
27-03-2025,06:57:35,27.20,10 min
27-03-2025,08:27:35,27.21,10 min
27-03-2025,10:07:35,27.22,10 min
27-03-2025,10:17:35,27.23,10 min
27-03-2025,10:37:35,27.23,10 min
27-03-2025,11:07:35,27.25,10 min
27-03-2025,11:47:35,27.25,10 min
27-03-2025,12:37:35,27.26,10 min
27-03-2025,13:37:35,27.27,10 min
27-03-2025,14:47:35,27.28,10 min
27-03-2025,16:07:35,27.28,10 min
27-03-2025,17:37:35,27.29,10 min
27-03-2025,19:17:35,27.30,10 min
27-03-2025,19:27:35,27.30,10 min
27-03-2025,19:47:35,27.31,10 min
27-03-2025,20:17:35,27.32,10 min
27-03-2025,20:57:35,27.32,10 min
27-03-2025,21:47:35,27.32,10 min
27-03-2025,22:47:35,27.34,10 min
27-03-2025,23:57:35,27.35,10 min
27-03-2025,01:17:35,27.35,10 min
27-03-2025,02:47:35,27.35,10 min
27-03-2025,04:27:35,27.35,10 min
27-03-2025,04:37:35,27.35,10 min
27-03-2025,04:57:35,27.35,10 min
27-03-2025,05:27:35,27.36,10 min
27-03-2025,06:07:35,27.36,10 min
27-03-2025,06:57:35,27.36,10 min
27-03-2025,07:57:35,27.36,10 min
27-03-2025,09:07:35,27.36,10 min
27-03-2025,10:27:35,27.36,10 min
27-03-2025,11:57:35,27.36,10 min
27-03-2025,13:37:35,27.37,10 min
27-03-2025,13:47:35,27.38,10 min
27-03-2025,14:07:35,27.38,10 min
27-03-2025,14:37:35,27.38,10 min
27-03-2025,15:17:35,27.39,10 min
27-03-2025,16:07:35,27.39,10 min
27-03-2025,17:07:35,27.39,10 min
27-03-2025,18:17:35,27.06,10 min
27-03-2025,19:37:35,27.40,10 min
27-03-2025,21:07:35,27.42,10 min
27-03-2025,22:47:35,27.07,10 min
27-03-2025,22:57:35,27.44,10 min
27-03-2025,23:17:35,27.30,10 min
27-03-2025,23:47:35,27.49,10 min
27-03-2025,00:27:35,27.53,10 min
27-03-2025,01:17:35,27.60,10 min
27-03-2025,02:17:35,27.68,10 min
27-03-2025,03:27:35,27.74,10 min
27-03-2025,04:47:35,27.79,10 min
27-03-2025,06:17:35,27.82,10 min
27-03-2025,07:57:35,27.85,10 min
27-03-2025,08:07:35,27.85,10 min
27-03-2025,08:27:35,27.85,10 min
27-03-2025,08:57:35,27.85,10 min
27-03-2025,09:37:35,27.85,10 min
