Date,Time,Temperature(°C),Interval
2025-03-25,14:57:10,-,30 sec
25-03-2025,14:57:10,27.25,30 sec
25-03-2025,14:57:40,26.77,30 sec
25-03-2025,14:58:10,26.61,30 sec
25-03-2025,14:58:40,26.41,30 sec
25-03-2025,14:59:10,26.25,30 sec
25-03-2025,14:59:40,26.15,30 sec
25-03-2025,15:00:10,26.19,30 sec
25-03-2025,15:00:40,26.15,30 sec
25-03-2025,15:01:10,21.48,30 sec
25-03-2025,15:01:40,26.68,30 sec
25-03-2025,15:02:10,27.76,30 sec
25-03-2025,15:02:40,28.58,30 sec
25-03-2025,15:03:10,28.82,30 sec
25-03-2025,15:03:40,25.82,30 sec
25-03-2025,15:04:10,27.38,30 sec
25-03-2025,15:04:40,27.68,30 sec
25-03-2025,15:05:10,27.46,30 sec
25-03-2025,15:05:40,27.37,30 sec
25-03-2025,15:06:10,27.37,30 sec
25-03-2025,15:06:40,27.31,30 sec
25-03-2025,15:07:10,27.08,30 sec
25-03-2025,15:07:40,26.96,30 sec
25-03-2025,15:08:10,27.16,30 sec
25-03-2025,15:08:40,27.14,30 sec
25-03-2025,15:09:10,26.92,30 sec
25-03-2025,15:09:40,26.89,30 sec
25-03-2025,15:10:10,27.26,30 sec
25-03-2025,15:10:40,27.25,30 sec
25-03-2025,15:11:10,26.06,30 sec
25-03-2025,15:11:40,27.28,30 sec
25-03-2025,15:12:10,27.32,30 sec
25-03-2025,15:12:40,27.37,30 sec
25-03-2025,15:13:10,27.32,30 sec
25-03-2025,15:13:40,27.32,30 sec
25-03-2025,15:14:10,27.27,30 sec
25-03-2025,15:14:40,25.96,30 sec
25-03-2025,15:15:10,27.26,30 sec
25-03-2025,15:15:40,27.15,30 sec
25-03-2025,15:16:10,27.15,30 sec
25-03-2025,15:16:40,27.15,30 sec
25-03-2025,15:17:10,27.15,30 sec
25-03-2025,15:17:40,27.15,30 sec
25-03-2025,15:18:10,27.15,30 sec
25-03-2025,15:18:40,25.86,30 sec
