Date,Time,Temperature(°C),Interval
2025-03-27,16:27:52,-,10 min
27-03-2025,16:27:52,26.89,10 min
27-03-2025,16:37:52,29.41,10 min
27-03-2025,16:57:52,26.82,10 min
27-03-2025,17:27:52,29.34,10 min
27-03-2025,18:07:52,26.75,10 min
27-03-2025,18:57:52,28.63,10 min
27-03-2025,19:57:52,29.25,10 min
27-03-2025,21:07:52,29.21,10 min
27-03-2025,22:27:52,29.18,10 min
27-03-2025,23:57:52,28.52,10 min
27-03-2025,23:57:52,29.12,10 min
28-03-2025,00:07:52,29.10,10 min
28-03-2025,00:27:52,29.07,10 min
28-03-2025,00:57:52,28.88,10 min
28-03-2025,01:37:52,29.02,10 min
28-03-2025,02:27:52,28.99,10 min
28-03-2025,03:27:52,28.96,10 min
28-03-2025,04:37:52,28.89,10 min
28-03-2025,05:57:52,28.27,10 min
28-03-2025,07:27:52,28.88,10 min
28-03-2025,07:27:52,28.86,10 min
28-03-2025,07:37:52,26.28,10 min
28-03-2025,07:57:52,28.81,10 min
28-03-2025,08:27:52,28.78,10 min
28-03-2025,09:07:52,28.54,10 min
28-03-2025,09:57:52,28.76,10 min
28-03-2025,10:57:52,28.74,10 min
28-03-2025,12:07:52,28.71,10 min
28-03-2025,13:27:52,28.68,10 min
28-03-2025,14:57:52,28.66,10 min
28-03-2025,14:57:52,28.66,10 min
28-03-2025,15:07:52,28.64,10 min
28-03-2025,15:27:52,28.60,10 min
28-03-2025,15:57:52,28.59,10 min
28-03-2025,16:37:52,26.01,10 min
28-03-2025,17:27:52,26.00,10 min
28-03-2025,18:27:52,28.54,10 min
28-03-2025,19:37:52,28.53,10 min
28-03-2025,20:57:52,28.51,10 min
28-03-2025,22:27:52,28.18,10 min
28-03-2025,22:27:52,28.48,10 min
28-03-2025,22:37:52,28.39,10 min
28-03-2025,22:57:52,28.38,10 min
28-03-2025,23:27:52,28.40,10 min
29-03-2025,00:07:52,28.43,10 min
29-03-2025,00:57:52,28.42,10 min
29-03-2025,01:57:52,25.84,10 min
29-03-2025,03:07:52,28.35,10 min
29-03-2025,04:27:52,28.39,10 min
29-03-2025,05:57:52,28.37,10 min
29-03-2025,05:57:52,28.35,10 min
29-03-2025,06:07:52,25.79,10 min
29-03-2025,06:27:52,28.34,10 min
29-03-2025,06:57:52,28.33,10 min
