Date,Time,Temperature(°C),Interval
2025-03-29,14:43:23,-,30 sec
29-03-2025,14:43:23,25.89,30 sec
29-03-2025,14:43:53,25.86,30 sec
29-03-2025,14:44:23,25.83,30 sec
29-03-2025,14:44:53,25.81,30 sec
29-03-2025,14:45:23,25.80,30 sec
29-03-2025,14:45:53,25.78,30 sec
29-03-2025,14:46:23,25.76,30 sec
29-03-2025,14:46:53,25.70,30 sec
29-03-2025,14:47:23,25.73,30 sec
29-03-2025,14:47:53,25.71,30 sec
29-03-2025,14:48:23,25.70,30 sec
29-03-2025,14:48:53,25.68,30 sec
29-03-2025,14:49:23,25.66,30 sec
29-03-2025,14:49:53,25.65,30 sec
29-03-2025,14:50:23,25.63,30 sec
29-03-2025,14:50:53,25.62,30 sec
29-03-2025,14:51:23,25.60,30 sec
29-03-2025,14:51:53,25.59,30 sec
29-03-2025,14:52:23,25.58,30 sec
29-03-2025,14:52:53,25.57,30 sec
29-03-2025,14:53:23,25.56,30 sec
29-03-2025,14:53:53,25.54,30 sec
29-03-2025,14:54:23,25.53,30 sec
29-03-2025,14:54:53,25.51,30 sec
29-03-2025,14:55:23,25.50,30 sec
29-03-2025,14:55:53,25.48,30 sec
29-03-2025,14:56:23,25.47,30 sec
29-03-2025,14:56:53,25.46,30 sec
29-03-2025,14:57:23,25.44,30 sec
29-03-2025,14:57:53,25.43,30 sec
