Date,Time,Temperature(°C),Interval
19-03-2025,15:41:43,-,30 sec
19-03-2025,15:42:00,-,1 min
19-03-2025,15:42:00,25.97,30 sec
19-03-2025,15:42:30,28.25,30 sec
19-03-2025,15:43:00,28.07,30 sec
19-03-2025,15:43:30,27.89,30 sec
19-03-2025,15:44:00,27.82,30 sec
19-03-2025,15:44:30,27.87,30 sec
19-03-2025,15:45:00,27.86,30 sec
19-03-2025,15:45:30,27.88,30 sec
19-03-2025,15:46:00,27.90,30 sec
19-03-2025,15:46:30,27.91,30 sec
19-03-2025,15:47:00,27.92,30 sec
19-03-2025,15:47:30,27.95,30 sec
19-03-2025,15:48:00,27.59,30 sec
19-03-2025,15:48:30,25.64,30 sec
19-03-2025,15:49:00,28.21,30 sec
19-03-2025,15:49:30,28.24,30 sec
19-03-2025,15:50:00,28.28,30 sec
19-03-2025,15:50:30,28.33,30 sec
19-03-2025,15:51:00,28.35,30 sec
19-03-2025,15:51:30,28.30,30 sec
19-03-2025,15:52:00,28.18,30 sec
19-03-2025,15:52:30,25.68,30 sec
19-03-2025,15:53:00,28.22,30 sec
19-03-2025,15:53:30,28.17,30 sec
19-03-2025,15:54:00,27.87,30 sec
19-03-2025,15:54:30,28.52,30 sec
19-03-2025,15:55:00,27.45,30 sec
19-03-2025,15:55:30,27.97,30 sec
