Date,Time,Temperature(°C),Interval
2025-03-28,15:10:28,-,10 min
28-03-2025,15:10:28,26.28,10 min
28-03-2025,15:20:28,26.28,10 min
28-03-2025,15:30:28,26.28,10 min
28-03-2025,15:40:28,26.28,10 min
28-03-2025,15:50:28,26.28,10 min
28-03-2025,16:00:28,25.64,10 min
28-03-2025,16:10:28,26.28,10 min
28-03-2025,16:20:28,26.24,10 min
28-03-2025,16:30:28,26.28,10 min
28-03-2025,16:40:28,26.28,10 min
28-03-2025,16:50:28,26.28,10 min
28-03-2025,17:00:28,26.28,10 min
28-03-2025,17:10:28,26.28,10 min
28-03-2025,17:20:28,26.24,10 min
28-03-2025,17:30:28,26.28,10 min
28-03-2025,17:40:28,26.28,10 min
28-03-2025,17:50:28,26.28,10 min
28-03-2025,18:00:28,26.24,10 min
28-03-2025,18:10:28,25.64,10 min
28-03-2025,18:20:28,25.64,10 min
28-03-2025,18:30:28,26.28,10 min
28-03-2025,18:40:28,26.28,10 min
28-03-2025,18:50:28,26.28,10 min
28-03-2025,19:00:28,25.64,10 min
28-03-2025,19:10:28,26.28,10 min
28-03-2025,19:20:28,26.28,10 min
28-03-2025,19:30:28,25.64,10 min
28-03-2025,19:40:28,26.28,10 min
28-03-2025,19:50:28,25.64,10 min
28-03-2025,20:00:28,26.24,10 min
28-03-2025,20:10:28,26.28,10 min
28-03-2025,20:20:28,26.28,10 min
28-03-2025,20:30:28,26.28,10 min
28-03-2025,20:40:28,25.64,10 min
28-03-2025,20:50:28,26.28,10 min
28-03-2025,21:00:28,25.64,10 min
28-03-2025,21:10:28,26.28,10 min
28-03-2025,21:20:28,26.28,10 min
28-03-2025,21:30:28,26.27,10 min
28-03-2025,21:40:28,26.28,10 min
28-03-2025,21:50:28,26.28,10 min
28-03-2025,22:00:28,25.64,10 min
28-03-2025,22:10:28,26.28,10 min
28-03-2025,22:20:28,26.24,10 min
28-03-2025,22:30:28,26.24,10 min
28-03-2025,22:40:28,26.27,10 min
28-03-2025,22:50:28,26.28,10 min
28-03-2025,23:00:28,26.27,10 min
28-03-2025,23:10:28,26.27,10 min
28-03-2025,23:20:28,26.28,10 min
28-03-2025,23:30:28,26.28,10 min
28-03-2025,23:40:28,26.27,10 min
28-03-2025,23:50:28,26.27,10 min
29-03-2025,00:00:28,26.27,10 min
29-03-2025,00:10:28,26.27,10 min
29-03-2025,00:20:28,26.27,10 min
29-03-2025,00:30:28,26.26,10 min
29-03-2025,00:40:28,26.27,10 min
29-03-2025,00:50:28,26.27,10 min
29-03-2025,01:00:28,26.25,10 min
29-03-2025,01:10:28,26.26,10 min
29-03-2025,01:20:28,26.26,10 min
29-03-2025,01:30:28,26.26,10 min
29-03-2025,01:40:28,26.26,10 min
29-03-2025,01:50:28,26.26,10 min
29-03-2025,02:00:28,26.26,10 min
29-03-2025,02:10:28,26.26,10 min
29-03-2025,02:20:28,26.26,10 min
29-03-2025,02:30:28,25.63,10 min
29-03-2025,02:40:28,26.27,10 min
29-03-2025,02:50:28,25.62,10 min
29-03-2025,03:00:28,25.62,10 min
29-03-2025,03:10:28,26.26,10 min
29-03-2025,03:20:28,26.26,10 min
29-03-2025,03:30:28,26.26,10 min
29-03-2025,03:40:28,26.26,10 min
29-03-2025,03:50:28,26.26,10 min
29-03-2025,04:00:28,26.26,10 min
29-03-2025,04:10:28,26.25,10 min
29-03-2025,04:20:28,26.26,10 min
29-03-2025,04:30:28,26.25,10 min
29-03-2025,04:40:28,26.25,10 min
29-03-2025,04:50:28,26.25,10 min
29-03-2025,05:00:28,26.26,10 min
29-03-2025,05:10:28,26.25,10 min
29-03-2025,05:20:28,26.25,10 min
29-03-2025,05:30:28,26.25,10 min
29-03-2025,05:40:28,25.61,10 min
29-03-2025,05:50:28,26.25,10 min
29-03-2025,06:00:28,26.25,10 min
29-03-2025,06:10:28,26.25,10 min
29-03-2025,06:20:28,26.25,10 min
29-03-2025,06:30:28,26.25,10 min
29-03-2025,06:40:28,26.25,10 min
29-03-2025,06:50:28,26.25,10 min
29-03-2025,07:00:28,26.25,10 min
29-03-2025,07:10:28,26.25,10 min
