Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,11:05:45,-,5 min
02-04-2025,11:05:45,25.1,5
02-04-2025,11:10:45,25.1,5
02-04-2025,11:15:45,25.1,5
02-04-2025,11:20:45,25.1,5
02-04-2025,11:25:45,23.9,5
02-04-2025,11:30:45,25.1,5
02-04-2025,11:35:45,25.1,5
02-04-2025,11:40:45,25.0,5
02-04-2025,11:45:45,25.1,5
02-04-2025,11:50:45,25.1,5
02-04-2025,11:55:45,25.0,5
02-04-2025,12:00:45,25.1,5
02-04-2025,12:05:45,25.1,5
02-04-2025,12:10:45,25.1,5
02-04-2025,12:15:45,25.1,5
02-04-2025,12:20:45,25.1,5
02-04-2025,12:25:45,25.1,5
02-04-2025,12:30:45,25.1,5
02-04-2025,12:35:45,25.0,5
02-04-2025,12:40:45,25.1,5
02-04-2025,12:45:45,25.1,5
02-04-2025,12:50:45,25.1,5
02-04-2025,12:55:45,25.1,5
02-04-2025,13:00:45,25.1,5
02-04-2025,13:05:45,25.1,5
02-04-2025,13:10:45,25.1,5
02-04-2025,13:15:45,24.5,5
02-04-2025,13:20:45,25.1,5
02-04-2025,13:25:45,25.1,5
02-04-2025,13:30:45,23.8,5
02-04-2025,13:35:45,25.1,5
02-04-2025,13:40:45,25.1,5
02-04-2025,13:45:45,25.0,5
02-04-2025,13:50:45,25.0,5
02-04-2025,13:55:45,25.0,5
02-04-2025,14:00:45,25.0,5
02-04-2025,14:05:45,25.0,5
02-04-2025,14:10:45,25.0,5
02-04-2025,14:15:45,25.0,5
02-04-2025,14:20:45,25.0,5
