Date,Time,Temperature(°C),Interval
2025-04-10,09:33:09,-,30 sec
10-04-2025,09:33:09,34.5,30 sec
10-04-2025,09:33:39,34.5,30 sec
10-04-2025,09:34:09,34.6,30 sec
10-04-2025,09:34:39,34.6,30 sec
10-04-2025,09:35:09,34.6,30 sec
10-04-2025,09:35:39,34.6,30 sec
10-04-2025,09:36:09,34.6,30 sec
10-04-2025,09:36:39,34.6,30 sec
10-04-2025,09:37:09,34.6,30 sec
10-04-2025,09:37:39,34.6,30 sec
10-04-2025,09:33:09,34.6,30 sec
10-04-2025,09:33:39,34.6,30 sec
10-04-2025,09:34:09,34.6,30 sec
10-04-2025,09:34:39,34.6,30 sec
10-04-2025,09:35:09,34.6,30 sec
10-04-2025,09:35:39,34.6,30 sec
10-04-2025,09:36:09,34.5,30 sec
10-04-2025,09:36:39,34.5,30 sec
10-04-2025,09:33:09,27.2,30 sec
10-04-2025,09:33:39,27.1,30 sec
10-04-2025,09:34:09,27.1,30 sec
10-04-2025,09:34:39,27.1,30 sec
10-04-2025,09:35:09,27.0,30 sec
10-04-2025,09:35:39,27.0,30 sec
10-04-2025,09:36:09,27.0,30 sec
10-04-2025,09:36:39,27.0,30 sec
10-04-2025,09:37:09,27.0,30 sec
10-04-2025,09:37:39,26.9,30 sec
10-04-2025,09:33:09,26.9,30 sec
10-04-2025,09:33:39,26.9,30 sec
10-04-2025,09:34:09,27.0,30 sec
10-04-2025,09:34:39,26.9,30 sec
10-04-2025,09:35:09,26.9,30 sec
10-04-2025,09:35:39,26.8,30 sec
10-04-2025,09:36:09,26.7,30 sec
10-04-2025,09:36:39,26.7,30 sec
10-04-2025,09:37:09,26.7,30 sec
10-04-2025,09:37:39,26.6,30 sec
