Date,Time,Temperature(°C),Interval
19-03-2025,13:12:49,-,30 sec
19-03-2025,13:12:49,27.96,30 sec
19-03-2025,13:13:19,27.92,30 sec
19-03-2025,13:13:49,27.91,30 sec
19-03-2025,13:14:19,27.90,30 sec
19-03-2025,13:14:49,27.85,30 sec
19-03-2025,13:15:19,27.95,30 sec
19-03-2025,13:15:49,27.96,30 sec
19-03-2025,13:16:19,27.96,30 sec
19-03-2025,13:16:49,27.93,30 sec
19-03-2025,13:17:19,27.91,30 sec
19-03-2025,13:17:49,27.84,30 sec
19-03-2025,13:18:19,27.89,30 sec
19-03-2025,13:18:49,27.86,30 sec
19-03-2025,13:19:19,27.90,30 sec
19-03-2025,13:19:49,27.85,30 sec
19-03-2025,13:20:19,27.83,30 sec
19-03-2025,13:20:49,27.83,30 sec
19-03-2025,13:21:19,27.79,30 sec
19-03-2025,13:21:49,27.82,30 sec
19-03-2025,13:22:19,27.18,30 sec
19-03-2025,13:22:49,27.73,30 sec
19-03-2025,13:23:19,27.80,30 sec
19-03-2025,13:23:49,27.82,30 sec
19-03-2025,13:24:19,27.83,30 sec
19-03-2025,13:24:49,27.82,30 sec
19-03-2025,13:25:19,27.82,30 sec
19-03-2025,13:25:49,27.18,30 sec
19-03-2025,13:26:19,27.82,30 sec
19-03-2025,13:26:49,26.54,30 sec
19-03-2025,13:27:19,27.78,30 sec
19-03-2025,13:27:49,27.82,30 sec
19-03-2025,13:28:19,27.82,30 sec
19-03-2025,13:28:49,27.86,30 sec
19-03-2025,13:29:19,27.22,30 sec
19-03-2025,13:29:49,27.95,30 sec
19-03-2025,13:30:19,26.03,30 sec
19-03-2025,13:30:49,27.95,30 sec
19-03-2025,13:31:19,27.94,30 sec
19-03-2025,13:31:49,27.92,30 sec
19-03-2025,13:32:19,27.89,30 sec
19-03-2025,13:32:49,27.85,30 sec
19-03-2025,13:33:19,27.85,30 sec
19-03-2025,13:33:49,27.83,30 sec
19-03-2025,13:34:19,26.34,30 sec
19-03-2025,13:34:49,27.82,30 sec
19-03-2025,13:35:19,27.82,30 sec
19-03-2025,13:35:49,27.80,30 sec
19-03-2025,13:36:19,27.71,30 sec
19-03-2025,13:36:49,27.71,30 sec
19-03-2025,13:37:19,27.77,30 sec
19-03-2025,13:37:49,27.76,30 sec
19-03-2025,13:38:19,27.77,30 sec
19-03-2025,13:38:49,27.77,30 sec
19-03-2025,13:39:19,27.77,30 sec
19-03-2025,13:39:49,27.74,30 sec
19-03-2025,13:40:19,27.76,30 sec
19-03-2025,13:40:49,27.75,30 sec
19-03-2025,13:41:19,27.77,30 sec
19-03-2025,13:41:49,27.78,30 sec
19-03-2025,13:42:19,27.76,30 sec
19-03-2025,13:42:49,27.77,30 sec
19-03-2025,13:43:19,27.78,30 sec
19-03-2025,13:43:49,27.77,30 sec
19-03-2025,13:44:19,27.60,30 sec
19-03-2025,13:44:49,27.75,30 sec
19-03-2025,13:45:19,27.73,30 sec
19-03-2025,13:45:49,27.73,30 sec
19-03-2025,13:46:19,27.57,30 sec
19-03-2025,13:46:49,27.07,30 sec
19-03-2025,13:47:19,27.66,30 sec
19-03-2025,13:47:49,26.99,30 sec
19-03-2025,13:48:19,26.88,30 sec
19-03-2025,13:48:49,26.26,30 sec
19-03-2025,13:49:19,27.53,30 sec
19-03-2025,13:49:49,27.52,30 sec
19-03-2025,13:50:19,27.52,30 sec
19-03-2025,13:50:49,27.50,30 sec
19-03-2025,13:51:19,27.53,30 sec
19-03-2025,13:51:49,27.54,30 sec
19-03-2025,13:52:19,26.28,30 sec
19-03-2025,13:52:49,27.53,30 sec
19-03-2025,13:53:19,27.54,30 sec
19-03-2025,13:53:49,27.59,30 sec
19-03-2025,13:54:19,27.59,30 sec
19-03-2025,13:54:49,27.59,30 sec
19-03-2025,13:55:19,27.60,30 sec
19-03-2025,13:55:49,27.61,30 sec
19-03-2025,13:56:19,25.71,30 sec
19-03-2025,13:56:49,27.64,30 sec
19-03-2025,13:57:19,27.66,30 sec
19-03-2025,13:57:49,27.66,30 sec
19-03-2025,13:58:19,27.64,30 sec
19-03-2025,13:58:49,27.64,30 sec
19-03-2025,13:59:19,27.61,30 sec
19-03-2025,13:59:49,26.34,30 sec
19-03-2025,14:00:19,27.58,30 sec
19-03-2025,14:00:49,27.67,30 sec
19-03-2025,14:01:19,27.68,30 sec
19-03-2025,14:01:49,27.71,30 sec
19-03-2025,14:02:19,27.71,30 sec
19-03-2025,14:02:49,27.72,30 sec
19-03-2025,14:03:19,27.71,30 sec
19-03-2025,14:03:49,27.72,30 sec
19-03-2025,14:04:19,27.73,30 sec
19-03-2025,14:04:49,27.71,30 sec
19-03-2025,14:05:19,27.69,30 sec
19-03-2025,14:05:49,27.67,30 sec
19-03-2025,14:06:19,26.39,30 sec
19-03-2025,14:06:49,27.68,30 sec
19-03-2025,14:07:19,27.68,30 sec
19-03-2025,14:07:49,27.67,30 sec
19-03-2025,14:08:19,27.67,30 sec
19-03-2025,14:08:49,27.68,30 sec
19-03-2025,14:09:19,27.68,30 sec
19-03-2025,14:09:49,27.67,30 sec
19-03-2025,14:10:19,27.67,30 sec
19-03-2025,14:10:49,27.67,30 sec
19-03-2025,14:11:19,26.39,30 sec
19-03-2025,14:11:49,27.67,30 sec
19-03-2025,14:12:19,27.66,30 sec
19-03-2025,14:12:49,27.69,30 sec
19-03-2025,14:13:19,27.69,30 sec
19-03-2025,14:13:49,27.70,30 sec
19-03-2025,14:14:19,27.55,30 sec
19-03-2025,14:14:49,27.71,30 sec
