Date,Time,Temperature(°C),Interval
2025-03-21,18:32:00,-,2 min
22-03-2025,18:32:00,27.89,2 min
22-03-2025,18:34:00,27.89,2 min
22-03-2025,18:36:00,27.71,2 min
22-03-2025,18:38:00,27.64,2 min
22-03-2025,18:40:00,27.52,2 min
22-03-2025,18:42:00,27.58,2 min
22-03-2025,18:44:00,27.54,2 min
22-03-2025,18:46:00,27.53,2 min
22-03-2025,18:48:00,22.38,2 min
22-03-2025,18:50:00,27.50,2 min
22-03-2025,18:52:00,27.48,2 min
22-03-2025,18:54:00,27.38,2 min
22-03-2025,18:56:00,27.44,2 min
22-03-2025,18:58:00,27.28,2 min
22-03-2025,19:00:00,27.44,2 min
22-03-2025,19:02:00,27.42,2 min
22-03-2025,19:04:00,27.40,2 min
22-03-2025,19:06:00,27.39,2 min
22-03-2025,19:08:00,27.38,2 min
22-03-2025,19:10:00,27.36,2 min
22-03-2025,19:12:00,26.93,2 min
22-03-2025,19:14:00,27.29,2 min
22-03-2025,19:16:00,27.31,2 min
22-03-2025,19:18:00,27.28,2 min
22-03-2025,19:20:00,27.23,2 min
22-03-2025,19:22:00,27.31,2 min
22-03-2025,19:24:00,27.28,2 min
22-03-2025,19:26:00,27.20,2 min
22-03-2025,19:28:00,25.98,2 min
22-03-2025,19:30:00,27.24,2 min
22-03-2025,19:32:00,27.25,2 min
22-03-2025,19:34:00,27.24,2 min
22-03-2025,19:36:00,25.94,2 min
22-03-2025,19:38:00,27.22,2 min
22-03-2025,19:40:00,27.21,2 min
22-03-2025,19:42:00,25.93,2 min
22-03-2025,19:44:00,27.21,2 min
22-03-2025,19:46:00,27.19,2 min
22-03-2025,19:48:00,27.19,2 min
22-03-2025,19:50:00,27.16,2 min
22-03-2025,19:52:00,27.16,2 min
22-03-2025,19:54:00,27.16,2 min
22-03-2025,19:56:00,27.15,2 min
22-03-2025,19:58:00,25.70,2 min
22-03-2025,20:00:00,27.14,2 min
22-03-2025,20:02:00,26.97,2 min
22-03-2025,20:04:00,27.11,2 min
22-03-2025,20:06:00,27.10,2 min
22-03-2025,20:08:00,27.10,2 min
22-03-2025,20:10:00,27.06,2 min
22-03-2025,20:12:00,27.10,2 min
22-03-2025,20:14:00,27.05,2 min
22-03-2025,20:16:00,27.09,2 min
22-03-2025,20:18:00,27.07,2 min
22-03-2025,20:20:00,27.07,2 min
22-03-2025,20:22:00,27.07,2 min
22-03-2025,20:24:00,27.05,2 min
22-03-2025,20:26:00,27.06,2 min
22-03-2025,20:28:00,27.05,2 min
22-03-2025,20:30:00,27.04,2 min
22-03-2025,20:32:00,26.88,2 min
22-03-2025,20:34:00,27.03,2 min
22-03-2025,20:36:00,27.03,2 min
22-03-2025,20:38:00,25.60,2 min
22-03-2025,20:40:00,27.03,2 min
22-03-2025,20:42:00,27.04,2 min
22-03-2025,20:44:00,25.79,2 min
22-03-2025,20:46:00,26.92,2 min
22-03-2025,20:48:00,26.94,2 min
22-03-2025,20:50:00,27.10,2 min
22-03-2025,20:52:00,27.06,2 min
22-03-2025,20:54:00,26.98,2 min
22-03-2025,20:56:00,25.71,2 min
22-03-2025,20:58:00,27.01,2 min
22-03-2025,21:00:00,27.13,2 min
22-03-2025,21:02:00,27.15,2 min
22-03-2025,21:04:00,27.21,2 min
22-03-2025,21:06:00,27.20,2 min
22-03-2025,21:08:00,27.21,2 min
22-03-2025,21:10:00,25.92,2 min
22-03-2025,21:12:00,27.20,2 min
22-03-2025,21:14:00,27.21,2 min
22-03-2025,21:16:00,27.27,2 min
22-03-2025,21:18:00,27.29,2 min
22-03-2025,21:20:00,27.29,2 min
22-03-2025,21:22:00,27.32,2 min
22-03-2025,21:24:00,27.01,2 min
22-03-2025,21:26:00,27.35,2 min
22-03-2025,21:28:00,27.36,2 min
22-03-2025,21:30:00,27.20,2 min
22-03-2025,21:32:00,27.37,2 min
22-03-2025,21:34:00,27.22,2 min
22-03-2025,21:36:00,27.39,2 min
22-03-2025,21:38:00,27.39,2 min
22-03-2025,21:40:00,26.14,2 min
22-03-2025,21:42:00,27.40,2 min
22-03-2025,21:44:00,27.38,2 min
22-03-2025,21:46:00,27.29,2 min
22-03-2025,21:48:00,27.35,2 min
22-03-2025,21:50:00,27.34,2 min
22-03-2025,21:52:00,27.35,2 min
22-03-2025,21:54:00,27.27,2 min
22-03-2025,21:56:00,27.36,2 min
22-03-2025,21:58:00,27.27,2 min
22-03-2025,22:00:00,27.36,2 min
22-03-2025,22:02:00,27.36,2 min
22-03-2025,22:04:00,27.36,2 min
22-03-2025,22:06:00,27.36,2 min
22-03-2025,22:08:00,27.36,2 min
22-03-2025,22:10:00,27.37,2 min
22-03-2025,22:12:00,27.38,2 min
22-03-2025,22:14:00,27.37,2 min
22-03-2025,22:16:00,27.38,2 min
22-03-2025,22:18:00,27.39,2 min
22-03-2025,22:20:00,27.39,2 min
22-03-2025,22:22:00,27.23,2 min
22-03-2025,22:24:00,27.39,2 min
22-03-2025,22:26:00,25.96,2 min
22-03-2025,22:28:00,27.39,2 min
22-03-2025,22:30:00,27.24,2 min
22-03-2025,22:32:00,27.39,2 min
22-03-2025,22:34:00,27.41,2 min
22-03-2025,22:36:00,27.41,2 min
22-03-2025,22:38:00,27.26,2 min
22-03-2025,22:40:00,27.42,2 min
22-03-2025,22:42:00,27.42,2 min
22-03-2025,22:44:00,26.14,2 min
22-03-2025,22:46:00,27.26,2 min
22-03-2025,22:48:00,27.42,2 min
22-03-2025,22:50:00,27.42,2 min
22-03-2025,22:52:00,27.43,2 min
22-03-2025,22:54:00,27.41,2 min
22-03-2025,22:56:00,26.15,2 min
22-03-2025,22:58:00,27.44,2 min
22-03-2025,23:00:00,26.16,2 min
22-03-2025,23:02:00,27.44,2 min
22-03-2025,23:04:00,27.45,2 min
22-03-2025,23:06:00,27.44,2 min
22-03-2025,23:08:00,27.45,2 min
22-03-2025,23:10:00,27.45,2 min
22-03-2025,23:12:00,27.46,2 min
22-03-2025,23:14:00,27.46,2 min
22-03-2025,23:16:00,27.46,2 min
22-03-2025,23:18:00,27.46,2 min
22-03-2025,23:20:00,26.18,2 min
22-03-2025,23:22:00,25.86,2 min
22-03-2025,23:24:00,27.46,2 min
22-03-2025,23:26:00,27.48,2 min
22-03-2025,23:28:00,27.48,2 min
22-03-2025,23:30:00,27.48,2 min
22-03-2025,23:32:00,27.48,2 min
22-03-2025,23:34:00,27.48,2 min
22-03-2025,23:36:00,27.48,2 min
22-03-2025,23:38:00,27.49,2 min
22-03-2025,23:40:00,26.20,2 min
22-03-2025,23:42:00,27.50,2 min
22-03-2025,23:44:00,25.90,2 min
22-03-2025,23:46:00,27.50,2 min
22-03-2025,23:48:00,27.50,2 min
22-03-2025,23:50:00,27.50,2 min
22-03-2025,23:52:00,27.18,2 min
22-03-2025,23:54:00,26.23,2 min
22-03-2025,23:56:00,27.51,2 min
22-03-2025,23:58:00,27.18,2 min
23-03-2025,00:00:00,27.50,2 min
24-03-2025,00:02:00,27.51,2 min
25-03-2025,00:04:00,27.52,2 min
26-03-2025,00:06:00,27.52,2 min
27-03-2025,00:08:00,27.52,2 min
28-03-2025,00:10:00,27.53,2 min
22-03-2025,00:12:00,27.53,2 min
22-03-2025,00:14:00,27.54,2 min
22-03-2025,00:16:00,26.25,2 min
22-03-2025,00:18:00,27.53,2 min
22-03-2025,00:20:00,27.54,2 min
22-03-2025,00:22:00,27.53,2 min
22-03-2025,00:24:00,27.54,2 min
22-03-2025,00:26:00,27.54,2 min
22-03-2025,00:28:00,27.54,2 min
22-03-2025,00:30:00,26.27,2 min
22-03-2025,00:32:00,27.55,2 min
22-03-2025,00:34:00,27.55,2 min
22-03-2025,00:36:00,27.54,2 min
22-03-2025,00:38:00,27.56,2 min
22-03-2025,00:40:00,27.56,2 min
22-03-2025,00:42:00,27.56,2 min
22-03-2025,00:44:00,27.56,2 min
22-03-2025,00:46:00,26.28,2 min
22-03-2025,00:48:00,27.56,2 min
22-03-2025,00:50:00,27.57,2 min
22-03-2025,00:52:00,27.57,2 min
22-03-2025,00:54:00,27.57,2 min
22-03-2025,00:56:00,27.53,2 min
22-03-2025,00:58:00,27.52,2 min
22-03-2025,01:00:00,27.53,2 min
22-03-2025,01:02:00,27.57,2 min
22-03-2025,01:04:00,26.26,2 min
22-03-2025,01:06:00,27.57,2 min
22-03-2025,01:08:00,26.25,2 min
22-03-2025,01:10:00,27.57,2 min
22-03-2025,01:12:00,27.57,2 min
22-03-2025,01:14:00,27.58,2 min
22-03-2025,01:16:00,27.58,2 min
22-03-2025,01:18:00,26.30,2 min
22-03-2025,01:20:00,27.58,2 min
