Date,Time,Temperature(°C),Interval
2025-03-28,10:36:19,-,10 min
28-03-2025,10:36:19,25.82,10 min
28-03-2025,10:46:19,26.15,10 min
28-03-2025,10:56:19,26.14,10 min
28-03-2025,11:06:19,26.14,10 min
28-03-2025,11:16:19,26.14,10 min
28-03-2025,11:26:19,26.14,10 min
28-03-2025,11:36:19,26.14,10 min
28-03-2025,11:46:19,26.14,10 min
28-03-2025,11:56:19,26.14,10 min
28-03-2025,12:06:19,26.14,10 min
28-03-2025,12:06:19,26.14,10 min
28-03-2025,12:16:19,26.14,10 min
28-03-2025,12:26:19,26.14,10 min
28-03-2025,12:36:19,26.10,10 min
28-03-2025,12:46:19,26.14,10 min
28-03-2025,12:56:19,26.14,10 min
28-03-2025,13:06:19,26.14,10 min
28-03-2025,13:16:19,26.10,10 min
28-03-2025,13:26:19,26.14,10 min
28-03-2025,13:36:19,25.98,10 min
28-03-2025,13:36:19,26.14,10 min
28-03-2025,13:46:19,25.98,10 min
28-03-2025,13:56:19,26.14,10 min
28-03-2025,14:06:19,26.14,10 min
28-03-2025,14:16:19,25.98,10 min
28-03-2025,14:26:19,25.82,10 min
28-03-2025,14:36:19,26.14,10 min
28-03-2025,14:46:19,26.15,10 min
28-03-2025,14:56:19,26.14,10 min
28-03-2025,15:06:19,26.10,10 min
28-03-2025,15:06:19,26.15,10 min
28-03-2025,15:16:19,26.15,10 min
28-03-2025,15:26:19,26.15,10 min
28-03-2025,15:36:19,26.15,10 min
28-03-2025,15:46:19,26.15,10 min
28-03-2025,15:56:19,26.14,10 min
28-03-2025,16:06:19,26.15,10 min
28-03-2025,16:16:19,26.15,10 min
28-03-2025,16:26:19,26.15,10 min
28-03-2025,16:36:19,25.83,10 min
28-03-2025,16:36:19,26.13,10 min
28-03-2025,16:46:19,26.15,10 min
28-03-2025,16:56:19,26.15,10 min
28-03-2025,17:06:19,26.14,10 min
28-03-2025,17:16:19,26.10,10 min
28-03-2025,17:26:19,25.98,10 min
28-03-2025,17:36:19,26.14,10 min
28-03-2025,17:46:19,26.14,10 min
28-03-2025,17:56:19,26.15,10 min
28-03-2025,18:06:19,26.14,10 min
