Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,14:23:37,-,10 min
2025-04-02,14:27:28,-,10 min
02-04-2025,14:27:28,26.3,10
02-04-2025,14:37:28,26.3,10
02-04-2025,14:47:28,26.2,10
02-04-2025,14:57:28,26.3,10
02-04-2025,14:27:28,26.3,10
02-04-2025,15:07:28,26.3,10
02-04-2025,14:37:28,26.3,10
02-04-2025,15:17:28,26.3,10
02-04-2025,14:47:28,26.2,10
02-04-2025,15:27:28,26.3,10
02-04-2025,14:57:28,26.3,10
02-04-2025,15:37:28,26.3,10
02-04-2025,15:07:28,26.3,10
02-04-2025,15:47:28,26.3,10
02-04-2025,15:17:28,26.3,10
02-04-2025,15:57:28,26.2,10
02-04-2025,15:27:28,26.3,10
02-04-2025,15:37:28,26.3,10
02-04-2025,15:47:28,26.3,10
02-04-2025,15:57:28,26.2,10
