Date,Time,Temperature(°C),Interval
2025-04-07,16:51:58,-,10 min
07-04-2025,16:51:58,25.5,10 min
07-04-2025,17:01:58,23.0,10 min
07-04-2025,17:11:58,22.9,10 min
07-04-2025,17:21:58,24.3,10 min
07-04-2025,17:31:58,24.3,10 min
07-04-2025,17:41:58,25.5,10 min
07-04-2025,17:51:58,25.5,10 min
07-04-2025,18:01:58,25.4,10 min
07-04-2025,18:11:58,25.5,10 min
07-04-2025,18:21:58,25.5,10 min
07-04-2025,18:31:58,25.1,10 min
07-04-2025,18:41:58,25.5,10 min
07-04-2025,18:51:58,25.5,10 min
07-04-2025,19:01:58,25.5,10 min
07-04-2025,19:11:58,25.5,10 min
07-04-2025,19:21:58,25.5,10 min
07-04-2025,19:31:58,25.5,10 min
07-04-2025,19:41:58,25.4,10 min
07-04-2025,19:51:58,25.3,10 min
07-04-2025,20:01:58,25.5,10 min
07-04-2025,20:11:58,25.5,10 min
07-04-2025,20:21:58,25.5,10 min
07-04-2025,20:31:58,25.2,10 min
07-04-2025,20:41:58,25.5,10 min
07-04-2025,20:51:58,25.4,10 min
07-04-2025,21:01:58,24.2,10 min
07-04-2025,21:11:58,22.6,10 min
07-04-2025,21:21:58,25.4,10 min
07-04-2025,21:31:58,25.5,10 min
07-04-2025,21:41:58,21.6,10 min
07-04-2025,21:51:58,25.5,10 min
07-04-2025,22:01:58,25.3,10 min
07-04-2025,22:11:58,25.5,10 min
07-04-2025,22:21:58,25.5,10 min
07-04-2025,22:31:58,25.3,10 min
07-04-2025,22:41:58,25.5,10 min
07-04-2025,22:51:58,25.5,10 min
07-04-2025,23:01:58,22.9,10 min
07-04-2025,23:11:58,25.4,10 min
07-04-2025,23:21:58,25.4,10 min
07-04-2025,23:31:58,25.4,10 min
07-04-2025,23:41:58,24.2,10 min
07-04-2025,23:51:58,25.4,10 min
08-04-2025,00:01:58,22.9,10 min
08-04-2025,00:11:58,25.4,10 min
08-04-2025,00:21:58,22.9,10 min
08-04-2025,00:31:58,25.1,10 min
08-04-2025,00:41:58,25.5,10 min
08-04-2025,00:51:58,25.5,10 min
08-04-2025,01:01:58,25.5,10 min
08-04-2025,01:11:58,24.8,10 min
08-04-2025,01:21:58,25.4,10 min
08-04-2025,01:31:58,25.5,10 min
08-04-2025,01:41:58,25.4,10 min
08-04-2025,01:51:58,25.5,10 min
08-04-2025,02:01:58,22.7,10 min
08-04-2025,02:11:58,25.5,10 min
08-04-2025,02:21:58,22.9,10 min
08-04-2025,02:31:58,25.3,10 min
08-04-2025,02:41:58,25.5,10 min
08-04-2025,02:51:58,25.5,10 min
08-04-2025,03:01:58,22.9,10 min
08-04-2025,03:11:58,24.9,10 min
08-04-2025,03:21:58,25.5,10 min
08-04-2025,03:31:58,25.2,10 min
08-04-2025,03:41:58,22.9,10 min
08-04-2025,03:51:58,25.5,10 min
08-04-2025,04:01:58,25.5,10 min
08-04-2025,04:11:58,25.5,10 min
08-04-2025,04:21:58,25.4,10 min
08-04-2025,04:31:58,25.4,10 min
08-04-2025,04:41:58,25.4,10 min
08-04-2025,04:51:58,23.2,10 min
08-04-2025,05:01:58,23.0,10 min
08-04-2025,05:11:58,25.5,10 min
08-04-2025,05:21:58,25.5,10 min
08-04-2025,05:31:58,25.5,10 min
08-04-2025,05:41:58,25.2,10 min
08-04-2025,05:51:58,25.2,10 min
08-04-2025,06:01:58,25.5,10 min
08-04-2025,06:11:58,25.5,10 min
08-04-2025,06:21:58,25.4,10 min
08-04-2025,06:31:58,24.9,10 min
08-04-2025,06:41:58,25.4,10 min
08-04-2025,06:51:58,25.2,10 min
08-04-2025,07:01:58,23.0,10 min
08-04-2025,07:11:58,25.5,10 min
08-04-2025,07:21:58,25.5,10 min
08-04-2025,07:31:58,24.9,10 min
08-04-2025,07:41:58,24.9,10 min
08-04-2025,07:51:58,25.3,10 min
08-04-2025,08:01:58,25.2,10 min
08-04-2025,08:11:58,24.3,10 min
08-04-2025,08:21:58,25.6,10 min
08-04-2025,08:31:58,25.6,10 min
08-04-2025,08:41:58,25.6,10 min
08-04-2025,08:51:58,20.4,10 min
08-04-2025,09:01:58,25.6,10 min
08-04-2025,09:11:58,25.6,10 min
08-04-2025,09:21:58,25.6,10 min
08-04-2025,09:31:58,25.6,10 min
08-04-2025,09:41:58,25.6,10 min
08-04-2025,09:51:58,25.6,10 min
08-04-2025,10:01:58,25.6,10 min
08-04-2025,10:11:58,25.6,10 min
08-04-2025,10:21:58,25.6,10 min
08-04-2025,10:31:58,25.6,10 min
08-04-2025,10:41:58,25.6,10 min
08-04-2025,10:51:58,25.6,10 min
08-04-2025,11:01:58,25.6,10 min
08-04-2025,11:11:58,25.6,10 min
08-04-2025,11:21:58,25.6,10 min
08-04-2025,11:31:58,25.6,10 min
08-04-2025,11:41:58,25.6,10 min
08-04-2025,11:51:58,25.6,10 min
08-04-2025,12:01:58,25.6,10 min
08-04-2025,12:11:58,25.6,10 min
08-04-2025,12:21:58,25.6,10 min
08-04-2025,12:31:58,25.6,10 min
08-04-2025,12:41:58,25.6,10 min
08-04-2025,12:51:58,25.6,10 min
08-04-2025,13:01:58,25.6,10 min
08-04-2025,13:11:58,25.6,10 min
08-04-2025,13:21:58,25.6,10 min
08-04-2025,13:31:58,25.6,10 min
08-04-2025,13:41:58,25.6,10 min
08-04-2025,13:51:58,25.6,10 min
08-04-2025,14:01:58,25.6,10 min
08-04-2025,14:11:58,25.6,10 min
08-04-2025,14:21:58,25.6,10 min
08-04-2025,14:31:58,25.6,10 min
08-04-2025,14:41:58,25.6,10 min
08-04-2025,14:51:58,25.6,10 min
08-04-2025,15:01:58,25.6,10 min
08-04-2025,15:11:58,25.6,10 min
