Date,Time,Temperature(°C),Interval
2025-03-29,15:36:08,-,10 min
29-03-2025,15:36:08,21.69,10 min
29-03-2025,15:46:08,24.17,10 min
29-03-2025,15:56:08,24.25,10 min
29-03-2025,16:06:08,24.26,10 min
29-03-2025,16:16:08,24.26,10 min
29-03-2025,16:26:08,23.54,10 min
29-03-2025,16:36:08,24.25,10 min
29-03-2025,16:46:08,24.25,10 min
29-03-2025,16:56:08,24.26,10 min
29-03-2025,17:06:08,24.26,10 min
29-03-2025,17:16:08,24.26,10 min
29-03-2025,17:26:08,24.24,10 min
29-03-2025,17:36:08,24.25,10 min
29-03-2025,17:46:08,21.53,10 min
29-03-2025,17:56:08,24.25,10 min
29-03-2025,18:06:08,23.61,10 min
29-03-2025,18:16:08,23.61,10 min
29-03-2025,18:26:08,24.25,10 min
29-03-2025,18:36:08,23.62,10 min
29-03-2025,18:46:08,23.46,10 min
29-03-2025,18:56:08,24.26,10 min
29-03-2025,19:06:08,24.25,10 min
29-03-2025,19:16:08,24.27,10 min
29-03-2025,19:26:08,24.27,10 min
29-03-2025,19:36:08,24.03,10 min
29-03-2025,19:46:08,24.28,10 min
29-03-2025,19:56:08,24.28,10 min
29-03-2025,20:06:08,24.20,10 min
29-03-2025,20:16:08,23.56,10 min
29-03-2025,20:26:08,24.28,10 min
29-03-2025,20:36:08,24.04,10 min
29-03-2025,20:46:08,23.97,10 min
29-03-2025,20:56:08,24.29,10 min
29-03-2025,21:06:08,23.64,10 min
29-03-2025,21:16:08,24.29,10 min
29-03-2025,21:26:08,23.66,10 min
29-03-2025,21:36:08,24.30,10 min
29-03-2025,21:46:08,24.22,10 min
29-03-2025,21:56:08,24.30,10 min
29-03-2025,22:06:08,23.99,10 min
29-03-2025,22:16:08,24.29,10 min
29-03-2025,22:26:08,24.31,10 min
29-03-2025,22:36:08,24.23,10 min
29-03-2025,22:46:08,24.32,10 min
29-03-2025,22:56:08,24.27,10 min
29-03-2025,23:06:08,23.67,10 min
29-03-2025,23:16:08,24.30,10 min
29-03-2025,23:26:08,24.19,10 min
29-03-2025,23:36:08,24.31,10 min
29-03-2025,23:46:08,24.32,10 min
29-03-2025,23:56:08,24.31,10 min
30-03-2025,00:06:08,24.31,10 min
30-03-2025,00:16:08,24.31,10 min
30-03-2025,00:26:08,24.31,10 min
30-03-2025,00:36:08,23.67,10 min
30-03-2025,00:46:08,24.31,10 min
30-03-2025,00:56:08,24.21,10 min
30-03-2025,01:06:08,24.31,10 min
30-03-2025,01:16:08,24.31,10 min
30-03-2025,01:26:08,24.12,10 min
30-03-2025,01:36:08,23.83,10 min
30-03-2025,01:46:08,24.31,10 min
30-03-2025,01:56:08,24.31,10 min
30-03-2025,02:06:08,24.32,10 min
30-03-2025,02:16:08,24.32,10 min
30-03-2025,02:26:08,24.32,10 min
30-03-2025,02:36:08,24.32,10 min
30-03-2025,02:46:08,24.32,10 min
30-03-2025,02:56:08,24.32,10 min
30-03-2025,03:06:08,24.32,10 min
30-03-2025,03:16:08,24.32,10 min
30-03-2025,03:26:08,23.43,10 min
30-03-2025,03:36:08,24.15,10 min
30-03-2025,03:46:08,24.15,10 min
30-03-2025,03:56:08,24.27,10 min
30-03-2025,04:06:08,23.95,10 min
30-03-2025,04:16:08,24.31,10 min
30-03-2025,04:26:08,24.31,10 min
30-03-2025,04:36:08,24.31,10 min
30-03-2025,04:46:08,24.26,10 min
30-03-2025,04:56:08,24.31,10 min
30-03-2025,05:06:08,24.32,10 min
30-03-2025,05:16:08,24.32,10 min
30-03-2025,05:26:08,24.32,10 min
30-03-2025,05:36:08,24.32,10 min
30-03-2025,05:46:08,24.32,10 min
30-03-2025,05:56:08,24.33,10 min
30-03-2025,06:06:08,24.33,10 min
30-03-2025,06:16:08,24.33,10 min
30-03-2025,06:26:08,24.33,10 min
30-03-2025,06:36:08,24.33,10 min
30-03-2025,06:46:08,24.33,10 min
30-03-2025,06:56:08,24.33,10 min
30-03-2025,07:06:08,24.34,10 min
30-03-2025,07:16:08,24.34,10 min
30-03-2025,07:26:08,24.34,10 min
30-03-2025,07:36:08,24.34,10 min
30-03-2025,07:46:08,24.34,10 min
30-03-2025,07:56:08,24.34,10 min
30-03-2025,08:06:08,24.34,10 min
30-03-2025,08:16:08,24.33,10 min
30-03-2025,08:26:08,24.33,10 min
30-03-2025,08:36:08,24.33,10 min
30-03-2025,08:46:08,24.33,10 min
30-03-2025,08:56:08,24.33,10 min
30-03-2025,09:06:08,24.33,10 min
30-03-2025,09:16:08,24.33,10 min
30-03-2025,09:26:08,24.33,10 min
30-03-2025,09:36:08,24.33,10 min
30-03-2025,09:46:08,24.33,10 min
30-03-2025,09:56:08,24.34,10 min
30-03-2025,10:06:08,24.34,10 min
30-03-2025,10:16:08,24.34,10 min
30-03-2025,10:26:08,24.34,10 min
30-03-2025,10:36:08,24.34,10 min
30-03-2025,10:46:08,24.34,10 min
30-03-2025,10:56:08,24.34,10 min
30-03-2025,11:06:08,23.06,10 min
30-03-2025,11:16:08,24.34,10 min
30-03-2025,11:26:08,24.34,10 min
