Date,Time,Temperature(°C),Interval(in minutes)
2025-04-05,09:46:32,-,10 min
05-04-2025,09:46:32,28.2,10
05-04-2025,09:56:32,28.2,10
05-04-2025,10:06:32,28.2,10
05-04-2025,10:16:32,28.2,10
05-04-2025,10:26:32,28.2,10
05-04-2025,10:36:32,28.2,10
05-04-2025,10:46:32,28.2,10
05-04-2025,10:56:32,28.2,10
05-04-2025,11:06:32,28.2,10
05-04-2025,11:16:32,28.1,10
05-04-2025,11:26:32,28.2,10
05-04-2025,11:36:32,28.2,10
05-04-2025,11:46:32,28.2,10
05-04-2025,11:56:32,28.2,10
05-04-2025,12:06:32,28.2,10
05-04-2025,12:16:32,28.2,10
05-04-2025,12:26:32,28.2,10
05-04-2025,12:36:32,28.2,10
05-04-2025,12:46:32,28.2,10
05-04-2025,12:56:32,28.2,10
05-04-2025,13:06:32,28.2,10
05-04-2025,13:16:32,28.2,10
05-04-2025,13:26:32,28.2,10
05-04-2025,13:36:32,28.2,10
05-04-2025,13:46:32,28.2,10
05-04-2025,13:56:32,28.2,10
05-04-2025,14:06:32,28.2,10
05-04-2025,14:16:32,28.2,10
05-04-2025,14:26:32,28.2,10
05-04-2025,14:36:32,25.6,10
05-04-2025,14:46:32,28.2,10
05-04-2025,14:56:32,28.2,10
05-04-2025,15:06:32,28.2,10
05-04-2025,15:16:32,28.2,10
05-04-2025,15:26:32,28.2,10
05-04-2025,15:36:32,28.2,10
05-04-2025,15:46:32,28.2,10
05-04-2025,15:56:32,25.6,10
05-04-2025,16:06:32,28.2,10
05-04-2025,16:16:32,28.2,10
05-04-2025,16:26:32,28.2,10
05-04-2025,16:36:32,28.2,10
05-04-2025,16:46:32,28.2,10
05-04-2025,16:56:32,28.2,10
05-04-2025,17:06:32,28.2,10
05-04-2025,17:16:32,28.2,10
05-04-2025,17:26:32,28.1,10
05-04-2025,17:36:32,28.2,10
05-04-2025,17:46:32,28.2,10
05-04-2025,17:56:32,23.0,10
