Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,23:48:49,-,10 min
02-04-2025,23:48:49,26.9,10
02-04-2025,23:58:49,26.9,10
03-04-2025,00:08:49,26.9,10
04-04-2025,00:18:49,26.9,10
05-04-2025,00:28:49,26.9,10
06-04-2025,00:38:49,26.9,10
07-04-2025,00:48:49,26.9,10
08-04-2025,00:58:49,26.9,10
09-04-2025,01:08:49,26.9,10
10-04-2025,01:18:49,26.9,10
10-04-2025,01:28:49,26.9,10
10-04-2025,01:38:49,26.9,10
10-04-2025,01:48:49,26.9,10
10-04-2025,01:58:49,26.9,10
10-04-2025,02:08:49,26.9,10
10-04-2025,02:18:49,26.9,10
10-04-2025,02:28:49,26.9,10
10-04-2025,02:38:49,26.9,10
10-04-2025,02:48:49,26.9,10
10-04-2025,02:58:49,26.9,10
10-04-2025,03:08:49,26.9,10
10-04-2025,03:18:49,26.9,10
10-04-2025,03:28:49,26.9,10
10-04-2025,03:38:49,26.9,10
10-04-2025,03:48:49,26.9,10
10-04-2025,03:58:49,27.0,10
10-04-2025,04:08:49,27.0,10
10-04-2025,04:18:49,26.9,10
10-04-2025,04:28:49,27.0,10
10-04-2025,04:38:49,27.0,10
10-04-2025,04:48:49,27.0,10
10-04-2025,04:58:49,27.0,10
10-04-2025,05:08:49,27.0,10
10-04-2025,05:18:49,21.8,10
10-04-2025,05:28:49,27.0,10
10-04-2025,05:38:49,26.9,10
10-04-2025,05:48:49,27.0,10
10-04-2025,05:58:49,27.0,10
10-04-2025,06:08:49,27.0,10
10-04-2025,06:18:49,27.0,10
10-04-2025,06:28:49,27.0,10
10-04-2025,06:38:49,27.0,10
10-04-2025,06:48:49,27.0,10
10-04-2025,06:58:49,27.0,10
10-04-2025,07:08:49,27.0,10
10-04-2025,07:18:49,27.0,10
10-04-2025,07:28:49,27.0,10
10-04-2025,07:38:49,27.0,10
10-04-2025,07:48:49,27.0,10
10-04-2025,07:58:49,21.9,10
