Date,Time,Temperature(°C),Interval(in minutes)
2025-06-30,10:23:14,-,1 min
30-06-2025,10:23:14,28.4,1
30-06-2025,10:24:14,28.5,1
30-06-2025,10:25:14,28.5,1
30-06-2025,10:26:14,28.5,1
30-06-2025,10:27:14,28.5,1
30-06-2025,10:28:14,28.5,1
30-06-2025,10:29:14,28.5,1
30-06-2025,10:30:14,28.5,1
30-06-2025,10:31:14,28.5,1
30-06-2025,10:32:14,28.5,1
30-06-2025,10:33:14,28.5,1
30-06-2025,10:34:14,28.4,1
30-06-2025,10:35:14,28.5,1
30-06-2025,10:36:14,28.5,1
30-06-2025,10:37:14,28.5,1
30-06-2025,10:38:14,28.5,1
30-06-2025,10:39:14,28.4,1
30-06-2025,10:40:14,28.4,1
30-06-2025,10:41:14,28.4,1
30-06-2025,10:42:14,28.4,1
30-06-2025,10:43:14,28.4,1
30-06-2025,10:44:14,28.4,1
30-06-2025,10:45:14,28.4,1
30-06-2025,10:46:14,28.3,1
30-06-2025,10:47:14,28.4,1
30-06-2025,10:48:14,28.3,1
30-06-2025,10:49:14,28.4,1
30-06-2025,10:50:14,28.4,1
30-06-2025,10:51:14,28.4,1
30-06-2025,10:52:14,28.4,1
30-06-2025,10:53:14,28.4,1
30-06-2025,10:54:14,28.3,1
30-06-2025,10:55:14,28.3,1
30-06-2025,10:56:14,28.4,1
30-06-2025,10:57:14,28.4,1
30-06-2025,10:58:14,28.3,1
30-06-2025,10:59:14,28.3,1
30-06-2025,11:00:14,28.4,1
30-06-2025,11:01:14,28.3,1
30-06-2025,11:02:14,28.4,1
30-06-2025,11:03:14,28.3,1
30-06-2025,11:04:14,28.3,1
30-06-2025,11:05:14,28.3,1
30-06-2025,11:06:14,28.4,1
30-06-2025,11:07:14,28.4,1
30-06-2025,11:08:14,28.4,1
30-06-2025,11:09:14,28.3,1
30-06-2025,11:10:14,28.3,1
30-06-2025,11:11:14,28.4,1
30-06-2025,11:12:14,28.3,1
30-06-2025,11:13:14,28.3,1
30-06-2025,11:14:14,28.3,1
30-06-2025,11:15:14,28.3,1
30-06-2025,11:16:14,28.3,1
30-06-2025,11:17:14,28.3,1
30-06-2025,11:18:14,28.3,1
30-06-2025,11:19:14,28.3,1
30-06-2025,11:20:14,28.3,1
30-06-2025,11:21:14,28.3,1
30-06-2025,11:22:14,28.3,1
30-06-2025,11:23:14,28.3,1
30-06-2025,11:24:14,28.3,1
30-06-2025,11:25:14,28.3,1
30-06-2025,11:26:14,28.3,1
30-06-2025,11:27:14,28.2,1
30-06-2025,11:28:14,28.3,1
30-06-2025,11:29:14,28.3,1
30-06-2025,11:30:14,28.4,1
30-06-2025,11:31:14,28.4,1
30-06-2025,11:32:14,28.3,1
