Date,Time,Temperature(°C),Interval
20-03-2025,13:12:12,-,1 min
20-03-2025,13:12:12,27.71,1 min
20-03-2025,13:13:12,27.71,1 min
20-03-2025,13:14:12,27.71,1 min
20-03-2025,13:15:12,27.72,1 min
20-03-2025,13:16:12,27.82,1 min
20-03-2025,13:17:12,27.73,1 min
20-03-2025,13:18:12,27.54,1 min
20-03-2025,13:19:12,27.70,1 min
20-03-2025,13:20:12,27.71,1 min
20-03-2025,13:21:12,27.56,1 min
20-03-2025,13:22:12,27.55,1 min
20-03-2025,13:23:12,27.77,1 min
20-03-2025,13:24:12,27.76,1 min
20-03-2025,13:25:12,27.62,1 min
20-03-2025,13:26:12,27.71,1 min
20-03-2025,13:27:12,26.98,1 min
20-03-2025,13:28:12,27.74,1 min
20-03-2025,13:29:12,27.60,1 min
20-03-2025,13:30:12,27.07,1 min
20-03-2025,13:31:12,26.89,1 min
20-03-2025,13:32:12,27.56,1 min
20-03-2025,13:33:12,27.55,1 min
20-03-2025,13:34:12,27.54,1 min
20-03-2025,13:35:12,27.56,1 min
20-03-2025,13:36:12,27.57,1 min
20-03-2025,13:37:12,27.50,1 min
20-03-2025,13:38:12,26.90,1 min
20-03-2025,13:39:12,27.60,1 min
20-03-2025,13:40:12,26.30,1 min
20-03-2025,13:41:12,27.52,1 min
20-03-2025,13:42:12,27.54,1 min
20-03-2025,13:43:12,27.57,1 min
20-03-2025,13:44:12,27.55,1 min
20-03-2025,13:45:12,26.96,1 min
20-03-2025,13:46:12,27.64,1 min
20-03-2025,13:47:12,25.68,1 min
20-03-2025,13:48:12,27.44,1 min
20-03-2025,13:49:12,27.37,1 min
20-03-2025,13:50:12,27.48,1 min
20-03-2025,13:51:12,27.47,1 min
20-03-2025,13:52:12,27.44,1 min
20-03-2025,13:53:12,27.45,1 min
20-03-2025,13:54:12,27.42,1 min
20-03-2025,13:55:12,25.95,1 min
20-03-2025,13:56:12,27.32,1 min
20-03-2025,13:57:12,27.31,1 min
20-03-2025,13:58:12,27.34,1 min
20-03-2025,13:59:12,27.39,1 min
20-03-2025,14:00:12,27.42,1 min
20-03-2025,14:01:12,27.40,1 min
20-03-2025,14:02:12,27.35,1 min
20-03-2025,14:03:12,27.21,1 min
20-03-2025,14:04:12,27.26,1 min
20-03-2025,14:05:12,27.21,1 min
20-03-2025,14:06:12,26.93,1 min
20-03-2025,14:07:12,27.27,1 min
20-03-2025,14:08:12,27.25,1 min
20-03-2025,14:09:12,27.24,1 min
20-03-2025,14:10:12,27.25,1 min
20-03-2025,14:11:12,27.12,1 min
20-03-2025,14:12:12,27.23,1 min
20-03-2025,14:13:12,27.21,1 min
20-03-2025,14:14:12,27.21,1 min
20-03-2025,14:15:12,27.31,1 min
20-03-2025,14:16:12,27.21,1 min
20-03-2025,14:17:12,27.25,1 min
20-03-2025,14:18:12,27.30,1 min
20-03-2025,14:19:12,27.21,1 min
20-03-2025,14:20:12,27.28,1 min
20-03-2025,14:21:12,27.30,1 min
20-03-2025,14:22:12,27.28,1 min
20-03-2025,14:23:12,27.26,1 min
20-03-2025,14:24:12,25.96,1 min
20-03-2025,14:25:12,27.30,1 min
20-03-2025,14:26:12,27.31,1 min
20-03-2025,14:27:12,26.88,1 min
20-03-2025,14:28:12,27.30,1 min
20-03-2025,14:29:12,26.99,1 min
20-03-2025,14:30:12,27.11,1 min
20-03-2025,14:31:12,25.76,1 min
20-03-2025,14:32:12,26.91,1 min
20-03-2025,14:33:12,26.99,1 min
20-03-2025,14:34:12,26.93,1 min
20-03-2025,14:35:12,26.95,1 min
20-03-2025,14:36:12,27.08,1 min
20-03-2025,14:37:12,27.04,1 min
20-03-2025,14:38:12,27.03,1 min
20-03-2025,14:39:12,26.95,1 min
20-03-2025,14:40:12,26.97,1 min
20-03-2025,14:41:12,26.90,1 min
20-03-2025,14:42:12,27.25,1 min
20-03-2025,14:43:12,27.85,1 min
20-03-2025,14:44:12,27.99,1 min
20-03-2025,14:45:12,28.48,1 min
20-03-2025,14:46:12,26.29,1 min
20-03-2025,14:47:12,27.25,1 min
20-03-2025,14:48:12,26.78,1 min
20-03-2025,14:49:12,29.12,1 min
20-03-2025,14:50:12,27.46,1 min
20-03-2025,14:51:12,26.59,1 min
20-03-2025,14:52:12,26.77,1 min
20-03-2025,14:53:12,27.25,1 min
20-03-2025,14:54:12,27.29,1 min
20-03-2025,14:55:12,26.75,1 min
20-03-2025,14:56:12,25.71,1 min
20-03-2025,14:57:12,25.97,1 min
20-03-2025,14:58:12,26.03,1 min
20-03-2025,14:59:12,26.01,1 min
20-03-2025,15:06:27,-,30 sec
20-03-2025,15:06:27,27.21,30 sec
20-03-2025,15:06:57,27.07,30 sec
20-03-2025,15:07:27,26.83,30 sec
20-03-2025,15:07:57,26.78,30 sec
20-03-2025,15:08:27,26.67,30 sec
20-03-2025,15:08:57,26.59,30 sec
20-03-2025,15:09:27,26.31,30 sec
20-03-2025,15:09:57,26.64,30 sec
20-03-2025,15:10:27,26.31,30 sec
20-03-2025,15:10:57,26.56,30 sec
20-03-2025,15:11:27,26.26,30 sec
20-03-2025,15:11:57,26.47,30 sec
20-03-2025,15:12:27,26.54,30 sec
20-03-2025,15:12:57,26.34,30 sec
20-03-2025,15:13:27,26.50,30 sec
20-03-2025,15:13:57,25.91,30 sec
20-03-2025,15:14:27,26.57,30 sec
20-03-2025,15:14:57,26.64,30 sec
20-03-2025,15:15:27,25.94,30 sec
20-03-2025,15:15:57,26.56,30 sec
20-03-2025,15:16:27,26.45,30 sec
20-03-2025,15:16:57,26.56,30 sec
20-03-2025,15:17:27,26.64,30 sec
20-03-2025,15:17:57,26.63,30 sec
20-03-2025,15:18:27,26.56,30 sec
20-03-2025,15:18:57,26.64,30 sec
20-03-2025,15:19:27,25.98,30 sec
20-03-2025,15:19:57,26.61,30 sec
20-03-2025,15:20:27,26.42,30 sec
20-03-2025,15:20:57,26.56,30 sec
20-03-2025,15:21:27,26.60,30 sec
20-03-2025,15:21:57,26.67,30 sec
20-03-2025,15:22:27,26.71,30 sec
20-03-2025,15:22:57,26.11,30 sec
20-03-2025,15:23:27,26.67,30 sec
20-03-2025,15:23:57,26.08,30 sec
20-03-2025,15:24:27,26.74,30 sec
20-03-2025,15:24:57,26.64,30 sec
20-03-2025,15:25:27,26.71,30 sec
20-03-2025,15:25:57,26.61,30 sec
20-03-2025,15:26:27,26.64,30 sec
20-03-2025,15:26:57,25.98,30 sec
20-03-2025,15:27:27,26.60,30 sec
20-03-2025,15:27:57,26.61,30 sec
20-03-2025,15:28:27,26.49,30 sec
20-03-2025,15:28:57,26.59,30 sec
20-03-2025,15:29:27,26.50,30 sec
20-03-2025,15:29:57,26.56,30 sec
20-03-2025,15:30:27,26.47,30 sec
20-03-2025,15:30:57,26.51,30 sec
20-03-2025,15:31:27,26.57,30 sec
20-03-2025,15:31:57,26.56,30 sec
20-03-2025,15:32:27,26.64,30 sec
20-03-2025,15:32:57,26.56,30 sec
20-03-2025,15:33:27,26.40,30 sec
20-03-2025,15:33:57,26.67,30 sec
20-03-2025,15:34:27,26.84,30 sec
20-03-2025,15:34:57,26.88,30 sec
20-03-2025,15:35:27,26.79,30 sec
20-03-2025,15:35:57,26.96,30 sec
20-03-2025,15:36:27,26.71,30 sec
20-03-2025,15:36:57,26.90,30 sec
20-03-2025,15:37:27,26.94,30 sec
20-03-2025,15:37:57,27.01,30 sec
20-03-2025,15:38:27,26.97,30 sec
20-03-2025,15:38:57,26.89,30 sec
20-03-2025,15:39:27,26.92,30 sec
20-03-2025,15:39:57,26.89,30 sec
20-03-2025,15:40:27,26.97,30 sec
20-03-2025,15:40:57,26.93,30 sec
20-03-2025,15:41:27,26.96,30 sec
20-03-2025,15:41:57,26.94,30 sec
20-03-2025,15:42:27,26.69,30 sec
20-03-2025,15:42:57,26.92,30 sec
20-03-2025,15:43:27,26.88,30 sec
20-03-2025,15:43:57,27.04,30 sec
20-03-2025,15:44:27,27.07,30 sec
20-03-2025,15:44:57,27.21,30 sec
