Date,Time,Temperature(°C),Interval
2025-04-09,17:37:57,-,1 min
2025-04-09,18:14:14,-,2 min
09-04-2025,18:14:14,65.5,2 min
09-04-2025,18:16:14,65.5,2 min
09-04-2025,18:18:14,65.5,2 min
09-04-2025,18:20:14,65.5,2 min
09-04-2025,18:22:14,65.5,2 min
09-04-2025,18:24:14,65.5,2 min
09-04-2025,18:26:14,65.5,2 min
09-04-2025,18:28:14,65.5,2 min
09-04-2025,18:14:14,65.5,2 min
09-04-2025,18:16:14,65.5,2 min
09-04-2025,18:18:14,65.5,2 min
09-04-2025,18:20:14,65.5,2 min
09-04-2025,18:22:14,65.5,2 min
09-04-2025,18:24:14,65.5,2 min
09-04-2025,18:26:14,65.5,2 min
09-04-2025,18:28:14,65.5,2 min
09-04-2025,18:14:14,65.5,2 min
09-04-2025,18:16:14,65.5,2 min
09-04-2025,18:18:14,65.5,2 min
09-04-2025,18:20:14,65.5,2 min
09-04-2025,18:22:14,65.5,2 min
09-04-2025,18:24:14,65.5,2 min
09-04-2025,18:26:14,65.5,2 min
09-04-2025,18:28:14,65.5,2 min
