Date,Time,Temperature(°C),Interval(in minutes)
2025-06-27,13:03:33,-,30 sec
27-06-2025,13:03:33,25.8,0.5
27-06-2025,13:04:03,25.8,0.5
27-06-2025,13:04:33,25.8,0.5
27-06-2025,13:05:03,25.8,0.5
27-06-2025,13:05:33,25.8,0.5
27-06-2025,13:06:03,25.8,0.5
27-06-2025,13:06:33,25.8,0.5
27-06-2025,13:07:03,25.8,0.5
27-06-2025,13:07:33,25.8,0.5
27-06-2025,13:08:03,25.7,0.5
27-06-2025,13:08:33,25.7,0.5
27-06-2025,13:09:03,25.7,0.5
27-06-2025,13:09:33,25.7,0.5
27-06-2025,13:10:03,25.8,0.5
27-06-2025,13:10:33,25.7,0.5
27-06-2025,13:11:03,25.7,0.5
27-06-2025,13:11:33,25.7,0.5
27-06-2025,13:12:03,25.7,0.5
27-06-2025,13:12:33,25.7,0.5
27-06-2025,13:13:03,25.7,0.5
27-06-2025,13:13:33,25.7,0.5
27-06-2025,13:14:03,25.7,0.5
27-06-2025,13:14:33,25.7,0.5
27-06-2025,13:15:03,25.7,0.5
27-06-2025,13:15:33,25.7,0.5
27-06-2025,13:16:03,25.7,0.5
27-06-2025,13:16:33,25.7,0.5
27-06-2025,13:17:03,25.7,0.5
27-06-2025,13:17:33,25.7,0.5
27-06-2025,13:18:03,25.7,0.5
27-06-2025,13:18:33,25.7,0.5
27-06-2025,13:19:03,25.7,0.5
27-06-2025,13:19:33,25.7,0.5
27-06-2025,13:20:03,25.7,0.5
27-06-2025,13:20:33,25.7,0.5
27-06-2025,13:21:03,25.6,0.5
27-06-2025,13:21:33,25.6,0.5
27-06-2025,13:22:03,25.7,0.5
27-06-2025,13:22:33,25.7,0.5
