Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,14:58:03,-,10 min
02-04-2025,14:58:03,27.8,10
02-04-2025,15:08:03,27.7,10
02-04-2025,15:18:03,27.7,10
02-04-2025,15:28:03,26.3,10
02-04-2025,15:38:03,26.3,10
02-04-2025,15:48:03,27.5,10
02-04-2025,15:58:03,27.5,10
02-04-2025,16:08:03,27.3,10
02-04-2025,16:18:03,27.4,10
02-04-2025,16:28:03,27.3,10
02-04-2025,16:38:03,27.3,10
02-04-2025,16:48:03,27.2,10
02-04-2025,16:58:03,26.8,10
02-04-2025,17:08:03,27.1,10
02-04-2025,17:18:03,27.0,10
02-04-2025,17:28:03,27.0,10
02-04-2025,17:38:03,27.0,10
02-04-2025,17:48:03,27.0,10
02-04-2025,17:58:03,26.9,10
02-04-2025,18:08:03,26.9,10
02-04-2025,18:18:03,26.9,10
02-04-2025,18:28:03,26.9,10
02-04-2025,18:38:03,26.8,10
02-04-2025,18:48:03,26.8,10
02-04-2025,18:58:03,26.7,10
02-04-2025,19:08:03,26.7,10
02-04-2025,19:18:03,25.8,10
02-04-2025,19:28:03,26.7,10
02-04-2025,19:38:03,26.7,10
02-04-2025,19:48:03,26.6,10
02-04-2025,19:58:03,26.6,10
02-04-2025,20:08:03,26.6,10
02-04-2025,20:18:03,26.6,10
02-04-2025,20:28:03,26.5,10
02-04-2025,20:38:03,26.5,10
02-04-2025,20:48:03,26.5,10
02-04-2025,20:58:03,26.5,10
02-04-2025,21:08:03,26.5,10
02-04-2025,21:18:03,26.4,10
02-04-2025,21:28:03,26.4,10
02-04-2025,21:38:03,26.4,10
02-04-2025,21:48:03,26.4,10
02-04-2025,21:58:03,26.4,10
02-04-2025,22:08:03,26.4,10
02-04-2025,22:18:03,26.3,10
02-04-2025,22:28:03,26.3,10
02-04-2025,22:38:03,26.3,10
02-04-2025,22:48:03,26.3,10
02-04-2025,22:58:03,26.3,10
02-04-2025,23:08:03,26.3,10
02-04-2025,23:18:03,26.3,10
02-04-2025,23:28:03,26.2,10
02-04-2025,23:38:03,26.2,10
02-04-2025,23:48:03,26.2,10
02-04-2025,23:58:03,21.1,10
02-04-2025,00:08:03,26.2,10
02-04-2025,00:18:03,26.2,10
02-04-2025,00:28:03,26.2,10
02-04-2025,00:38:03,26.0,10
02-04-2025,00:48:03,26.2,10
02-04-2025,00:58:03,26.1,10
02-04-2025,01:08:03,26.1,10
02-04-2025,01:18:03,26.1,10
02-04-2025,01:28:03,26.1,10
02-04-2025,01:38:03,25.8,10
02-04-2025,01:48:03,26.1,10
02-04-2025,01:58:03,26.1,10
02-04-2025,02:08:03,26.1,10
02-04-2025,02:18:03,26.1,10
02-04-2025,02:28:03,25.9,10
02-04-2025,02:38:03,25.9,10
02-04-2025,02:48:03,26.1,10
02-04-2025,02:58:03,26.0,10
02-04-2025,03:08:03,26.0,10
02-04-2025,03:18:03,25.9,10
02-04-2025,03:28:03,26.0,10
02-04-2025,03:38:03,26.0,10
02-04-2025,03:48:03,25.7,10
02-04-2025,03:58:03,26.0,10
02-04-2025,04:08:03,26.0,10
02-04-2025,04:18:03,26.0,10
02-04-2025,04:28:03,26.0,10
02-04-2025,04:38:03,26.0,10
02-04-2025,04:48:03,25.9,10
02-04-2025,04:58:03,26.0,10
02-04-2025,05:08:03,26.0,10
02-04-2025,05:18:03,26.0,10
02-04-2025,05:28:03,25.9,10
02-04-2025,05:38:03,25.9,10
02-04-2025,05:48:03,25.9,10
02-04-2025,05:58:03,25.9,10
02-04-2025,06:08:03,25.9,10
02-04-2025,06:18:03,25.9,10
02-04-2025,06:28:03,25.9,10
02-04-2025,06:38:03,25.9,10
02-04-2025,06:48:03,25.9,10
02-04-2025,06:58:03,25.9,10
02-04-2025,07:08:03,25.9,10
02-04-2025,07:18:03,25.9,10
02-04-2025,07:28:03,25.7,10
02-04-2025,07:38:03,25.9,10
02-04-2025,07:48:03,25.8,10
02-04-2025,07:58:03,25.8,10
02-04-2025,08:08:03,25.8,10
02-04-2025,08:18:03,25.8,10
02-04-2025,08:28:03,25.7,10
02-04-2025,08:38:03,25.8,10
02-04-2025,08:48:03,25.8,10
02-04-2025,08:58:03,25.7,10
02-04-2025,09:08:03,25.8,10
02-04-2025,09:18:03,25.8,10
02-04-2025,09:28:03,25.7,10
02-04-2025,09:38:03,25.6,10
02-04-2025,09:48:03,25.8,10
02-04-2025,09:58:03,25.8,10
02-04-2025,10:08:03,25.8,10
02-04-2025,10:18:03,25.8,10
02-04-2025,10:28:03,25.8,10
02-04-2025,10:38:03,25.6,10
02-04-2025,10:48:03,25.7,10
02-04-2025,10:58:03,25.8,10
02-04-2025,11:08:03,25.8,10
02-04-2025,11:18:03,25.8,10
02-04-2025,11:28:03,25.8,10
02-04-2025,11:38:03,25.8,10
02-04-2025,11:48:03,25.7,10
02-04-2025,11:58:03,25.8,10
02-04-2025,12:08:03,20.6,10
02-04-2025,12:18:03,25.8,10
02-04-2025,12:28:03,25.8,10
02-04-2025,12:38:03,25.8,10
02-04-2025,12:48:03,25.6,10
02-04-2025,12:58:03,25.7,10
02-04-2025,13:08:03,25.7,10
02-04-2025,13:18:03,25.7,10
02-04-2025,13:28:03,25.7,10
02-04-2025,13:38:03,25.7,10
02-04-2025,13:48:03,20.6,10
02-04-2025,13:58:03,25.7,10
02-04-2025,14:08:03,25.7,10
02-04-2025,14:18:03,25.7,10
02-04-2025,14:28:03,25.7,10
02-04-2025,14:38:03,25.6,10
02-04-2025,14:48:03,25.7,10
02-04-2025,14:58:03,25.6,10
02-04-2025,15:08:03,25.7,10
02-04-2025,15:18:03,25.7,10
02-04-2025,15:28:03,25.7,10
02-04-2025,15:38:03,25.7,10
02-04-2025,15:48:03,25.7,10
02-04-2025,15:58:03,25.7,10
02-04-2025,16:08:03,25.7,10
02-04-2025,16:18:03,25.7,10
02-04-2025,16:28:03,25.7,10
02-04-2025,16:38:03,25.6,10
02-04-2025,16:48:03,25.7,10
02-04-2025,16:58:03,25.7,10
02-04-2025,17:08:03,25.7,10
02-04-2025,17:18:03,25.7,10
02-04-2025,17:28:03,25.7,10
02-04-2025,17:38:03,25.6,10
02-04-2025,17:48:03,25.7,10
02-04-2025,17:58:03,20.6,10
02-04-2025,18:08:03,25.6,10
02-04-2025,18:18:03,25.7,10
02-04-2025,18:28:03,25.7,10
02-04-2025,18:38:03,25.7,10
02-04-2025,18:48:03,25.7,10
02-04-2025,18:58:03,20.6,10
02-04-2025,19:08:03,25.7,10
02-04-2025,19:18:03,25.7,10
02-04-2025,19:28:03,25.7,10
02-04-2025,19:38:03,20.6,10
02-04-2025,19:48:03,25.7,10
02-04-2025,19:58:03,25.6,10
02-04-2025,20:08:03,20.6,10
02-04-2025,20:18:03,25.7,10
02-04-2025,20:28:03,25.7,10
02-04-2025,20:38:03,25.7,10
02-04-2025,20:48:03,20.5,10
02-04-2025,20:58:03,25.7,10
02-04-2025,21:08:03,25.7,10
02-04-2025,21:18:03,25.7,10
02-04-2025,21:28:03,25.7,10
02-04-2025,21:38:03,25.7,10
02-04-2025,21:48:03,25.7,10
02-04-2025,21:58:03,25.6,10
02-04-2025,22:08:03,25.7,10
02-04-2025,22:18:03,25.7,10
02-04-2025,22:28:03,25.6,10
02-04-2025,22:38:03,25.7,10
02-04-2025,22:48:03,25.7,10
02-04-2025,22:58:03,25.7,10
02-04-2025,23:08:03,25.7,10
02-04-2025,23:18:03,25.7,10
02-04-2025,23:28:03,25.7,10
02-04-2025,23:38:03,25.7,10
02-04-2025,23:48:03,25.7,10
02-04-2025,23:58:03,25.7,10
02-04-2025,00:08:03,25.6,10
02-04-2025,00:18:03,25.7,10
02-04-2025,00:28:03,25.6,10
02-04-2025,00:38:03,20.6,10
02-04-2025,00:48:03,25.7,10
02-04-2025,00:58:03,25.7,10
02-04-2025,01:08:03,25.6,10
02-04-2025,01:18:03,25.6,10
02-04-2025,01:28:03,25.7,10
02-04-2025,01:38:03,25.7,10
02-04-2025,01:48:03,25.7,10
